No.,Player,Pos,Ht,Wt,Birth.Date,Var.7,Exp,College
,Chandler Parsons,F,82.0,230,"October 25, 1988",us,8,Florida
1.0,Evan Turner,PG,79.0,220,"October 27, 1988",us,9,Ohio State
,Allen Crabbe,G-F,78.0,212,"April 9, 1992",us,6,Cal
95.0,DeAndre' Bembry,SG,78.0,210,"July 4, 1994",us,3,Saint Joseph's
30.0,Damian Jones,C,84.0,245,"June 30, 1995",us,3,Vanderbilt
20.0,John Collins,PF,82.0,235,"September 23, 1997",us,2,Wake Forest
11.0,Trae Young,PG,74.0,180,"September 19, 1998",us,1,Oklahoma
3.0,Kevin Huerter,SG,79.0,190,"August 27, 1998",us,1,Maryland
25.0,Alex Len,C,85.0,250,"June 16, 1993",ua,6,Maryland
12.0,De'Andre Hunter,SF,79.0,225,"December 2, 1997",us,R,Virginia
22.0,Cam Reddish,SF,80.0,208,"September 1, 1999",us,R,Duke
24.0,Bruno Fernando,C,82.0,233,"August 15, 1998",ao,R,Maryland
5.0,Jabari Parker,PF,80.0,245,"March 15, 1995",us,5,Duke
,Brandon Goodwin  (TW),G,74.0,180,"October 2, 1995",us,1,"Central Florida, Florida Gulf Coast"
,Charlie Brown  (TW),G,79.0,199,"February 2, 1997",us,R,Saint Joseph's
15.0,Vince Carter,SF,78.0,220,"January 26, 1977",us,21,UNC
,Tyrone Wallace,G,77.0,198,"June 10, 1994",us,2,Cal
