No.,Player,Pos,Ht,Wt,Birth.Date,Var.7,Exp,College
7.0,Jaylen Brown,SG,78.0,223,"October 24, 1996",us,3,Cal
0.0,Jayson Tatum,PF,80.0,204,"March 3, 1998",us,2,Duke
20.0,Gordon Hayward,SF,79.0,207,"March 23, 1990",us,9,Butler
37.0,Semi Ojeleye,PF,78.0,235,"December 5, 1994",us,2,SMU
44.0,Robert Williams,C,80.0,237,"October 17, 1997",us,1,Texas A&M
36.0,Marcus Smart,SG,75.0,227,"March 6, 1994",us,5,Oklahoma State
,Romeo Langford,G,76.0,216,"October 25, 1999",us,R,Indiana
12.0,Grant Williams,PF,78.0,236,"November 30, 1998",us,R,Tennessee
8.0,Kemba Walker,PG,72.0,172,"May 8, 1990",us,8,UConn
4.0,Carsen Edwards,PG,71.0,200,"March 12, 1998",us,R,Purdue
27.0,Daniel Theis,C,80.0,215,"April 4, 1992",de,2,
11.0,Enes Kanter,C,82.0,262,"May 20, 1992",ch,8,
9.0,Brad Wanamaker,PG,75.0,210,"July 25, 1989",us,1,Pitt
,Tremont Waters  (TW),G,70.0,175,"January 10, 1998",us,R,LSU
43.0,Javonte Green,SG,76.0,220,"July 23, 1993",us,R,Radford
99.0,Tacko Fall  (TW),C,90.0,311,"December 10, 1995",sn,R,Central Florida
77.0,Vincent Poirier,C,84.0,235,"October 17, 1993",fr,R,
