No.,Player,Pos,Ht,Wt,Birth.Date,Var.7,Exp,College
14.0,Michael Kidd-Gilchrist,SF,79.0,232,"September 26, 1993",us,7,Kentucky
40.0,Cody Zeller,C,84.0,240,"October 5, 1992",us,6,Indiana
5.0,Nicolas Batum,SF,80.0,200,"December 14, 1988",fr,11,
8.0,Bismack Biyombo,C,81.0,255,"August 28, 1992",cd,8,
2.0,Marvin Williams,PF,81.0,237,"June 19, 1986",us,14,UNC
9.0,Willy Hernangomez,C,83.0,240,"May 27, 1994",es,3,
1.0,Malik Monk,SG,75.0,200,"February 4, 1998",us,2,Kentucky
7.0,Dwayne Bacon,SG,79.0,221,"August 30, 1995",us,2,Florida State
0.0,Miles Bridges,SF,79.0,225,"March 21, 1998",us,1,Michigan State
4.0,Devonte' Graham,PG,74.0,185,"February 22, 1995",us,1,Kansas
25.0,PJ Washington,PF,79.0,236,"August 23, 1998",us,R,Kentucky
3.0,Terry Rozier,PG,73.0,190,"March 17, 1994",us,4,Louisville
11.0,Cody Martin,SF,79.0,205,"September 28, 1995",us,R,"NC State, Nevada"
,Robert Franks  (TW),F,81.0,225,"December 18, 1996",us,R,Washington State
10.0,Caleb Martin,SF,79.0,205,"September 28, 1995",us,R,"NC State, Nevada"
,Kobi Simmons  (TW),G,77.0,166,"July 4, 1997",us,2,Arizona
6.0,Jalen McDaniels,PF,82.0,192,"January 31, 1998",us,R,San Diego State
