No.,Player,Pos,Ht,Wt,Birth.Date,Var.7,Exp,College
31.0,John Henson,PF,83.0,219,"December 28, 1990",us,7,UNC
,Brandon Knight,G,75.0,195,"December 2, 1991",us,7,Kentucky
13.0,Tristan Thompson,C,82.0,238,"March 13, 1991",ca,8,Texas
8.0,Jordan Clarkson,SG,77.0,194,"June 7, 1992",us,5,"Tulsa, Missouri"
18.0,Matthew Dellavedova,PG,76.0,200,"September 8, 1990",au,6,Saint Mary's
,Ante Zizic,F-C,83.0,254,"January 4, 1997",hr,2,
16.0,Cedi Osman,SF,80.0,215,"April 8, 1995",mk,2,
2.0,Collin Sexton,PG,74.0,190,"January 4, 1999",us,1,Alabama
0.0,Kevin Love,PF,80.0,215,"September 7, 1988",us,11,UCLA
22.0,Larry Nance Jr.,C,81.0,230,"January 1, 1993",us,4,Wyoming
28.0,Alfonzo McKinnie,SF,80.0,215,"September 17, 1992",us,2,Green Bay
10.0,Darius Garland,PG,74.0,175,"January 26, 2000",us,R,Vanderbilt
,Dylan Windler,G-F,80.0,196,"September 22, 1996",us,R,Belmont
4.0,Kevin Porter Jr.,SG,78.0,216,"May 4, 2000",us,R,USC
,Dean Wade  (TW),F,82.0,228,"November 20, 1996",us,R,Kansas State
21.0,Tyler Cook  (TW),PF,81.0,255,"September 23, 1997",us,R,Iowa
