No.,Player,Pos,Ht,Wt,Birth.Date,Var.7,Exp,College
,Dwight Powell,F-C,83.0,240,"July 20, 1991",ca,5,Stanford
1.0,Courtney Lee,SG,77.0,215,"October 3, 1985",us,11,Western Kentucky
44.0,Justin Jackson,SF,80.0,210,"March 28, 1995",us,2,UNC
11.0,Tim Hardaway Jr.,SG,78.0,205,"March 16, 1992",us,6,Michigan
77.0,Luka Doncic,PG,79.0,218,"February 28, 1999",si,1,
,Ryan Broekhoff,F,79.0,215,"August 23, 1990",au,1,Valparaiso
13.0,Jalen Brunson,PG,75.0,190,"August 31, 1996",us,1,Villanova
55.0,Delon Wright,SG,77.0,183,"April 26, 1992",us,4,Utah
30.0,Seth Curry,SG,74.0,185,"August 23, 1990",us,5,"Liberty, Duke"
42.0,Maxi Kleber,PF,83.0,240,"January 29, 1992",de,2,
10.0,Dorian Finney-Smith,PF,80.0,220,"May 4, 1993",us,3,Florida
6.0,Kristaps Porzingis,PF,87.0,240,"August 2, 1995",lv,3,
,Antonius Cleveland  (TW),G,78.0,195,"February 2, 1994",us,1,SE Missouri State
,Isaiah Roby,F,80.0,230,"February 3, 1998",us,R,Nebraska
,Josh Reaves  (TW),G,77.0,215,"June 4, 1997",us,R,Penn State
,J.J. Barea,G,72.0,185,"June 26, 1984",pr,13,Northeastern University
,Boban Marjanovic,C,87.0,290,"August 15, 1988",rs,4,
