No.,Player,Pos,Ht,Wt,Birth.Date,Var.7,Exp,College
1.0,Reggie Jackson,PG,75.0,208,"April 16, 1990",it,8,Boston College
0.0,Andre Drummond,C,83.0,279,"August 10, 1993",us,7,UConn
7.0,Thon Maker,C,85.0,221,"February 25, 1997",ss,3,
5.0,Luke Kennard,SG,77.0,206,"June 24, 1996",us,2,Duke
9.0,Langston Galloway,SG,74.0,200,"December 9, 1991",us,5,Saint Joseph's
,Blake Griffin,F,82.0,250,"March 16, 1989",us,9,Oklahoma
17.0,Tony Snell,SF,79.0,213,"November 10, 1991",us,6,New Mexico
6.0,Bruce Brown,SG,77.0,202,"August 15, 1996",us,1,Miami (FL)
,Sviatoslav Mykhailiuk,G-F,80.0,205,"June 10, 1997",ua,1,Kansas
,Khyri Thomas,G,75.0,210,"May 8, 1996",us,1,Creighton
35.0,Christian Wood,PF,82.0,214,"September 27, 1995",us,3,UNLV
,Sekou Doumbouya,F,81.0,209,"December 23, 2000",gn,R,
,Jordan Bone  (TW),G,74.0,179,"November 5, 1997",us,R,Tennessee
25.0,Derrick Rose,PG,75.0,200,"October 4, 1988",us,10,Memphis
8.0,Markieff Morris,PF,82.0,245,"September 2, 1989",us,8,Kansas
12.0,Tim Frazier,PG,73.0,170,"November 1, 1990",us,5,Penn State
,Louis King  (TW),F,80.0,195,"April 6, 1999",us,R,Oregon
