No.,Player,Pos,Ht,Wt,Birth.Date,Var.7,Exp,College
13.0,James Harden,SG,77.0,220,"August 26, 1989",us,10,Arizona State
10.0,Eric Gordon,SG,76.0,215,"December 25, 1988",us,11,Indiana
17.0,P.J. Tucker,PF,78.0,245,"May 5, 1985",us,8,Texas
0.0,Russell Westbrook,PG,75.0,200,"November 12, 1988",us,11,UCLA
,Isaiah Hartenstein,F,84.0,249,"May 5, 1998",us,1,
15.0,Clint Capela,C,82.0,240,"May 18, 1994",ch,5,
,Gary Clark,F,80.0,225,"November 16, 1994",us,1,Cincinnati
4.0,Danuel House,SF,79.0,215,"June 7, 1993",us,3,Texas A&M
25.0,Austin Rivers,SG,76.0,200,"August 1, 1992",us,7,Duke
19.0,Tyson Chandler,C,85.0,240,"October 2, 1982",us,18,
16.0,Ben McLemore,SG,77.0,195,"February 11, 1993",us,6,Kansas
,Gerald Green,G-F,79.0,205,"January 26, 1986",us,12,
,Chris Clemons  (TW),G,69.0,180,"July 23, 1997",us,R,Campbell
,Nene,F-C,83.0,250,"September 13, 1982",br,17,
18.0,Thabo Sefolosha,SF,79.0,220,"May 2, 1984",ch,13,
,Ryan Anderson,F,82.0,240,"May 6, 1988",us,11,Cal
,Michael Frazier  (TW),G,76.0,200,"March 8, 1994",us,R,Florida
