No.,Player,Pos,Ht,Wt,Birth.Date,Var.7,Exp,College
,Victor Oladipo,G,76.0,210,"May 4, 1992",us,6,Indiana
11.0,Domantas Sabonis,C,83.0,240,"May 3, 1996",us,3,Gonzaga
22.0,T.J. Leaf,PF,82.0,225,"April 30, 1997",il,2,UCLA
1.0,T.J. Warren,SF,80.0,215,"September 5, 1993",us,5,NC State
3.0,Aaron Holiday,PG,73.0,185,"September 30, 1996",us,1,UCLA
20.0,Doug McDermott,PF,80.0,225,"January 3, 1992",us,5,Creighton
,Alize Johnson,F,81.0,212,"April 22, 1996",us,1,Missouri State
33.0,Myles Turner,C,83.0,250,"March 24, 1996",us,4,Texas
7.0,Malcolm Brogdon,PG,77.0,229,"December 11, 1992",us,3,Virginia
88.0,Goga Bitadze,C,83.0,245,"July 20, 1999",ge,R,
26.0,Jeremy Lamb,SG,77.0,185,"May 30, 1992",us,7,UConn
,Naz Mitrou-Long  (TW),G,76.0,218,"August 3, 1993",ca,2,Iowa State
,Brian Bowen  (TW),F,79.0,190,"October 2, 1998",us,R,
5.0,Edmond Sumner,PG,78.0,176,"December 31, 1995",us,2,Xavier
,JaKarr Sampson,G-F,81.0,215,"March 20, 1993",us,4,St. John's
8.0,Justin Holiday,SG,78.0,181,"April 5, 1989",us,6,Washington
9.0,T.J. McConnell,PG,74.0,190,"March 25, 1992",us,4,"Duquesne, Arizona"
