No.,Player,Pos,Ht,Wt,Birth.Date,Var.7,Exp,College
8.0,Maurice Harkless,PF,81.0,220,"May 11, 1993",us,7,St. John's
23.0,Lou Williams,SG,73.0,175,"October 27, 1986",us,14,
20.0,Landry Shamet,SG,77.0,188,"March 13, 1997",us,1,Wichita State
1.0,Jerome Robinson,SG,77.0,190,"February 22, 1997",us,1,Boston College
,Paul George,F,81.0,220,"May 2, 1990",us,9,Fresno State
5.0,Montrezl Harrell,C,80.0,240,"January 26, 1994",us,4,Louisville
25.0,Mfiondu Kabengele,C,82.0,250,"August 14, 1997",ca,R,Florida State
14.0,Terance Mann,SG,79.0,215,"October 18, 1996",us,R,Florida State
2.0,Kawhi Leonard,SF,79.0,230,"June 29, 1991",us,8,San Diego State
40.0,Ivica Zubac,C,85.0,240,"March 18, 1997",ba,3,
,Rodney McGruder,G,76.0,200,"July 29, 1991",us,3,Kansas State
21.0,Patrick Beverley,PG,73.0,185,"July 12, 1988",us,7,Arkansas
4.0,JaMychal Green,PF,81.0,227,"June 21, 1990",us,5,Alabama
15.0,Johnathan Motley  (TW),PF,82.0,230,"May 4, 1995",us,2,Baylor
,Amir Coffey  (TW),G,80.0,205,"June 17, 1997",us,R,Minnesota
,Derrick Walton,G,73.0,189,"April 3, 1995",us,1,Michigan
54.0,Patrick Patterson,PF,81.0,230,"March 14, 1989",us,9,Kentucky
