No.,Player,Pos,Ht,Wt,Birth.Date,Var.7,Exp,College
20.0,Justise Winslow,SF,78.0,225,"March 26, 1996",us,4,Duke
7.0,Goran Dragic,PG,75.0,190,"May 6, 1986",si,11,
0.0,Meyers Leonard,C,84.0,260,"February 27, 1992",us,7,Illinois
13.0,Bam Adebayo,C,81.0,255,"July 18, 1997",us,2,Kentucky
,James Johnson,F,79.0,240,"February 20, 1987",us,10,Wake Forest
,Dion Waiters,G,75.0,215,"December 10, 1991",us,7,Syracuse
9.0,Kelly Olynyk,C,83.0,240,"April 19, 1991",ca,6,Gonzaga
5.0,Derrick Jones Jr.,SF,78.0,210,"February 15, 1997",us,3,UNLV
55.0,Duncan Robinson,PF,79.0,215,"April 22, 1994",us,1,"Williams, Michigan"
25.0,Kendrick Nunn,SG,74.0,190,"August 3, 1995",us,R,"Illinois, Oakland"
4.0,KZ Okpala,SF,80.0,215,"April 28, 1999",us,R,Stanford
14.0,Tyler Herro,SG,77.0,200,"January 20, 2000",us,R,Kentucky
,Jimmy Butler,F-G,79.0,230,"September 14, 1989",us,8,Marquette
30.0,Chris Silva  (TW),PF,80.0,230,"September 19, 1996",ga,R,South Carolina
,Udonis Haslem,F-C,80.0,235,"June 9, 1980",us,16,Florida
15.0,Daryl Macon  (TW),SG,74.0,185,"November 29, 1995",us,1,Arkansas
