No.,Player,Pos,Ht,Wt,Birth.Date,Var.7,Exp,College
6.0,Eric Bledsoe,PG,73.0,205,"December 9, 1989",us,9,Kentucky
34.0,Giannis Antetokounmpo,PF,83.0,242,"December 6, 1994",gr,6,
,D.J. Wilson,F,82.0,231,"February 19, 1996",us,2,Michigan
23.0,Sterling Brown,SG,78.0,232,"February 10, 1995",us,2,SMU
,Donte DiVincenzo,G,76.0,203,"January 31, 1997",us,1,Villanova
7.0,Ersan Ilyasova,PF,82.0,235,"May 15, 1987",tr,11,
24.0,Pat Connaughton,SG,76.0,209,"January 6, 1993",us,4,Notre Dame
11.0,Brook Lopez,C,84.0,270,"April 1, 1988",us,11,Stanford
3.0,George Hill,PG,75.0,188,"May 4, 1986",us,11,IUPUI
22.0,Khris Middleton,SF,80.0,222,"August 12, 1991",us,7,Texas A&M
42.0,Robin Lopez,C,84.0,275,"April 1, 1988",us,11,Stanford
9.0,Wesley Matthews,SG,77.0,220,"October 14, 1986",us,10,Marquette
,Thanasis Antetokounmpo,F,79.0,205,"July 18, 1992",gr,1,
,Dragan Bender,F,85.0,225,"November 17, 1997",ba,3,
,Cameron Reynolds  (TW),G,80.0,225,"February 7, 1995",us,1,Tulane
,Frank Mason III  (TW),G,71.0,190,"April 3, 1994",us,2,Kansas
26.0,Kyle Korver,SG,79.0,212,"March 17, 1981",us,16,Creighton
