No.,Player,Pos,Ht,Wt,Birth.Date,Var.7,Exp,College
5.0,Gorgui Dieng,C,83.0,252,"January 18, 1990",sn,6,Louisville
0.0,Jeff Teague,PG,76.0,195,"June 10, 1988",us,10,Wake Forest
22.0,Andrew Wiggins,SF,80.0,194,"February 23, 1995",ca,5,Kansas
33.0,Robert Covington,PF,80.0,211,"December 14, 1990",us,6,Tennessee State
20.0,Josh Okogie,SG,76.0,212,"September 1, 1998",ng,1,Georgia Tech
,Keita Bates-Diop,F,81.0,229,"January 23, 1996",us,1,Ohio State
13.0,Shabazz Napier,PG,73.0,175,"July 14, 1991",us,5,UConn
12.0,Treveon Graham,SG,78.0,223,"October 28, 1993",us,3,Virginia Commonwealth
32.0,Karl-Anthony Towns,C,84.0,248,"November 15, 1995",us,4,Kentucky
23.0,Jarrett Culver,SG,79.0,195,"February 20, 1999",us,R,Texas Tech
10.0,Jake Layman,PF,81.0,209,"March 7, 1994",us,3,Maryland
1.0,Noah Vonleh,C,81.0,257,"August 24, 1995",us,5,Indiana
,Jordan McLaughlin  (TW),G,72.0,170,"April 9, 1996",us,R,USC
,Jaylen Nowell,G,77.0,196,"July 9, 1999",us,R,Washington
30.0,Kelan Martin  (TW),SF,78.0,235,"August 3, 1995",us,R,Butler
,Naz Reid,F,82.0,264,"August 26, 1999",us,R,LSU
7.0,Jordan Bell,PF,81.0,216,"January 7, 1995",us,2,Oregon
