No.,Player,Pos,Ht,Wt,Birth.Date,Var.7,Exp,College
55.0,E'Twaun Moore,SG,76.0,191,"February 25, 1989",us,8,Purdue
14.0,Brandon Ingram,PF,81.0,190,"September 2, 1997",us,3,Duke
2.0,Lonzo Ball,PG,78.0,190,"October 27, 1997",us,2,UCLA
3.0,Josh Hart,SF,77.0,215,"March 6, 1995",us,2,Villanova
11.0,Jrue Holiday,SG,76.0,205,"June 12, 1990",us,10,UCLA
15.0,Frank Jackson,PG,75.0,205,"May 4, 1998",us,1,Duke
22.0,Derrick Favors,C,82.0,265,"July 15, 1991",us,9,Georgia Tech
34.0,Kenrich Williams,PF,79.0,210,"December 2, 1994",us,1,TCU
8.0,Jahlil Okafor,C,83.0,275,"December 15, 1995",us,4,Duke
,Zion Williamson,F,79.0,285,"July 6, 2000",us,R,Duke
,Jaxson Hayes,F,83.0,220,"May 23, 2000",us,R,Texas
0.0,Nickeil Alexander-Walker,SG,77.0,205,"September 2, 1998",ca,R,Virginia Tech
4.0,J.J. Redick,SG,76.0,200,"June 24, 1984",us,13,Duke
20.0,Nicolo Melli,C,81.0,235,"January 26, 1991",it,R,
,Darius Miller,F,80.0,225,"March 21, 1990",us,5,Kentucky
,Josh Gray  (TW),G,73.0,180,"September 9, 1993",us,1,LSU
,Zylan Cheatham  (TW),F,80.0,220,"November 17, 1995",us,R,"San Diego State, Arizona State"
