No.,Player,Pos,Ht,Wt,Birth.Date,Var.7,Exp,College
11.0,Frank Ntilikina,PG,76.0,190,"July 28, 1998",be,2,
5.0,Dennis Smith Jr.,PG,74.0,195,"November 25, 1997",us,2,NC State
21.0,Damyean Dotson,SG,77.0,202,"May 6, 1994",us,2,"Oregon, Houston"
20.0,Kevin Knox,SF,79.0,215,"August 11, 1999",us,1,Kentucky
23.0,Mitchell Robinson,C,84.0,223,"April 1, 1998",us,1,Western Kentucky
14.0,Allonzo Trier,SG,76.0,200,"January 17, 1996",us,1,Arizona
,Kadeem Allen  (TW),G,73.0,200,"January 15, 1993",us,2,Arizona
9.0,RJ Barrett,SG,78.0,202,"June 14, 2000",ca,R,Duke
,Ignas Brazdeikis,F,78.0,216,"January 8, 1999",lt,R,Michigan
30.0,Julius Randle,PF,80.0,250,"November 29, 1994",us,5,Kentucky
67.0,Taj Gibson,C,81.0,225,"June 24, 1985",us,10,USC
1.0,Bobby Portis,C,82.0,246,"February 10, 1995",us,4,Arkansas
2.0,Wayne Ellington,SG,76.0,200,"November 29, 1987",us,10,UNC
6.0,Elfrid Payton,PG,75.0,185,"February 22, 1994",us,5,Louisiana
13.0,Marcus Morris,PF,80.0,235,"September 2, 1989",us,8,Kansas
,Reggie Bullock,G-F,78.0,200,"March 16, 1991",us,6,UNC
,Ivan Rabb  (TW),F,82.0,220,"February 4, 1997",us,2,Cal
