No.,Player,Pos,Ht,Wt,Birth.Date,Var.7,Exp,College
14.0,D.J. Augustin,PG,72.0,183,"November 10, 1987",us,11,Texas
10.0,Evan Fournier,SG,79.0,205,"October 29, 1992",fr,7,
1.0,Jonathan Isaac,SF,82.0,210,"October 3, 1997",us,2,Florida State
20.0,Markelle Fultz,SG,76.0,200,"May 29, 1998",us,2,Washington
,Wesley Iwundu,F,79.0,195,"December 20, 1994",us,2,Kansas State
5.0,Mohamed Bamba,C,85.0,241,"May 12, 1998",us,1,Texas
0.0,Aaron Gordon,PF,81.0,220,"September 16, 1995",us,5,Arizona
,Melvin Frazier,G,78.0,200,"August 30, 1996",us,1,Tulane
2.0,Al-Farouq Aminu,PF,81.0,220,"September 21, 1990",us,9,Wake Forest
9.0,Nikola Vucevic,C,84.0,260,"October 24, 1990",ch,8,USC
8.0,Terrence Ross,SG,79.0,206,"February 5, 1991",us,7,Washington
7.0,Michael Carter-Williams,PG,78.0,190,"October 10, 1991",us,6,Syracuse
,Khem Birch,C-F,81.0,233,"September 28, 1992",ca,2,"Pitt, UNLV"
,Josh Magette  (TW),G,73.0,160,"November 28, 1989",us,1,Alabama-Huntsville
,Amile Jefferson  (TW),F,81.0,222,"May 7, 1993",us,1,Duke
