No.,Player,Pos,Ht,Wt,Birth.Date,Var.7,Exp,College
25.0,Ben Simmons,PG,82.0,230,"July 20, 1996",au,2,LSU
0.0,Josh Richardson,SG,78.0,200,"September 15, 1993",us,4,Tennessee
21.0,Joel Embiid,C,84.0,250,"March 16, 1994",cm,3,Kansas
,Zhaire Smith,G,76.0,199,"June 4, 1999",us,1,Texas Tech
,Jonah Bolden,F,82.0,220,"January 2, 1996",au,1,UCLA
,Norvel Pelle  (TW),F-C,83.0,216,"February 3, 1993",ag,R,
22.0,Matisse Thybulle,SG,77.0,200,"March 4, 1997",us,R,Washington
,Marial Shayok  (TW),G,77.0,196,"July 26, 1995",ca,R,"Virginia, Iowa State"
18.0,Shake Milton  (TW),SG,78.0,207,"September 26, 1996",us,1,SMU
42.0,Al Horford,PF,82.0,245,"June 3, 1986",do,12,Florida
12.0,Tobias Harris,SF,81.0,235,"July 15, 1992",us,8,Tennessee
1.0,Mike Scott,PF,80.0,237,"July 16, 1988",us,7,Virginia
9.0,Kyle O'Quinn,C,82.0,250,"March 26, 1990",us,7,Norfolk State
11.0,James Ennis,SF,79.0,210,"July 1, 1990",us,5,Cal State Long Beach
19.0,Raul Neto,PG,73.0,179,"May 19, 1992",br,4,
,Trey Burke,G,73.0,175,"November 12, 1992",us,6,Michigan
30.0,Furkan Korkmaz,SG,79.0,190,"July 24, 1997",tr,2,
