No.,Player,Pos,Ht,Wt,Birth.Date,Var.7,Exp,College
16.0,Tyler Johnson,PG,76.0,190,"May 7, 1992",us,5,Fresno State
20.0,Dario Saric,PF,82.0,225,"April 8, 1994",hr,3,
22.0,Deandre Ayton,C,85.0,250,"July 23, 1998",bs,1,Arizona
25.0,Mikal Bridges,SF,79.0,210,"August 30, 1996",us,1,Villanova
46.0,Aron Baynes,C,82.0,260,"December 9, 1986",nz,7,Washington State
2.0,Elie Okobo,PG,75.0,190,"October 23, 1997",fr,1,
1.0,Devin Booker,SG,78.0,210,"October 30, 1996",us,4,Kentucky
4.0,Jevon Carter,PG,74.0,195,"September 14, 1995",us,1,West Virginia
23.0,Cameron Johnson,SF,81.0,205,"March 3, 1996",us,R,"Pitt, UNC"
,Ty Jerome,G,77.0,195,"July 8, 1997",us,R,Virginia
11.0,Ricky Rubio,PG,76.0,190,"October 21, 1990",es,8,
3.0,Kelly Oubre Jr.,SF,79.0,205,"December 9, 1995",us,4,Kansas
8.0,Frank Kaminsky,C,84.0,240,"April 4, 1993",us,4,Wisconsin
14.0,Cheick Diallo,C,81.0,220,"September 13, 1996",ml,3,Kansas
12.0,Jared Harper  (TW),PG,71.0,175,"September 14, 1997",us,R,Auburn
,Jalen Lecque,G,76.0,185,"June 13, 2000",us,R,
