No.,Player,Pos,Ht,Wt,Birth.Date,Var.7,Exp,College
24.0,Buddy Hield,SG,76.0,220,"December 17, 1992",bs,3,Oklahoma
50.0,Caleb Swanigan,PF,81.0,260,"April 18, 1997",us,2,Purdue
,Harry Giles,F-C,82.0,240,"April 22, 1998",us,1,Duke
5.0,De'Aaron Fox,PG,75.0,185,"December 20, 1997",us,2,Kentucky
8.0,Bogdan Bogdanovic,SG,78.0,220,"August 18, 1992",rs,2,
35.0,Marvin Bagley III,PF,83.0,240,"March 14, 1999",us,1,Duke
88.0,Nemanja Bjelica,PF,82.0,235,"May 9, 1988",rs,4,
3.0,Yogi Ferrell,PG,72.0,180,"May 9, 1993",us,3,Indiana
32.0,Wenyen Gabriel  (TW),PF,81.0,220,"March 26, 1997",sd,R,Kentucky
,Kyle Guy  (TW),G,73.0,170,"August 11, 1997",us,R,Virginia
10.0,Justin James,SG,79.0,190,"January 24, 1997",us,R,Wyoming
9.0,Cory Joseph,PG,75.0,200,"August 20, 1991",ca,8,Texas
0.0,Trevor Ariza,SF,80.0,215,"June 30, 1985",us,15,UCLA
40.0,Harrison Barnes,SF,80.0,225,"May 30, 1992",us,7,UNC
13.0,Dewayne Dedmon,C,84.0,245,"August 12, 1989",us,6,USC
22.0,Richaun Holmes,C,82.0,240,"October 15, 1993",us,4,Bowling Green
,DaQuan Jeffries,G-F,76.0,216,"August 30, 1997",us,R,"Oral Roberts, Tulsa"
