No.,Player,Pos,Ht,Wt,Birth.Date,Var.7,Exp,College
,John Wall,G,76.0,210,"September 6, 1990",us,9,Kentucky
,Ian Mahinmi,C,83.0,262,"November 5, 1986",fr,11,
3.0,Bradley Beal,SG,75.0,207,"June 28, 1993",us,7,Florida
,C.J. Miles,G-F,78.0,220,"March 18, 1987",us,14,
21.0,Moritz Wagner,C,83.0,245,"April 26, 1997",de,1,Michigan
,Troy Brown Jr.,G-F,78.0,215,"July 28, 1999",us,1,Oregon
17.0,Isaac Bonga,SF,80.0,180,"November 8, 1999",de,1,
42.0,Davis Bertans,PF,82.0,225,"November 12, 1992",lv,3,
52.0,Jordan McRae,SG,77.0,179,"March 28, 1991",us,3,Tennessee
8.0,Rui Hachimura,SF,80.0,230,"February 8, 1998",jp,R,Gonzaga
1.0,Admiral Schofield,SF,77.0,241,"March 30, 1997",gb,R,Tennessee
13.0,Thomas Bryant,C,82.0,248,"July 31, 1997",us,2,Indiana
14.0,Ish Smith,PG,72.0,175,"July 5, 1988",us,9,Wake Forest
4.0,Isaiah Thomas,PG,69.0,185,"February 7, 1989",us,8,Washington
24.0,Garrison Mathews  (TW),SG,77.0,215,"October 24, 1996",us,R,Lipscomb
5.0,Justin Robinson,PG,73.0,195,"October 12, 1997",us,R,Virginia Tech
9.0,Chris Chiozza  (TW),PG,72.0,175,"November 21, 1995",us,1,Florida
