Name,Unnamed: 0,Unnamed: 0.1,MP,FG,FGA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PTS,FPTS
James Harden,0,1,38.0,9.0,28.0,13.0,14.0,0.0,4.0,6.0,3.0,0.0,4.0,35.0,53.8
Kyrie Irving,1,2,33.0,12.0,21.0,0.0,0.0,0.0,7.0,11.0,0.0,0.0,4.0,26.0,46.9
Al Horford,2,3,31.0,8.0,16.0,1.0,2.0,1.0,10.0,3.0,1.0,3.0,0.0,20.0,49.7
Kevin Durant,3,4,43.0,11.0,25.0,12.0,15.0,0.0,5.0,3.0,1.0,1.0,6.0,35.0,45.5
Eric Gordon,4,5,36.0,10.0,19.0,3.0,4.0,0.0,4.0,0.0,0.0,2.0,2.0,27.0,35.8
Draymond Green,5,6,39.0,7.0,9.0,0.0,0.0,3.0,6.0,9.0,1.0,1.0,5.0,14.0,39.3
Khris Middleton,6,7,33.0,5.0,12.0,3.0,3.0,0.0,10.0,6.0,0.0,0.0,2.0,16.0,35.0
Chris Paul,7,8,36.0,5.0,9.0,4.0,7.0,1.0,2.0,4.0,3.0,0.0,5.0,17.0,30.6
Gordon Hayward,8,9,29.0,5.0,8.0,2.0,2.0,0.0,4.0,5.0,1.0,1.0,2.0,13.0,29.3
Stephen Curry,9,10,37.0,5.0,12.0,5.0,5.0,0.0,7.0,4.0,1.0,0.0,3.0,18.0,32.4
Jaylen Brown,10,11,35.0,8.0,14.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,19.0,22.8
Andre Iguodala,11,12,34.0,6.0,7.0,1.0,4.0,2.0,2.0,2.0,0.0,1.0,1.0,14.0,23.8
Marcus Morris,12,13,30.0,4.0,6.0,0.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,9.0,27.9
Giannis Antetokounmpo,13,14,34.0,7.0,21.0,5.0,10.0,1.0,7.0,2.0,0.0,1.0,2.0,22.0,35.6
NenÃª HilÃ¡rio,14,15,13.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,8.0,20.9
Nikola Mirotic,15,16,20.0,5.0,9.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,13.0,17.8
Terry Rozier,16,17,19.0,4.0,8.0,1.0,2.0,0.0,9.0,3.0,0.0,0.0,0.0,11.0,26.3
Ersan Ilyasova,17,18,19.0,3.0,9.0,3.0,3.0,2.0,4.0,0.0,1.0,0.0,0.0,9.0,19.2
George Hill,18,19,24.0,4.0,8.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,9.0,15.9
Klay Thompson,19,20,41.0,5.0,13.0,1.0,1.0,0.0,4.0,3.0,2.0,0.0,3.0,13.0,25.3
Eric Bledsoe,21,22,25.0,1.0,5.0,4.0,6.0,2.0,0.0,4.0,2.0,0.0,1.0,6.0,19.4
Clint Capela,22,23,26.0,1.0,2.0,2.0,2.0,0.0,6.0,2.0,0.0,0.0,0.0,4.0,14.2
Jayson Tatum,23,24,29.0,2.0,7.0,0.0,0.0,1.0,5.0,1.0,1.0,3.0,0.0,4.0,24.7
Kevon Looney,24,25,15.0,3.0,4.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,6.0,12.1
Tim Frazier,25,26,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,9.2
Daniel Theis,26,27,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,6.0
Shaun Livingston,27,28,14.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,8.0
Aron Baynes,28,29,8.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,6.0
Gerald Green,29,30,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0
Andrew Bogut,30,31,4.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,5.6
Tony Snell,31,32,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
D.J. Wilson,32,33,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
Robert III,33,34,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.4
Semi Ojeleye,34,35,8.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
Iman Shumpert,35,36,20.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,7.2
Guerschon Yabusele,36,37,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2
P.J. Tucker,37,38,39.0,0.0,4.0,0.0,0.0,1.0,2.0,1.0,4.0,0.0,1.0,0.0,16.1
Jordan Bell,38,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pat Connaughton,39,40,24.0,2.0,10.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,2.0,5.0,12.0
Danuel House,40,41,20.0,1.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,5.6
Alfonzo McKinnie,42,43,9.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.6
Brook Lopez,43,44,25.0,1.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,3.0,8.6
Brad Wanamaker,44,45,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5
