Name,Unnamed: 0,Unnamed: 0.1,MP,FG,FGA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PTS,FPTS
Karl-Anthony Towns,0,1,37.0,12.0,24.0,7.0,9.0,10.0,8.0,7.0,3.0,6.0,3.0,34.0,90.1
CJ McCollum,1,2,27.0,13.0,18.0,5.0,5.0,1.0,2.0,3.0,0.0,0.0,0.0,35.0,43.1
D.J. Augustin,2,3,37.0,6.0,11.0,10.0,10.0,1.0,1.0,8.0,2.0,0.0,1.0,26.0,45.4
Paul George,3,4,36.0,12.0,24.0,9.0,12.0,3.0,2.0,0.0,2.0,0.0,3.0,36.0,45.0
Brandon Ingram,4,5,39.0,9.0,13.0,2.0,4.0,1.0,6.0,9.0,1.0,2.0,3.0,21.0,48.9
De'Aaron Fox,5,6,34.0,12.0,19.0,1.0,2.0,0.0,4.0,7.0,3.0,1.0,3.0,26.0,50.3
Nikola Vucevic,6,7,34.0,10.0,15.0,2.0,2.0,2.0,9.0,4.0,1.0,2.0,3.0,22.0,47.2
Pascal Siakam,7,8,33.0,7.0,12.0,5.0,6.0,6.0,6.0,4.0,0.0,0.0,3.0,20.0,37.4
Aaron Gordon,8,9,34.0,8.0,15.0,5.0,7.0,2.0,8.0,4.0,0.0,1.0,2.0,22.0,41.0
Josh Hart,9,10,39.0,8.0,14.0,3.0,5.0,0.0,7.0,3.0,2.0,0.0,2.0,22.0,38.9
Al-Farouq Aminu,10,11,22.0,5.0,6.0,5.0,5.0,1.0,7.0,2.0,0.0,0.0,0.0,16.0,28.6
Kentavious Caldwell-Pope,11,12,28.0,9.0,21.0,3.0,3.0,1.0,2.0,1.0,2.0,0.0,1.0,26.0,36.1
Derrick Jr.,12,13,24.0,7.0,11.0,2.0,2.0,7.0,2.0,0.0,1.0,1.0,1.0,16.0,31.8
Kawhi Leonard,13,14,34.0,8.0,22.0,10.0,11.0,1.0,8.0,0.0,0.0,0.0,2.0,27.0,35.8
DeAndre Jordan,14,15,33.0,4.0,6.0,4.0,6.0,3.0,14.0,1.0,2.0,2.0,3.0,12.0,42.9
Tyus Jones,15,16,36.0,5.0,12.0,2.0,2.0,1.0,3.0,5.0,5.0,0.0,1.0,12.0,38.3
Luka Doncic,16,17,33.0,9.0,19.0,3.0,4.0,0.0,3.0,7.0,1.0,0.0,6.0,25.0,36.1
Dwyane Wade,17,18,27.0,8.0,15.0,5.0,7.0,1.0,3.0,5.0,0.0,1.0,3.0,21.0,33.3
Wendell Jr.,18,19,33.0,6.0,10.0,4.0,4.0,4.0,7.0,1.0,0.0,0.0,3.0,16.0,27.7
T.J. McConnell,19,20,26.0,6.0,7.0,1.0,2.0,0.0,3.0,2.0,2.0,0.0,1.0,14.0,25.6
Bogdan Bogdanovic,21,22,32.0,9.0,18.0,0.0,0.0,1.0,4.0,4.0,1.0,1.0,4.0,21.0,35.0
Luke Kennard,22,23,22.0,7.0,11.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,1.0,16.0,26.7
Robert Covington,23,24,35.0,4.0,9.0,7.0,7.0,1.0,3.0,0.0,1.0,2.0,0.0,16.0,29.8
Zaza Pachulia,24,25,23.0,2.0,5.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0,0.0,8.0,33.2
Josh Richardson,25,26,36.0,4.0,13.0,7.0,7.0,2.0,2.0,2.0,1.0,1.0,0.0,17.0,30.8
Blake Griffin,26,27,33.0,4.0,10.0,6.0,6.0,0.0,2.0,5.0,1.0,0.0,1.0,15.0,26.9
Lauri Markkanen,27,28,39.0,6.0,14.0,2.0,2.0,0.0,10.0,1.0,2.0,0.0,3.0,18.0,34.5
Kyle Kuzma,28,29,40.0,5.0,17.0,4.0,4.0,1.0,8.0,6.0,0.0,0.0,2.0,18.0,35.8
Ben Simmons,29,30,24.0,7.0,12.0,5.0,10.0,0.0,3.0,3.0,1.0,0.0,2.0,19.0,28.1
Dennis SchrÃ¶der,30,31,32.0,8.0,19.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,19.0,33.3
Kelly Olynyk,31,32,25.0,4.0,8.0,2.0,3.0,2.0,4.0,3.0,2.0,1.0,3.0,13.0,30.7
Willie Cauley-Stein,32,33,32.0,5.0,10.0,1.0,1.0,2.0,10.0,2.0,0.0,3.0,2.0,11.0,35.4
Andre Drummond,33,34,24.0,7.0,13.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,2.0,14.0,30.0
Taj Gibson,34,35,29.0,6.0,10.0,2.0,3.0,1.0,6.0,1.0,0.0,0.0,1.0,14.0,22.9
JaVale McGee,35,36,23.0,4.0,8.0,0.0,0.0,3.0,9.0,1.0,2.0,1.0,1.0,8.0,31.9
Harrison Barnes,36,37,35.0,6.0,13.0,3.0,3.0,1.0,5.0,0.0,2.0,0.0,2.0,16.0,27.2
Danny Green,37,38,29.0,4.0,8.0,0.0,0.0,1.0,3.0,0.0,2.0,2.0,0.0,10.0,26.8
Steven Adams,38,39,37.0,4.0,5.0,0.0,2.0,2.0,7.0,2.0,2.0,0.0,0.0,8.0,27.8
Zach Collins,39,40,25.0,3.0,4.0,1.0,4.0,1.0,5.0,4.0,1.0,1.0,0.0,7.0,26.2
Dorian Finney-Smith,40,41,22.0,3.0,5.0,3.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,10.0,19.8
Chandler Hutchison,42,43,14.0,5.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,11.0,14.6
Dario Âaric,43,44,18.0,4.0,10.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,13.0,23.3
