Name,Unnamed: 0,Unnamed: 0.1,MP,FG,FGA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PTS,FPTS
Damian Lillard,0,1,37.0,12.0,21.0,9.0,9.0,0.0,8.0,11.0,2.0,0.0,3.0,36.0,65.1
Nikola Jokic,1,2,37.0,9.0,16.0,2.0,2.0,1.0,12.0,10.0,3.0,2.0,2.0,20.0,63.6
Mike Conley,2,3,41.0,11.0,20.0,1.0,1.0,1.0,4.0,8.0,2.0,0.0,1.0,26.0,49.0
Monte Morris,3,4,39.0,8.0,12.0,1.0,1.0,0.0,7.0,7.0,2.0,0.0,0.0,20.0,44.9
CJ McCollum,4,5,30.0,12.0,17.0,3.0,4.0,0.0,3.0,1.0,2.0,1.0,3.0,30.0,41.1
Terry Rozier,5,6,27.0,5.0,10.0,4.0,4.0,0.0,5.0,10.0,3.0,0.0,1.0,17.0,46.0
Bradley Beal,6,7,30.0,9.0,15.0,5.0,5.0,0.0,6.0,6.0,1.0,0.0,2.0,25.0,42.2
Wayne Selden,7,8,35.0,6.0,10.0,4.0,4.0,0.0,2.0,8.0,1.0,0.0,1.0,20.0,36.4
Jeff Green,8,9,29.0,8.0,16.0,4.0,4.0,1.0,4.0,6.0,0.0,2.0,2.0,23.0,42.0
Jerryd Bayless,9,10,43.0,8.0,19.0,2.0,4.0,2.0,5.0,12.0,2.0,0.0,0.0,19.0,51.4
Al Horford,10,11,24.0,7.0,9.0,0.0,0.0,4.0,3.0,5.0,2.0,2.0,1.0,14.0,40.9
Jaylen Brown,11,12,29.0,10.0,18.0,2.0,2.0,1.0,9.0,2.0,1.0,0.0,2.0,24.0,40.0
Trae Young,12,13,28.0,7.0,12.0,5.0,6.0,1.0,0.0,8.0,1.0,0.0,5.0,23.0,34.2
Harry III,13,14,20.0,10.0,12.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,20.0,29.9
Meyers Leonard,14,15,24.0,6.0,7.0,0.0,0.0,1.0,5.0,4.0,0.0,0.0,0.0,16.0,29.2
Jrue Holiday,15,16,36.0,7.0,13.0,5.0,6.0,1.0,5.0,6.0,1.0,0.0,4.0,22.0,37.2
Malik Beasley,16,17,29.0,9.0,14.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,22.0,28.9
Bobby Portis,17,18,24.0,10.0,17.0,4.0,4.0,1.0,3.0,2.0,0.0,1.0,3.0,26.0,33.8
Kenrich Williams,18,19,37.0,8.0,14.0,0.0,0.0,0.0,8.0,3.0,0.0,2.0,2.0,21.0,39.1
Jayson Tatum,19,20,27.0,9.0,15.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,0.0,20.0,30.5
Rudy Gobert,21,22,26.0,7.0,9.0,1.0,2.0,1.0,8.0,2.0,0.0,2.0,1.0,15.0,33.8
Donovan Mitchell,22,23,27.0,8.0,16.0,5.0,6.0,2.0,2.0,2.0,1.0,0.0,2.0,22.0,30.8
Dennis Jr.,23,24,28.0,5.0,12.0,3.0,3.0,1.0,9.0,15.0,0.0,0.0,5.0,13.0,42.5
Marvin III,24,25,28.0,7.0,14.0,3.0,6.0,5.0,7.0,2.0,1.0,0.0,2.0,17.0,35.4
Joe Ingles,25,26,27.0,3.0,5.0,6.0,6.0,0.0,2.0,5.0,1.0,0.0,2.0,14.0,24.9
Buddy Hield,26,27,25.0,6.0,11.0,2.0,2.0,0.0,3.0,3.0,1.0,1.0,2.0,18.0,30.1
Kemba Walker,27,28,26.0,9.0,20.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,21.0,30.2
Bogdan Bogdanovic,28,29,28.0,5.0,14.0,3.0,3.0,0.0,4.0,7.0,1.0,0.0,2.0,16.0,32.3
Marc Gasol,29,30,42.0,6.0,16.0,6.0,7.0,2.0,5.0,4.0,0.0,0.0,1.0,19.0,32.4
Gorgui Dieng,30,31,22.0,3.0,5.0,4.0,4.0,1.0,2.0,4.0,1.0,1.0,0.0,10.0,25.6
Darius Miller,31,32,37.0,4.0,13.0,3.0,3.0,0.0,6.0,5.0,2.0,0.0,1.0,15.0,34.7
Marcus Morris,32,33,26.0,6.0,11.0,2.0,2.0,0.0,7.0,3.0,0.0,0.0,1.0,15.0,26.9
Harrison Barnes,33,34,29.0,7.0,14.0,4.0,5.0,1.0,3.0,2.0,0.0,0.0,2.0,19.0,24.8
Wesley Matthews,34,35,26.0,6.0,11.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,17.0,20.9
Paul Millsap,35,36,33.0,5.0,10.0,3.0,4.0,4.0,4.0,2.0,0.0,2.0,1.0,13.0,30.6
Trey Burke,36,37,32.0,7.0,14.0,1.0,3.0,0.0,1.0,3.0,2.0,1.0,1.0,16.0,29.7
Zach Collins,37,38,23.0,3.0,8.0,5.0,6.0,6.0,3.0,1.0,0.0,1.0,1.0,12.0,26.3
Robin Lopez,38,39,23.0,6.0,8.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,13.0,22.2
Ivan Rabb,39,40,23.0,3.0,4.0,4.0,4.0,4.0,6.0,1.0,0.0,0.0,1.0,10.0,22.5
Kevin Huerter,40,41,24.0,4.0,9.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,1.0,11.0,29.8
Kris Dunn,42,43,34.0,6.0,14.0,1.0,3.0,1.0,4.0,8.0,2.0,0.0,3.0,14.0,35.0
Gordon Hayward,43,44,23.0,5.0,10.0,1.0,2.0,1.0,4.0,3.0,2.0,1.0,2.0,12.0,29.5
Jeremy Lin,44,45,19.0,2.0,6.0,6.0,6.0,0.0,2.0,5.0,0.0,0.0,1.0,11.0,19.9
Dirk Nowitzki,45,46,11.0,5.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0
Thaddeus Young,46,47,26.0,5.0,8.0,2.0,2.0,2.0,5.0,5.0,0.0,1.0,5.0,13.0,26.9
Nemanja Bjelica,47,48,20.0,5.0,11.0,0.0,0.0,4.0,4.0,2.0,1.0,0.0,1.0,12.0,26.6
Mario Hezonja,48,49,31.0,4.0,8.0,4.0,4.0,0.0,2.0,1.0,2.0,0.0,1.0,13.0,21.9
Malik Monk,49,50,25.0,6.0,14.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,16.0,25.9
Marvin Williams,50,51,27.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,10.0,15.4
Derrick Favors,51,52,24.0,6.0,11.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,12.0,22.5
Tyler Johnson,52,53,27.0,5.0,12.0,3.0,3.0,2.0,1.0,2.0,0.0,0.0,1.0,15.0,20.6
Nicolas Batum,53,54,26.0,6.0,11.0,0.0,0.0,2.0,0.0,4.0,2.0,0.0,3.0,13.0,24.4
Tim Frazier,54,55,21.0,1.0,4.0,2.0,2.0,1.0,7.0,8.0,0.0,0.0,0.0,4.0,25.6
Taj Gibson,55,56,36.0,5.0,9.0,0.0,0.0,3.0,2.0,1.0,4.0,1.0,3.0,10.0,29.5
Domantas Sabonis,56,57,22.0,5.0,8.0,0.0,0.0,4.0,4.0,3.0,1.0,0.0,2.0,10.0,25.1
Ryan Arcidiacono,57,58,34.0,4.0,7.0,1.0,1.0,1.0,5.0,3.0,2.0,0.0,1.0,9.0,25.7
