Name,Unnamed: 0,Unnamed: 0.1,MP,FG,FGA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PTS,FPTS
Paul Millsap,0,1,36.0,14.0,19.0,4.0,4.0,1.0,7.0,3.0,1.0,0.0,0.0,33.0,50.1
Buddy Hield,1,2,35.0,14.0,24.0,0.0,0.0,2.0,2.0,7.0,0.0,0.0,1.0,34.0,48.3
Kyrie Irving,2,3,37.0,11.0,28.0,8.0,9.0,3.0,7.0,12.0,1.0,1.0,2.0,31.0,65.0
Domantas Sabonis,3,4,27.0,7.0,12.0,12.0,13.0,0.0,7.0,4.0,0.0,1.0,0.0,26.0,43.4
Paul George,4,5,35.0,10.0,23.0,10.0,12.0,0.0,6.0,5.0,2.0,0.0,5.0,36.0,51.7
D.J. Augustin,5,6,25.0,7.0,11.0,5.0,5.0,2.0,1.0,7.0,2.0,0.0,0.0,20.0,40.1
Russell Westbrook,6,7,38.0,8.0,18.0,2.0,2.0,1.0,13.0,11.0,4.0,2.0,4.0,19.0,66.3
Karl-Anthony Towns,7,8,26.0,9.0,15.0,5.0,7.0,4.0,8.0,4.0,1.0,0.0,3.0,26.0,46.4
Marcus Morris,8,9,35.0,7.0,15.0,4.0,5.0,1.0,12.0,2.0,2.0,0.0,1.0,21.0,44.6
Harrison Barnes,9,10,35.0,7.0,12.0,3.0,4.0,0.0,5.0,4.0,1.0,0.0,0.0,20.0,35.0
Luka Doncic,10,11,35.0,10.0,23.0,3.0,7.0,1.0,10.0,9.0,2.0,0.0,3.0,24.0,53.7
De'Aaron Fox,11,12,37.0,7.0,15.0,4.0,8.0,0.0,7.0,9.0,3.0,0.0,1.0,19.0,48.9
Donovan Mitchell,12,13,32.0,8.0,17.0,7.0,9.0,1.0,2.0,6.0,0.0,1.0,1.0,24.0,38.6
Norman Powell,13,14,24.0,7.0,14.0,3.0,4.0,1.0,7.0,2.0,2.0,1.0,0.0,20.0,41.6
Derrick Favors,14,15,26.0,8.0,12.0,1.0,2.0,5.0,6.0,0.0,1.0,2.0,0.0,17.0,39.2
Nikola Vucevic,15,16,26.0,9.0,15.0,1.0,1.0,1.0,10.0,2.0,2.0,0.0,1.0,19.0,40.2
LeBron James,16,17,31.0,12.0,23.0,4.0,7.0,0.0,4.0,6.0,1.0,0.0,4.0,29.0,41.8
Darren Collison,17,18,38.0,6.0,11.0,5.0,5.0,1.0,5.0,7.0,4.0,0.0,4.0,17.0,42.7
Aaron Gordon,18,19,28.0,7.0,16.0,4.0,4.0,0.0,6.0,4.0,1.0,1.0,2.0,21.0,38.2
Kawhi Leonard,19,20,32.0,8.0,20.0,4.0,6.0,0.0,8.0,4.0,2.0,0.0,4.0,25.0,42.6
Alex Caruso,21,22,26.0,5.0,7.0,5.0,5.0,1.0,4.0,5.0,0.0,0.0,1.0,16.0,28.5
Jalen Brunson,22,23,39.0,8.0,15.0,1.0,1.0,2.0,3.0,4.0,1.0,0.0,2.0,20.0,33.0
Khem Birch,23,24,18.0,6.0,8.0,1.0,2.0,4.0,7.0,1.0,2.0,0.0,1.0,13.0,32.7
Tyus Jones,24,25,28.0,6.0,9.0,0.0,0.0,0.0,3.0,9.0,1.0,0.0,0.0,12.0,32.1
Bojan Bogdanovic,25,26,34.0,7.0,16.0,7.0,11.0,0.0,4.0,5.0,0.0,0.0,2.0,23.0,33.3
Willie Cauley-Stein,26,27,28.0,5.0,7.0,0.0,2.0,4.0,9.0,4.0,1.0,0.0,0.0,10.0,34.6
Nikola Jokic,27,28,29.0,4.0,9.0,3.0,4.0,2.0,12.0,8.0,0.0,1.0,2.0,11.0,40.8
Marc Gasol,28,29,26.0,5.0,10.0,3.0,3.0,2.0,5.0,4.0,2.0,0.0,2.0,15.0,33.4
Jae Crowder,29,30,28.0,5.0,10.0,6.0,8.0,0.0,3.0,2.0,1.0,0.0,0.0,18.0,27.6
Collin Sexton,30,31,38.0,7.0,16.0,7.0,8.0,1.0,3.0,3.0,0.0,1.0,4.0,23.0,31.3
Al Horford,31,32,29.0,5.0,9.0,1.0,3.0,1.0,4.0,6.0,1.0,1.0,1.0,12.0,32.0
Dwight Powell,32,33,36.0,5.0,10.0,5.0,5.0,3.0,7.0,0.0,0.0,1.0,2.0,16.0,29.0
Jaylen Brown,33,34,31.0,9.0,16.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,23.2
Pascal Siakam,34,35,39.0,3.0,16.0,10.0,12.0,3.0,2.0,6.0,2.0,2.0,3.0,16.0,40.0
Maxi Kleber,35,36,29.0,4.0,8.0,2.0,2.0,2.0,9.0,1.0,1.0,0.0,0.0,11.0,28.7
Jamal Murray,36,37,38.0,4.0,13.0,2.0,2.0,2.0,3.0,7.0,1.0,0.0,0.0,12.0,31.5
Terrence Ross,37,38,26.0,5.0,12.0,1.0,2.0,0.0,4.0,4.0,2.0,1.0,2.0,14.0,31.8
Rudy Gobert,38,39,28.0,5.0,7.0,0.0,2.0,5.0,8.0,1.0,0.0,2.0,1.0,10.0,32.1
Tim Jr.,39,40,37.0,7.0,15.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,17.0,22.7
Rajon Rondo,40,41,29.0,5.0,10.0,3.0,4.0,1.0,4.0,8.0,1.0,0.0,5.0,13.0,29.0
Joe Ingles,42,43,30.0,5.0,11.0,0.0,0.0,2.0,3.0,8.0,1.0,2.0,6.0,12.0,33.0
Jayson Tatum,43,44,29.0,7.0,10.0,1.0,1.0,0.0,4.0,3.0,0.0,0.0,2.0,15.0,22.3
Marvin III,44,45,19.0,5.0,9.0,3.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,14.0,21.2
Wesley Matthews,45,46,35.0,6.0,15.0,0.0,0.0,2.0,5.0,2.0,2.0,0.0,4.0,16.0,29.4
Steven Adams,46,47,33.0,8.0,14.0,1.0,2.0,3.0,5.0,1.0,0.0,0.0,4.0,17.0,24.1
Ricky Rubio,47,48,21.0,1.0,7.0,5.0,6.0,0.0,3.0,8.0,1.0,0.0,0.0,8.0,26.6
Thaddeus Young,48,49,32.0,5.0,10.0,1.0,1.0,2.0,2.0,2.0,3.0,0.0,3.0,11.0,24.8
Will Barton,49,50,27.0,4.0,9.0,2.0,3.0,0.0,2.0,1.0,1.0,2.0,0.0,11.0,23.9
