Name,Unnamed: 0,Unnamed: 0.1,MP,FG,FGA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PTS,FPTS
Hassan Whiteside,0,1,32.0,10.0,18.0,9.0,11.0,6.0,14.0,2.0,0.0,9.0,1.0,29.0,82.0
Victor Oladipo,1,2,36.0,14.0,30.0,4.0,6.0,0.0,6.0,7.0,2.0,3.0,1.0,36.0,67.7
Anthony Davis,2,3,37.0,13.0,24.0,4.0,7.0,2.0,13.0,7.0,1.0,4.0,4.0,32.0,71.5
Andre Drummond,3,4,35.0,10.0,16.0,2.0,2.0,8.0,11.0,2.0,3.0,1.0,2.0,23.0,58.8
Tim Jr.,4,5,36.0,8.0,22.0,16.0,20.0,0.0,1.0,3.0,3.0,1.0,2.0,34.0,49.7
Derrick Rose,5,6,36.0,11.0,17.0,2.0,2.0,1.0,2.0,5.0,0.0,0.0,4.0,31.0,38.1
Jimmy Butler,6,7,43.0,9.0,18.0,1.0,1.0,2.0,3.0,5.0,3.0,1.0,0.0,24.0,49.5
Omari Spellman,7,8,28.0,6.0,11.0,3.0,3.0,4.0,6.0,4.0,1.0,3.0,0.0,18.0,48.0
Willie Cauley-Stein,8,9,33.0,10.0,15.0,4.0,5.0,0.0,8.0,4.0,1.0,1.0,1.0,24.0,44.6
Donovan Mitchell,9,10,32.0,9.0,17.0,2.0,2.0,1.0,4.0,7.0,2.0,0.0,1.0,23.0,44.5
Evan Fournier,10,11,31.0,12.0,19.0,0.0,0.0,1.0,4.0,3.0,3.0,1.0,4.0,27.0,45.5
LeBron James,11,12,38.0,10.0,21.0,1.0,2.0,1.0,10.0,9.0,0.0,2.0,3.0,24.0,53.7
Marc Gasol,12,13,35.0,6.0,13.0,7.0,7.0,3.0,9.0,4.0,2.0,3.0,3.0,20.0,52.4
DeMar DeRozan,13,14,36.0,6.0,15.0,5.0,5.0,3.0,11.0,8.0,2.0,1.0,3.0,18.0,52.8
Dennis SchrÃ¶der,14,15,34.0,11.0,19.0,6.0,8.0,0.0,7.0,0.0,1.0,1.0,2.0,28.0,40.4
Andrew Wiggins,15,16,40.0,8.0,14.0,0.0,0.0,1.0,3.0,5.0,3.0,1.0,1.0,19.0,42.3
Josh Hart,16,17,21.0,5.0,7.0,6.0,6.0,1.0,3.0,0.0,1.0,0.0,1.0,21.0,27.8
Rudy Gobert,17,18,31.0,7.0,9.0,3.0,7.0,2.0,8.0,2.0,1.0,4.0,0.0,17.0,47.0
Pascal Siakam,18,19,34.0,8.0,11.0,5.0,5.0,1.0,2.0,1.0,2.0,0.0,1.0,21.0,31.1
Brandon Ingram,19,20,34.0,8.0,14.0,2.0,2.0,1.0,4.0,6.0,1.0,2.0,3.0,20.0,41.0
D.J. Augustin,21,22,30.0,6.0,10.0,1.0,1.0,1.0,2.0,7.0,0.0,0.0,0.0,16.0,30.1
Ben Simmons,22,23,34.0,7.0,12.0,2.0,4.0,0.0,10.0,8.0,0.0,2.0,1.0,16.0,45.0
Jrue Holiday,23,24,37.0,6.0,16.0,4.0,5.0,4.0,6.0,9.0,2.0,2.0,4.0,17.0,50.5
Davis Bertans,24,25,26.0,6.0,10.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,0.0,19.0,31.3
Taj Gibson,25,26,37.0,6.0,14.0,1.0,2.0,4.0,7.0,3.0,3.0,0.0,0.0,16.0,42.7
Wendell Jr.,26,27,29.0,7.0,11.0,2.0,3.0,2.0,9.0,0.0,1.0,3.0,1.0,17.0,41.2
Kawhi Leonard,27,28,31.0,7.0,17.0,9.0,9.0,2.0,9.0,2.0,0.0,0.0,5.0,25.0,36.2
Jaren Jr.,28,29,32.0,7.0,15.0,4.0,6.0,3.0,4.0,0.0,3.0,3.0,3.0,20.0,43.4
Buddy Hield,29,30,35.0,9.0,22.0,3.0,3.0,0.0,4.0,3.0,1.0,1.0,1.0,24.0,38.3
Wayne Ellington,30,31,37.0,7.0,13.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,2.0,20.0,30.3
Jabari Parker,31,32,35.0,7.0,14.0,6.0,8.0,0.0,13.0,3.0,0.0,0.0,2.0,20.0,38.1
Trey Lyles,32,33,28.0,6.0,9.0,2.0,3.0,0.0,9.0,1.0,1.0,0.0,0.0,16.0,31.3
Aaron Gordon,33,34,28.0,7.0,15.0,0.0,0.0,1.0,9.0,6.0,2.0,1.0,1.0,15.0,44.0
Domantas Sabonis,34,35,31.0,7.0,14.0,2.0,2.0,3.0,8.0,3.0,0.0,1.0,1.0,16.0,35.7
Luka Doncic,35,36,35.0,7.0,14.0,7.0,7.0,1.0,5.0,2.0,0.0,0.0,5.0,24.0,29.2
JaVale McGee,36,37,25.0,8.0,10.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,16.0,20.8
Dario Âaric,37,38,35.0,6.0,13.0,2.0,2.0,0.0,7.0,2.0,0.0,0.0,1.0,18.0,28.4
Derrick Favors,38,39,24.0,5.0,9.0,2.0,4.0,4.0,2.0,0.0,2.0,3.0,1.0,13.0,34.2
Wesley Johnson,39,40,23.0,5.0,7.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,0.0,12.0,25.8
Alec Burks,40,41,15.0,6.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,21.0
Joel Embiid,42,43,36.0,7.0,16.0,5.0,6.0,1.0,9.0,2.0,1.0,3.0,5.0,20.0,42.0
Kyle Lowry,43,44,35.0,6.0,13.0,2.0,3.0,1.0,1.0,8.0,3.0,0.0,4.0,16.0,35.4
Kyle Kuzma,44,45,32.0,8.0,15.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,2.0,21.0,25.9
Steven Adams,45,46,34.0,3.0,6.0,3.0,6.0,5.0,8.0,2.0,2.0,2.0,2.0,9.0,37.6
