Name,Unnamed: 0,Unnamed: 0.1,MP,FG,FGA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PTS,FPTS
Klay Thompson,0,1,26.0,18.0,29.0,2.0,2.0,0.0,4.0,0.0,2.0,0.0,2.0,52.0,60.8
DeMar DeRozan,1,2,42.0,12.0,21.0,10.0,10.0,1.0,5.0,9.0,3.0,0.0,2.0,34.0,61.7
Jimmy Butler,2,3,36.0,12.0,20.0,2.0,2.0,1.0,5.0,4.0,1.0,2.0,0.0,32.0,54.2
Ben Simmons,3,4,26.0,8.0,11.0,5.0,5.0,5.0,7.0,9.0,0.0,1.0,2.0,21.0,49.9
Stephen Curry,4,5,24.0,7.0,9.0,7.0,7.0,0.0,8.0,5.0,2.0,0.0,1.0,23.0,45.1
Karl-Anthony Towns,5,6,32.0,7.0,18.0,8.0,8.0,9.0,7.0,6.0,1.0,4.0,5.0,25.0,63.2
Josh Richardson,6,7,36.0,10.0,21.0,7.0,7.0,2.0,1.0,0.0,2.0,3.0,0.0,31.0,49.6
LeBron James,7,8,36.0,11.0,23.0,4.0,5.0,3.0,7.0,8.0,2.0,2.0,5.0,29.0,60.0
Luka Doncic,8,9,39.0,11.0,18.0,5.0,6.0,2.0,6.0,4.0,1.0,1.0,6.0,31.0,46.6
Serge Ibaka,9,10,28.0,12.0,21.0,4.0,4.0,2.0,7.0,1.0,0.0,1.0,0.0,30.0,45.3
Gary Harris,10,11,33.0,8.0,16.0,6.0,8.0,1.0,5.0,6.0,2.0,1.0,0.0,23.0,48.2
Willie Cauley-Stein,11,12,33.0,11.0,17.0,4.0,7.0,2.0,11.0,1.0,0.0,1.0,0.0,26.0,46.1
Pascal Siakam,12,13,33.0,10.0,16.0,2.0,3.0,2.0,6.0,2.0,4.0,1.0,2.0,22.0,47.6
Buddy Hield,13,14,35.0,8.0,14.0,3.0,4.0,0.0,8.0,5.0,2.0,1.0,3.0,23.0,46.1
Tim Jr.,14,15,34.0,8.0,19.0,6.0,7.0,1.0,4.0,8.0,1.0,0.0,2.0,25.0,44.0
Julius Randle,15,16,26.0,8.0,13.0,8.0,11.0,1.0,7.0,6.0,1.0,1.0,5.0,24.0,43.6
Jamal Murray,16,17,38.0,9.0,19.0,3.0,3.0,1.0,4.0,2.0,5.0,1.0,3.0,23.0,47.0
Hassan Whiteside,17,18,29.0,7.0,10.0,2.0,6.0,5.0,19.0,0.0,2.0,5.0,6.0,16.0,59.8
Ersan Ilyasova,18,19,23.0,8.0,12.0,0.0,0.0,2.0,8.0,2.0,0.0,0.0,1.0,19.0,33.0
Nikola Jokic,19,20,28.0,3.0,8.0,4.0,4.0,1.0,8.0,10.0,0.0,2.0,0.0,12.0,43.8
