,Rank,Names,,
,,"1. Giannis Antetokounmpo, Mil",PF/SF,PF1
,,"2. Karl-Anthony Towns, Min",C,C1
,,"3. Anthony Davis, LAL",PF/C,PF2
,,"4. Nikola Jokic, Den",C,C2
,,"5. James Harden, Hou",SG/PG,SG1
,,"6. Stephen Curry, GS",PG,PG1
,,"7. LeBron James, LAL",SF/PF,SF1
,,"8. Andre Drummond, Det",C,C3
,,"9. Ben Simmons, Phi",PG,PG2
,,"10. Pascal Siakam, Tor",PF,PF3
,,"11. Bradley Beal, Wsh",SG,SG2
,,"12. Joel Embiid, Phi",C,C4
,,"13. Damian Lillard, Por",PG,PG3
,,"14. Russell Westbrook, Hou",PG,PG4
,,"15. Rudy Gobert, Utah",C,C5
,,"16. Deandre Ayton, Phx",C,C6
,,"17. Luka Doncic, Dal",SG/SF,SG3
,,"18. Jimmy Butler, Mia",SG/SF,SG4
,,"19. John Collins, Atl",PF,PF4
,,"20. Nikola Vucevic, Orl",C,C7
,,"21. Julius Randle, NY",PF,PF5
,,"22. LaMarcus Aldridge, SA",PF/C,PF6
,,"23. Clint Capela, Hou",C,C8
,,"24. DeMar DeRozan, SA",SG/SF,SG5
,,"25. Kyrie Irving, Bkn",PG,PG5
,,"26. Zion Williamson, NO",PF,PF7
,,"27. Montrezl Harrell, LAC",C/PF,C9
,,"28. Tobias Harris, Phi",PF,PF8
,,"29. Jrue Holiday, NO",PG,PG6
,,"30. De'Aaron Fox, Sac",PG,PG7
,,"31. Jonas Valanciunas, Mem",C,C10
,,"32. Kawhi Leonard, LAC",SF,SF2
,,"33. Paul George, LAC",SF,SF3
,,"34. Terry Rozier, Cha",PG,PG8
,,"35. Jayson Tatum, Bos",SF/PF,SF4
,,"36. Draymond Green, GS",PF/C,PF9
,,"37. Blake Griffin, Det",PF,PF10
,,"38. Trae Young, Atl",PG,PG9
,,"39. Donovan Mitchell, Utah",SG,SG6
,,"40. Thomas Bryant, Wsh",C,C11
,,"41. Devin Booker, Phx",SG,SG7
,,"42. Kristaps Porzingis, Dal",PF,PF11
,,"43. Buddy Hield, Sac",SG,SG8
,,"44. Kevin Love, Cle",PF/C,PF12
,,"45. Steven Adams, OKC",C,C12
,,"46. Otto Porter Jr., Chi",SF,SF5
,,"47. Mitchell Robinson, NY",C,C13
,,"48. Hassan Whiteside, Por",C,C14
,,"49. Marvin Bagley III, Sac",PF,PF13
,,"50. Lauri Markkanen, Chi",PF,PF14
,,"51. Kemba Walker, Bos",PG,PG10
,,"52. Jamal Murray, Den",PG/SG,PG11
,,"53. Ricky Rubio, Phx",PG,PG12
,,"54. Derrick Favors, NO",PF/C,PF15
,,"55. Enes Kanter, Bos",C,C15
,,"56. Khris Middleton, Mil",SF/SG,SF6
,,"57. Eric Bledsoe, Mil",PG,PG13
,,"58. CJ McCollum, Por",SG,SG9
,,"59. Domantas Sabonis, Ind",PF/C,PF16
,,"60. DeAndre Jordan, Bkn",C,C16
,,"61. Jaren Jackson Jr., Mem",PF/C,PF17
,,"62. Bam Adebayo, Mia",C,C17
,,"63. Chris Paul, OKC",PG,PG14
,,"64. D'Angelo Russell, GS",PG/SG,PG15
,,"65. Kyle Lowry, Tor",PG,PG16
