,Rank,Names,,
,1,Karl-Anthony Towns,MIN,C
,2,Anthony Davis,LAL,PF
,3,Giannis Antetokounmpo,MIL,PF
,4,James Harden,HOU,SG
,5,Nikola Jokic,DEN,C
,6,Russell Westbrook,HOU,PG
,7,LeBron James,LAL,PG
,8,Andre Drummond,DET,C
,9,Stephen Curry,GSW,PG
,10,Ben Simmons,PHI,PG
,11,Luka Doncic,DAL,SF
,12,Bradley Beal,WAS,SG
,13,Trae Young,ATL,PG
,14,Rudy Gobert,UTA,C
,15,Damian Lillard,POR,PG
60,16,Joel Embiid,PHI,C
,17,De'Aaron Fox,SAC,PG
,18,Jrue Holiday,NOR,SG
,19,Kemba Walker,BOS,PG
,20,Nikola Vucevic,ORL,C
,21,John Collins,ATL,PF
,22,D'Angelo Russell,GSW,SG
,23,Deandre Ayton,PHO,C
,24,Devin Booker,PHO,SG
,25,Kyrie Irving,BKN,PG
,26,Donovan Mitchell,UTA,SG
,27,Paul George,LAC,PF
,28,Kawhi Leonard,LAC,SF
,29,Terry Rozier III,CHA,PG
,30,Julius Randle,NYK,PF
,31,Zion Williamson,NOR,PF
,32,DeMar DeRozan,SAS,SF
,33,LaMarcus Aldridge,SAS,PF
,34,Bam Adebayo,MIA,C
,35,Zach LaVine,CHI,SG
,36,Jimmy Butler,MIA,SF
,37,Clint Capela,HOU,C
,38,Jonas Valanciunas,MEM,C
,39,Derrick Favors,NOR,C
,40,Mitchell Robinson,NYK,C
,41,Marvin Bagley III,SAC,PF
,42,Draymond Green,GSW,PF
,43,Myles Turner,IND,C
,44,Blake Griffin,DET,PF
,45,Jonathan Isaac,ORL,SF
,46,Jaren Jackson Jr,MEM,PF
,47,Otto Porter Jr,CHI,SF
,48,Hassan Whiteside,POR,C
,49,Domantas Sabonis,IND,PF
,50,Khris Middleton,MIL,SF
,51,Buddy Hield,SAC,SG
,52,Pascal Siakam,TOR,PF
,53,Lauri Markkanen,CHI,PF
,54,Thomas Bryant,WAS,C
,55,Shai Gilgeous-Alexander,OKC,SG
,56,Eric Bledsoe,MIL,PG
,57,Ja Morant,MEM,PG
,58,Jayson Tatum,BOS,PF
,59,Aaron Gordon,ORL,PF
,60,Chris Paul,OKC,PG
,61,Kyle Lowry,TOR,PG
,62,Kristaps Porzingis,DAL,PF
,63,Steven Adams,OKC,C
,64,Danilo Gallinari,OKC,PF
,65,Kelly Oubre Jr,PHO,SF
,66,Mike Conley,UTA,PG
,67,Tobias Harris,PHI,SF
,68,Wendell Carter Jr,CHI,C
,69,Miles Bridges,CHA,SF
,70,Jamal Murray,DEN,PG
,71,CJ McCollum,POR,SG
,72,Robert Covington,MIN,PF
,73,Kevin Love,CLE,PF
,74,Montrezl Harrell,LAC,C
,75,Andrew Wiggins,MIN,SF
,76,Ricky Rubio,PHO,PG
,77,Caris LeVert,BKN,SF
,78,Al Horford,PHI,PF
,79,Lonzo Ball,NOR,PG
,80,JaVale McGee,LAL,C
,81,Malcolm Brogdon,IND,PG
,82,Marc Gasol,TOR,C
,83,Lou Williams,LAC,SG
,84,Derrick White,SAS,SG
,85,Jeff Teague,MIN,PG
,86,Delon Wright,DAL,PG
,87,Larry Nance Jr,CLE,PF
,88,Brook Lopez,MIL,C
,89,Brandon Ingram,NOR,SF
,90,Dejounte Murray,SAS,PG
,91,Jeremy Lamb,IND,SG
,92,Jarrett Allen,BKN,C
,93,Serge Ibaka,TOR,C
,94,Gordon Hayward,BOS,SF
,95,Fred VanVleet,TOR,SG
,96,Josh Richardson,PHI,SG
,97,Marcus Smart,BOS,PG
,98,Gary Harris,DEN,SG
,99,Tomas Satoransky,CHI,PG
,100,Patrick Beverley,LAC,PG
,101,Jarrett Culver,MIN,SG
,102,Joe Ingles,UTA,PF
,103,Enes Kanter,BOS,C
,104,Thaddeus Young,CHI,PF
,105,Collin Sexton,CLE,PG
,106,TJ Warren,IND,SF
,107,Kevon Looney,GSW,C
,108,Dario Saric,PHO,PF
,109,Alex Len,ATL,C
,110,Bogdan Bogdanovic,SAC,SG
,111,Zach Collins,POR,PF
,112,Dwight Powell,DAL,C
,113,Kyle Kuzma,LAL,PF
,114,Jaylen Brown,BOS,SG
,115,RJ Barrett,NYK,SG
,116,Spencer Dinwiddie,BKN,SG
,117,Cedi Osman,CLE,SF
,118,Mikal Bridges,PHO,SF
,119,Justise Winslow,MIA,PG
,120,Danny Green,LAL,SF
,121,Cody Zeller,CHA,C
,122,DeAndre Jordan,BKN,C
,123,Kelly Olynyk,MIA,C
,124,D.J. Augustin,ORL,PG
,125,Kevin Huerter,ATL,SG
,126,Dewayne Dedmon,SAC,C
,127,Dennis Smith Jr,NYK,PG
,128,Rui Hachimura,WAS,PF
,129,Nicolas Batum,CHA,SG
,130,Evan Fournier,ORL,SG
,131,Terrence Ross,ORL,SG
,132,Jakob Poeltl,SAS,C
,133,Jerami Grant,DEN,PF
,134,Willie Cauley-Stein,GSW,C
,135,Taurean Prince,BKN,PF
,136,Rudy Gay,SAS,SF
,137,Brandon Clarke,MEM,PF
,138,Davis Bertans,WAS,PF
,139,Joe Harris,BKN,SG
,140,Bojan Bogdanovic,UTA,SF
,141,Luke Kennard,DET,SG
,142,Reggie Jackson,DET,PG
,143,Paul Millsap,DEN,PF
,144,Ivica Zubac,LAC,C
,145,Kyle Anderson,MEM,SF
,146,Victor Oladipo,IND,SG
,147,Troy Brown Jr,WAS,SG
,148,Malik Monk,CHA,SG
,149,Bruce Brown Jr,DET,SF
,150,Isaiah Thomas,WAS,PG
