,Rank,Names
,1,Anthony Davis
,2,Stephen Curry
,3,James Harden
,4,Giannis Antetokounmpo
,5,Karl-Anthony Towns
,6,Nikola Jokic
,7,Damian Lillard
,8,Joel Embiid
,9,LeBron James
,10,Kawhi Leonard
,11,Bradley Beal
,12,Kyrie Irving
,13,Paul George
,14,Jimmy Butler
,15,Russell Westbrook
,16,Kemba Walker
,17,Jrue Holiday
,18,Luka Doncic
,19,Trae Young
,20,Rudy Gobert
,21,Andre Drummond
,22,Nikola Vucevic
,23,Myles Turner
,24,Devin Booker
,25,Deandre Ayton
,26,Mitchell Robinson
,27,Ben Simmons
,28,Donovan Mitchell
,29,Chris Paul
,30,John Collins
,31,De'Aaron Fox
,32,Kristaps Porzingis
,33,Zion Williamson
,34,Draymond Green
,35,Pascal Siakam
,36,Otto Porter Jr.
,37,Robert Covington
,38,D'Angelo Russell
,39,Buddy Hield
,40,Kevin Love
,41,Lauri Markkanen
,42,Mike Conley
,43,DeMar DeRozan
,44,LaMarcus Aldridge
,45,Jaren Jackson Jr.
,46,Clint Capela
,47,Jayson Tatum
,48,Khris Middleton
,49,C.J. McCollum
,50,Blake Griffin
,51,Derrick Favors
,52,Bam Adebayo
,53,Zach LaVine
,54,Kyle Lowry
,55,Eric Bledsoe
,56,Tobias Harris
,57,Brook Lopez
,58,Danilo Gallinari
,59,Al Horford
,60,Thomas Bryant
,61,Victor Oladipo
,62,Jonas Valanciunas
,63,Julius Randle
,64,Terry Rozier
,65,Jamal Murray
,66,Malcolm Brogdon
,67,Aaron Gordon
,68,Steven Adams
,69,Josh Richardson
,70,Larry Nance Jr.
,71,Lonzo Ball
,72,Marc Gasol
,73,Hassan Whiteside
,74,Jonathan Isaac
,75,Marvin Bagley III
,76,Ja Morant
,77,Gordon Hayward
,78,Domantas Sabonis
,79,Shai Gilgeous-Alexander
,80,Ricky Rubio
,81,Wendell Carter Jr.
,82,Montrezl Harrell
,83,Kelly Oubre Jr.
,84,Miles Bridges
,85,Lou Williams
,86,Jeff Teague
,87,Jarrett Allen
,88,Marcus Smart
,89,Caris LeVert
,90,Enes Kanter
,91,Kyle Kuzma
,92,Joe Ingles
,93,Dewayne Dedmon
,94,Fred VanVleet
,95,Dejounte Murray
,96,Jeremy Lamb
,97,DeAndre Jordan
,98,Mikal Bridges
,99,DeMarcus Cousins
,100,Delon Wright
,101,T.J. Warren
,102,Gary Harris
,103,Derrick White
,104,Serge Ibaka
,105,Andrew Wiggins
,106,JaVale McGee
,107,Terrence Ross
,108,J.J. Redick
,109,Nicolas Batum
,110,RJ Barrett
,111,Brandon Ingram
,112,Danny Green
,113,Willie Cauley-Stein
,114,Bogdan Bogdanovic
,115,Kevin Huerter
,116,Bojan Bogdanovic
,117,Cody Zeller
,118,Paul Millsap
,119,Dwight Powell
