"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA.","FPTS"
"1","1","1","2018-10-16","31-168","PHI","@","BOS","L (-18)","0","11:11","1","1","1.000","0","0","","3","4",".750","0","3","3","1","0","0","0","1","5","5.5","-10",NA,9.85
"2","2","2","2018-10-18","31-170","PHI","","CHI","W (+19)","0","15:09","6","9",".667","0","1",".000","1","1","1.000","1","2","3","1","0","0","1","4","13","8.5","-7",NA,16.85
"3","3","3","2018-10-20","31-172","PHI","","ORL","W (+1)","0","14:23","4","4","1.000","0","0","","0","0","","2","4","6","3","1","1","2","1","8","10.8","+9",NA,22.95
"4","4","4","2018-10-23","31-175","PHI","@","DET","L (-1)","0","13:00","3","5",".600","0","0","","0","2",".000","1","3","4","1","0","0","2","3","6","2.0","-7",NA,10.05
"5","5","5","2018-10-24","31-176","PHI","@","MIL","L (-15)","0","6:48","0","0","","0","0","","2","2","1.000","0","2","2","0","0","0","0","1","2","2.2","-6",NA,4.4
"6","6","6","2018-10-27","31-179","PHI","","CHO","W (+2)","0","6:13","0","0","","0","0","","2","2","1.000","1","1","2","1","0","0","0","2","2","2.9","+4",NA,5.65
"7","7","7","2018-10-29","31-181","PHI","","ATL","W (+21)","0","14:37","1","2",".500","0","0","","0","0","","1","5","6","3","0","1","0","2","2","5.2","+6",NA,15.95
"8","8","8","2018-10-30","31-182","PHI","@","TOR","L (-17)","0","11:59","2","4",".500","0","1",".000","1","2",".500","2","4","6","1","1","1","4","1","5","3.2","-4",NA,15.45
"9","9","9","2018-11-01","31-184","PHI","","LAC","W (+9)","0","11:53","2","3",".667","0","0","","1","1","1.000","0","3","3","1","0","0","2","2","5","2.5","-6",NA,7.85
"10","10","10","2018-11-03","31-186","PHI","","DET","W (+10)","0","14:12","1","3",".333","0","0","","4","4","1.000","1","2","3","3","1","0","1","3","6","6.5","+9",NA,15.35
"11","11","11","2018-11-04","31-187","PHI","@","BRK","L (-25)","0","6:58","1","2",".500","1","1","1.000","0","0","","0","1","1","1","0","0","2","5","3","-1.0","-9",NA,3.45
"12","12","12","2018-11-07","31-190","PHI","@","IND","W (+6)","0","5:09","1","2",".500","0","0","","0","0","","0","2","2","0","0","0","2","2","2","-1.2","+2",NA,2.4
"13","13","13","2018-11-09","31-192","PHI","","CHO","W (+1)","0","5:41","2","3",".667","0","0","","0","0","","1","1","2","1","0","1","0","1","4","4.7","-10",NA,10.65
"14","14","14","2018-11-10","31-193","PHI","@","MEM","L (-6)","0","13:38","3","4",".750","1","1","1.000","0","0","","1","3","4","1","0","1","1","5","7","5.4","-10",NA,15.05
"15","15","15","2018-11-12","31-195","PHI","@","MIA","W (+10)","0","2:00","0","1",".000","0","0","","0","0","","0","0","0","1","0","0","0","1","0","-0.4","+2",NA,1.25
"16","16","16","2018-11-14","31-197","PHI","@","ORL","L (-5)","0","6:24","0","0","","0","0","","0","0","","0","1","1","2","0","0","1","0","0","0.7","-1",NA,2.7
"17","17","17","2018-11-16","31-199","PHI","","UTA","W (+6)","0","14:10","4","9",".444","2","3",".667","1","2",".500","4","1","5","3","0","0","1","4","11","8.5","-12",NA,19.75
"18","18","18","2018-11-17","31-200","PHI","@","CHO","W (+3)","0","9:46","2","3",".667","1","2",".500","1","1","1.000","1","3","4","0","0","0","2","1","6","3.9","-1",NA,8.8
"19","19","19","2018-11-19","31-202","PHI","","PHO","W (+5)","0","6:16","0","2",".000","0","0","","0","0","","0","4","4","0","0","0","1","2","0","-2.0","-9",NA,3.8
"20","20","20","2018-11-21","31-204","PHI","","NOP","W (+1)","0","11:51","0","1",".000","0","0","","2","2","1.000","0","0","0","4","0","1","2","2","2","2.0","+15",NA,8
"22","21","21","2018-11-23","31-206","PHI","","CLE","L (-9)","0","13:41","1","3",".333","0","1",".000","0","0","","2","2","4","1","0","0","1","0","2","2.0","+6",NA,7.05
"24","23","22","2018-11-28","31-211","PHI","","NYK","W (+26)","0","8:30","2","3",".667","0","0","","0","0","","0","2","2","2","1","1","0","1","4","6.0","-1",NA,14.9
"25","24","23","2018-11-30","31-213","PHI","","WAS","W (+25)","0","14:42","2","4",".500","1","2",".500","0","0","","1","4","5","1","0","0","1","1","5","4.2","-4",NA,11.25
"26","25","24","2018-12-02","31-215","PHI","","MEM","W (+8)","0","10:14","0","1",".000","0","0","","0","0","","0","1","1","1","0","0","1","2","0","-1.5","-5",NA,1.45
"28","27","25","2018-12-07","31-220","PHI","@","DET","W (+6)","1","16:16","0","2",".000","0","1",".000","0","0","","1","2","3","0","3","0","2","6","0","-1.5","-6",NA,10.6
"29","28","26","2018-12-10","31-223","PHI","","DET","W (+14)","0","3:09","1","2",".500","0","0","","0","0","","0","0","0","0","0","0","0","1","2","0.6","-7",NA,2
"30","29","27","2018-12-12","31-225","PHI","","BRK","L (-3)","0","8:24","2","4",".500","0","2",".000","0","0","","1","0","1","0","0","0","0","5","4","0.7","-10",NA,5.2
