"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA.","FPTS"
"1","1","1","2018-10-17","29-357","MEM","@","IND","L (-28)","1","22:33","3","9",".333","0","5",".000","0","0","","0","1","1","0","1","1","0","3","6","1.7","-19",NA,13.2
"2","2","2","2018-10-19","29-359","MEM","","ATL","W (+14)","1","17:17","4","6",".667","3","4",".750","0","0","","1","1","2","2","0","0","1","3","11","8.6","+13",NA,14.9
"3","3","3","2018-10-22","29-362","MEM","@","UTA","W (+8)","1","6:28","0","2",".000","0","1",".000","0","0","","0","1","1","0","0","0","1","1","0","-2.5","-5",NA,0.2
"62","60","4","2019-02-22","30-120","MEM","","LAC","L (-6)","0","19:33","1","7",".143","1","4",".250","0","0","","0","2","2","1","1","0","1","2","3","-1.0","+1",NA,8.65
"64","61","5","2019-02-23","30-121","MEM","@","CLE","L (-5)","0","17:34","1","7",".143","0","4",".000","2","2","1.000","0","5","5","1","0","0","1","0","4","0.7","+7",NA,10.25
"65","62","6","2019-02-25","30-123","MEM","","LAL","W (+5)","0","18:40","2","10",".200","1","7",".143","0","0","","0","4","4","1","2","0","1","2","5","0.9","+2",NA,16.05
"66","63","7","2019-02-27","30-125","MEM","","CHI","L (-2)","0","18:45","2","4",".500","1","2",".500","0","0","","0","3","3","1","0","0","0","0","5","4.6","-6",NA,9.85
"67","64","8","2019-03-02","30-128","MEM","@","DAL","W (+30)","0","15:29","2","5",".400","1","4",".250","0","0","","0","2","2","2","1","0","1","2","5","3.5","+23",NA,11.9
"68","65","9","2019-03-03","30-129","MEM","@","OKC","L (-4)","0","16:25","0","1",".000","0","1",".000","1","2",".500","0","2","2","2","1","1","2","4","1","0.0","-8",NA,9.9
"69","66","10","2019-03-05","30-131","MEM","","POR","W (+9)","0","7:52","0","1",".000","0","1",".000","0","0","","0","0","0","0","1","0","1","3","0","-1.9","-4",NA,2
"70","67","11","2019-03-08","30-134","MEM","","UTA","W (+10)","0","21:39","1","5",".200","1","3",".333","0","0","","0","2","2","1","1","0","1","1","3","0.8","-4",NA,8.65
"71","68","12","2019-03-10","30-136","MEM","","ORL","W (+8)","0","14:31","2","5",".400","1","2",".500","0","0","","0","1","1","1","0","0","2","1","5","0.9","-10",NA,5.45
"72","69","13","2019-03-13","30-139","MEM","@","ATL","L (-21)","0","15:23","1","4",".250","0","1",".000","0","0","","1","1","2","3","1","0","0","1","2","3.3","-7",NA,11.15
"73","70","14","2019-03-16","30-142","MEM","@","WAS","L (-7)","0","22:42","6","10",".600","2","6",".333","2","3",".667","1","5","6","5","1","0","0","5","16","15.7","+3",NA,32.45
"74","71","15","2019-03-20","30-146","MEM","","HOU","W (+1)","0","25:27","4","9",".444","3","7",".429","0","0","","0","6","6","2","3","0","2","1","11","10.1","+13",NA,27.7
"75","72","16","2019-03-22","30-148","MEM","@","ORL","L (-4)","0","31:02","6","15",".400","2","7",".286","3","3","1.000","0","5","5","3","0","1","1","1","17","11.8","-14",NA,28.75
"76","73","17","2019-03-23","30-149","MEM","","MIN","L (-13)","0","19:30","4","8",".500","1","4",".250","0","0","","0","2","2","2","0","0","2","1","9","4.6","+1",NA,11.9
"77","74","18","2019-03-25","30-151","MEM","","OKC","W (+12)","0","24:33","3","9",".333","1","4",".250","1","1","1.000","0","3","3","0","0","0","2","1","8","1.4","+1",NA,9.6
"78","75","19","2019-03-27","30-153","MEM","","GSW","L (-15)","0","24:42","5","9",".556","1","3",".333","2","2","1.000","0","5","5","1","2","0","3","2","13","9.1","-3",NA,23.25
"79","76","20","2019-03-30","30-156","MEM","@","PHO","W (+5)","0","6:51","0","3",".000","0","1",".000","0","0","","0","1","1","0","0","0","1","0","0","-2.8","-11",NA,0.2
"80","77","21","2019-03-31","30-157","MEM","@","LAC","L (-17)","0","24:29","5","11",".455","1","4",".250","6","6","1.000","0","3","3","2","1","0","1","3","17","12.4","-10",NA,25.1
"81","78","22","2019-04-03","30-160","MEM","@","POR","L (-27)","0","25:25","6","11",".545","3","5",".600","1","2",".500","0","1","1","1","2","1","1","1","16","12.6","-17",NA,26.45
"82","79","23","2019-04-05","30-162","MEM","@","DAL","W (+10)","0","19:53","4","8",".500","3","4",".750","0","0","","0","4","4","2","0","0","1","3","11","7.4","+12",NA,17.3
"83","80","24","2019-04-07","30-164","MEM","","DAL","L (-2)","0","29:39","3","15",".200","2","8",".250","2","2","1.000","1","4","5","7","1","1","1","2","10","7.4","-5",NA,29.75
"85","81","25","2019-04-09","30-166","MEM","@","DET","L (-7)","0","29:29","3","8",".375","1","2",".500","2","2","1.000","0","2","2","3","0","0","5","2","9","1.5","+1",NA,10.15
