"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA.","FPTS"
"1","1","1","2018-10-16","26-195","BOS","","PHI","W (+18)","0","4:08","0","0","","0","0","","0","0","","0","1","1","0","0","0","0","1","0","-0.1","+3",NA,1.2
"3","3","2","2018-10-20","26-199","BOS","@","NYK","W (+2)","0","14:03","1","4",".250","0","1",".000","0","0","","1","0","1","2","0","1","0","3","2","1.2","-5",NA,8.7
"4","4","3","2018-10-22","26-201","BOS","","ORL","L (-3)","0","15:04","3","5",".600","0","0","","1","1","1.000","2","4","6","1","0","0","2","3","7","4.8","+6",NA,13.45
"5","5","4","2018-10-25","26-204","BOS","@","OKC","W (+6)","0","8:42","2","5",".400","0","1",".000","0","0","","1","0","1","0","0","0","0","2","4","1.2","-1",NA,5.2
"6","6","5","2018-10-27","26-206","BOS","@","DET","W (+20)","0","19:19","7","9",".778","2","3",".667","1","2",".500","3","5","8","1","0","0","2","4","17","13.8","+20",NA,25.85
"13","13","6","2018-11-11","26-221","BOS","@","POR","L (-6)","0","4:44","0","1",".000","0","1",".000","0","0","","0","2","2","0","0","0","1","1","0","-1.5","+8",NA,1.4
"14","14","7","2018-11-14","26-224","BOS","","CHI","W (+29)","0","9:22","1","1","1.000","0","0","","0","0","","0","1","1","0","1","1","1","2","2","1.9","-3",NA,8.2
"16","16","8","2018-11-17","26-227","BOS","","UTA","L (-12)","0","12:24","3","4",".750","0","0","","1","4",".250","2","0","2","0","0","0","0","4","7","4.0","+5",NA,9.4
"17","17","9","2018-11-19","26-229","BOS","@","CHO","L (-5)","0","15:53","5","6",".833","0","0","","0","0","","1","1","2","1","0","0","2","2","10","6.7","+7",NA,11.65
"18","18","10","2018-11-21","26-231","BOS","","NYK","L (-8)","0","3:39","0","2",".000","0","0","","0","0","","1","1","2","0","0","1","0","2","0","-0.5","-9",NA,5.4
"19","19","11","2018-11-23","26-233","BOS","@","ATL","W (+18)","0","15:54","3","4",".750","1","1","1.000","0","0","","1","4","5","1","0","1","1","6","7","5.3","+6",NA,16.25
"23","22","12","2018-11-30","26-240","BOS","","CLE","W (+33)","0","17:22","1","3",".333","1","2",".500","0","0","","1","2","3","4","0","1","0","3","3","4.9","+2",NA,14.6
"24","23","13","2018-12-01","26-241","BOS","@","MIN","W (+9)","0","8:28","2","4",".500","0","1",".000","0","0","","0","0","0","0","0","0","1","3","4","-0.2","+7",NA,3
"25","24","14","2018-12-06","26-246","BOS","","NYK","W (+28)","0","17:24","4","7",".571","0","1",".000","2","2","1.000","2","1","3","0","0","0","1","3","10","6.2","+8",NA,12.6
