"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA.","FPTS"
"3","3","1","2018-10-22","20-147","PHO","@","GSW","L (-20)","0","2:43","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-1",NA,0
"7","7","2","2018-10-31","20-156","PHO","","SAS","L (-30)","0","19:43","3","12",".250","1","6",".167","0","0","","0","2","2","1","3","1","2","5","7","0.8","-18",NA,20.65
"14","14","3","2018-11-14","20-170","PHO","","SAS","W (+20)","0","10:22","1","1","1.000","1","1","1.000","0","0","","0","3","3","1","0","0","0","1","3","3.9","0",NA,7.85
"15","15","4","2018-11-17","20-173","PHO","","OKC","L (-10)","0","9:35","0","1",".000","0","1",".000","0","0","","0","3","3","0","1","0","2","1","0","-1.2","+3",NA,4.6
"23","22","5","2018-11-30","20-186","PHO","","ORL","L (-14)","0","4:16","0","0","","0","0","","0","0","","0","0","0","1","0","0","0","1","0","0.3","-10",NA,1.25
"24","23","6","2018-12-02","20-188","PHO","@","LAL","L (-24)","0","8:13","1","3",".333","1","3",".333","0","0","","0","2","2","3","0","0","0","1","3","3.6","-8",NA,9.15
"25","24","7","2018-12-04","20-190","PHO","","SAC","L (-17)","0","23:22","9","12",".750","3","4",".750","0","0","","1","1","2","5","1","0","1","4","21","19.1","+24",NA,31.65
"26","25","8","2018-12-06","20-192","PHO","@","POR","L (-22)","0","25:44","3","12",".250","0","4",".000","1","2",".500","1","4","5","4","2","0","1","3","7","3.9","-2",NA,23
"27","26","9","2018-12-07","20-193","PHO","","MIA","L (-17)","1","24:44","4","9",".444","3","5",".600","1","1","1.000","0","3","3","4","1","0","4","3","12","6.8","-17",NA,19.6
"28","27","10","2018-12-10","20-196","PHO","","LAC","L (-4)","1","35:48","5","16",".313","0","4",".000","3","3","1.000","1","3","4","8","2","0","2","3","13","9.8","+4",NA,31.8
"29","28","11","2018-12-11","20-197","PHO","@","SAS","L (-25)","1","33:14","7","16",".438","3","7",".429","0","0","","1","6","7","6","2","0","5","1","17","11.9","-3",NA,33.9
"30","29","12","2018-12-13","20-199","PHO","","DAL","W (+10)","1","21:21","0","4",".000","0","2",".000","0","0","","0","1","1","1","3","2","3","3","0","-1.6","-3",NA,14.45
"31","30","13","2018-12-15","20-201","PHO","","MIN","W (+8)","1","21:12","4","6",".667","1","2",".500","0","0","","0","3","3","5","2","0","3","3","9","8.6","+9",NA,21.85
"32","31","14","2018-12-17","20-203","PHO","@","NYK","W (+18)","1","20:44","1","4",".250","1","2",".500","0","0","","0","1","1","2","1","0","1","1","3","1.9","+15",NA,8.7
"33","32","15","2018-12-19","20-205","PHO","@","BOS","W (+8)","1","16:26","0","2",".000","0","1",".000","0","0","","1","0","1","5","1","0","3","2","0","0.0","-3",NA,7.45
"34","33","16","2018-12-22","20-208","PHO","@","WAS","L (-3)","1","19:58","4","5",".800","2","2","1.000","0","0","","1","1","2","3","3","0","1","2","10","12.4","+4",NA,24.15
"35","34","17","2018-12-23","20-209","PHO","@","BRK","L (-8)","1","25:24","0","6",".000","0","3",".000","0","0","","0","2","2","1","1","0","0","3","0","-3.1","-3",NA,6.65
"36","35","18","2018-12-26","20-212","PHO","@","ORL","W (+2)","1","18:11","2","3",".667","0","0","","0","0","","0","3","3","1","0","1","2","4","4","1.4","-13",NA,9.85
"37","36","19","2018-12-28","20-214","PHO","","OKC","L (-16)","1","24:27","1","5",".200","0","2",".000","2","2","1.000","2","1","3","2","1","1","3","2","4","1.9","-15",NA,13.1
"38","37","20","2018-12-29","20-215","PHO","","DEN","L (-4)","1","30:19","2","10",".200","1","4",".250","0","0","","0","3","3","4","3","0","0","4","5","3.9","+5",NA,22.6
"39","38","21","2018-12-31","20-217","PHO","","GSW","L (-23)","1","26:43","2","5",".400","1","2",".500","2","2","1.000","1","2","3","2","4","1","0","5","7","9.7","-20",NA,28.1
"40","39","22","2019-01-02","20-219","PHO","","PHI","L (-5)","1","22:40","3","6",".500","1","2",".500","3","4",".750","1","2","3","3","2","1","4","2","10","7.9","-20",NA,22.35
"41","40","23","2019-01-04","20-221","PHO","","LAC","L (-10)","1","16:06","3","6",".500","1","1","1.000","0","0","","0","0","0","2","1","1","0","1","7","6.7","-2",NA,15.5
