"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA.","FPTS"
"1","1","1","2018-10-17","27-089","DAL","@","PHO","L (-21)","0","17:29","6","8",".750","0","1",".000","4","6",".667","2","3","5","0","1","1","0","1","16","15.6","0",NA,28
"2","2","2","2018-10-20","27-092","DAL","","MIN","W (+4)","0","16:51","6","7",".857","1","2",".500","6","8",".750","2","4","6","2","0","1","3","3","19","16.2","-2",NA,28.7
"3","3","3","2018-10-22","27-094","DAL","","CHI","W (+6)","0","16:24","3","6",".500","0","2",".000","6","6","1.000","1","3","4","4","2","0","0","2","12","14.6","+2",NA,27.8
"4","4","4","2018-10-24","27-096","DAL","@","ATL","L (-7)","0","12:29","4","4","1.000","0","0","","0","0","","1","3","4","2","0","1","0","3","8","9.3","+14",NA,18.3
"5","5","5","2018-10-26","27-098","DAL","@","TOR","L (-9)","0","14:30","2","2","1.000","0","0","","0","0","","0","2","2","0","2","0","2","3","4","2.8","-9",NA,10.4
"6","6","6","2018-10-28","27-100","DAL","","UTA","L (-9)","0","11:23","2","4",".500","0","1",".000","0","0","","1","1","2","0","1","0","1","4","4","1.4","-12",NA,8.4
"7","7","7","2018-10-29","27-101","DAL","@","SAS","L (-5)","0","11:45","0","1",".000","0","1",".000","0","0","","0","1","1","0","1","0","0","3","0","-0.6","-16",NA,4.2
"8","8","8","2018-10-31","27-103","DAL","@","LAL","L (-1)","0","17:15","4","6",".667","0","0","","4","6",".667","4","4","8","1","0","0","3","3","12","9.1","+13",NA,19.85
"9","9","9","2018-11-02","27-105","DAL","","NYK","L (-12)","0","15:14","3","5",".600","2","3",".667","0","0","","0","2","2","0","1","1","0","4","8","6.4","-4",NA,16.4
"10","10","10","2018-11-06","27-109","DAL","","WAS","W (+19)","0","15:09","2","4",".500","0","1",".000","3","4",".750","0","4","4","1","0","1","1","1","7","5.8","+6",NA,15.05
"11","11","11","2018-11-07","27-110","DAL","@","UTA","L (-15)","0","10:57","1","2",".500","0","0","","4","5",".800","1","1","2","1","0","1","0","2","6","6.2","0",NA,12.65
"12","12","12","2018-11-10","27-113","DAL","","OKC","W (+15)","0","20:01","3","5",".600","0","2",".000","1","1","1.000","0","3","3","0","1","0","1","2","7","4.8","+17",NA,12.6
"13","13","13","2018-11-12","27-115","DAL","@","CHI","W (+5)","0","16:49","3","5",".600","1","3",".333","4","6",".667","2","2","4","0","1","2","0","1","11","11.9","+16",NA,24.8
"14","14","14","2018-11-14","27-117","DAL","","UTA","W (+50)","0","25:37","4","8",".500","1","4",".250","4","5",".800","0","5","5","4","1","1","1","4","13","12.0","+34",NA,29
"15","15","15","2018-11-17","27-120","DAL","","GSW","W (+3)","0","17:04","3","6",".500","0","1",".000","1","1","1.000","2","2","4","0","1","0","0","1","7","6.6","-11",NA,14.8
"19","19","16","2018-11-28","27-131","DAL","@","HOU","W (+20)","0","18:36","3","4",".750","0","1",".000","0","0","","0","3","3","0","1","1","0","3","6","5.8","+27",NA,15.6
"20","20","17","2018-11-30","27-133","DAL","@","LAL","L (-11)","0","16:56","5","9",".556","0","3",".000","7","8",".875","1","6","7","2","0","0","1","5","17","13.2","-2",NA,26.9
"22","21","18","2018-12-02","27-135","DAL","","LAC","W (+4)","0","16:27","3","4",".750","0","0","","2","2","1.000","2","5","7","2","0","1","1","4","8","8.8","-3",NA,20.9
"23","22","19","2018-12-04","27-137","DAL","","POR","W (+9)","0","15:58","2","6",".333","2","3",".667","1","2",".500","3","1","4","1","0","0","2","4","7","2.7","+5",NA,11.05
"24","23","20","2018-12-05","27-138","DAL","@","NOP","L (-26)","0","23:38","4","7",".571","0","2",".000","4","5",".800","3","7","10","0","0","2","2","2","12","11.1","-10",NA,28
"25","24","21","2018-12-08","27-141","DAL","","HOU","W (+3)","0","16:00","1","4",".250","0","1",".000","0","0","","0","3","3","3","1","0","2","2","2","0.8","-5",NA,10.35
"26","25","22","2018-12-10","27-143","DAL","","ORL","W (+25)","0","20:45","7","12",".583","0","4",".000","2","3",".667","1","3","4","1","0","0","2","3","16","9.1","+10",NA,20.05
"27","26","23","2018-12-12","27-145","DAL","","ATL","W (+7)","0","14:43","2","4",".500","0","1",".000","1","3",".333","0","1","1","0","0","0","1","5","5","-0.5","+5",NA,5.2
"28","27","24","2018-12-13","27-146","DAL","@","PHO","L (-10)","0","15:43","1","4",".250","0","3",".000","4","4","1.000","4","4","8","1","0","1","3","3","6","4.8","+3",NA,16.85
"29","28","25","2018-12-16","27-149","DAL","","SAC","L (-7)","0","18:24","3","5",".600","0","1",".000","2","2","1.000","2","1","3","2","1","1","0","2","8","9.7","+1",NA,20.1
"30","29","26","2018-12-18","27-151","DAL","@","DEN","L (-8)","0","16:55","3","5",".600","1","2",".500","1","2",".500","0","2","2","1","0","0","1","2","8","4.8","-27",NA,10.65
"31","30","27","2018-12-20","27-153","DAL","@","LAC","L (-4)","0","6:30","1","2",".500","0","0","","2","3",".667","1","2","3","0","0","0","0","2","4","3.1","-6",NA,7.6
"33","32","28","2018-12-23","27-156","DAL","@","POR","L (-3)","0","18:41","5","11",".455","0","3",".000","4","4","1.000","2","0","2","0","0","0","0","2","14","8.9","+2",NA,16.4
"34","33","29","2018-12-26","27-159","DAL","","NOP","W (+3)","0","17:48","2","4",".500","0","2",".000","1","2",".500","1","2","3","0","0","1","0","4","5","3.0","+3",NA,11.6
"35","34","30","2018-12-28","27-161","DAL","@","NOP","L (-2)","0","13:14","3","6",".500","0","1",".000","4","5",".800","3","5","8","1","0","0","0","6","10","8.5","-6",NA,20.85
"36","35","31","2018-12-30","27-163","DAL","","OKC","W (+2)","0","14:33","2","7",".286","0","0","","2","4",".500","1","1","2","0","0","0","1","1","6","0.7","-6",NA,7.4
"37","36","32","2018-12-31","27-164","DAL","@","OKC","L (-20)","0","15:30","1","1","1.000","0","0","","1","2",".500","0","3","3","0","0","2","3","6","3","-0.8","+1",NA,9.6
"38","37","33","2019-01-02","27-166","DAL","@","CHO","W (+38)","0","23:45","5","6",".833","2","3",".667","3","3","1.000","3","5","8","2","2","1","1","1","15","19.1","+23",NA,35.1
"39","38","34","2019-01-04","27-168","DAL","@","BOS","L (-21)","0","17:22","3","8",".375","0","3",".000","0","0","","2","6","8","0","1","0","0","0","6","5.8","-22",NA,18.6
"40","39","35","2019-01-05","27-169","DAL","@","PHI","L (-6)","0","17:15","5","6",".833","0","0","","3","5",".600","2","1","3","1","1","2","1","1","13","13.4","+3",NA,25.85
"41","40","36","2019-01-07","27-171","DAL","","LAL","L (-10)","0","14:33","3","5",".600","1","3",".333","1","2",".500","3","4","7","2","0","1","0","3","8","9.5","-5",NA,21.9
"43","41","37","2019-01-09","27-173","DAL","","PHO","W (+10)","0","16:21","1","2",".500","0","0","","0","2",".000","1","3","4","2","0","0","1","1","2","1.8","-2",NA,8.3
"44","42","38","2019-01-11","27-175","DAL","@","MIN","W (+4)","0","18:16","7","8",".875","0","1",".000","1","1","1.000","2","1","3","0","0","2","1","1","15","13.9","+15",NA,23.6
"45","43","39","2019-01-13","27-177","DAL","","GSW","L (-5)","0","17:02","3","7",".429","0","1",".000","2","3",".667","2","1","3","1","1","0","0","1","8","6.9","+1",NA,15.85
"46","44","40","2019-01-16","27-180","DAL","","SAS","L (-4)","0","20:31","2","5",".400","1","2",".500","4","5",".800","2","2","4","2","0","0","0","2","9","8.5","-8",NA,16.3
"47","45","41","2019-01-19","27-183","DAL","@","IND","L (-12)","0","14:07","4","6",".667","0","0","","3","4",".750","2","3","5","2","0","0","1","1","11","10.3","-6",NA,18.5
"48","46","42","2019-01-21","27-185","DAL","@","MIL","L (-10)","0","16:13","2","5",".400","0","1",".000","0","0","","0","2","2","1","1","2","0","1","4","4.6","+5",NA,16.65
"49","47","43","2019-01-22","27-186","DAL","","LAC","W (+8)","0","2:41","1","1","1.000","0","0","","0","0","","0","0","0","0","0","0","0","0","2","1.7","-8",NA,2
"50","48","44","2019-01-25","27-189","DAL","","DET","W (+5)","0","20:41","4","6",".667","0","0","","1","2",".500","0","6","6","1","0","0","0","3","9","7.3","+11",NA,17.45
"51","49","45","2019-01-27","27-191","DAL","","TOR","L (-3)","0","12:13","4","5",".800","0","0","","0","0","","1","1","2","0","0","0","0","2","8","6.3","-5",NA,10.4
"52","50","46","2019-01-30","27-194","DAL","@","NYK","W (+24)","0","19:33","3","4",".750","1","1","1.000","0","0","","1","3","4","1","1","0","1","2","7","6.9","+6",NA,15.05
"53","51","47","2019-01-31","27-195","DAL","@","DET","L (-4)","0","24:13","4","8",".500","1","2",".500","1","2",".500","0","5","5","1","1","2","0","4","10","8.6","+7",NA,26.25
"54","52","48","2019-02-02","27-197","DAL","@","CLE","W (+13)","0","24:10","3","5",".600","0","0","","2","2","1.000","0","3","3","1","0","1","2","2","8","5.2","+16",NA,13.85
"55","53","49","2019-02-06","27-201","DAL","","CHO","W (+6)","0","26:57","4","7",".571","0","0","","3","3","1.000","4","8","12","2","2","2","0","1","11","17.3","+10",NA,39.9
"56","54","50","2019-02-08","27-203","DAL","","MIL","L (-15)","0","20:17","3","6",".500","3","6",".500","3","3","1.000","3","5","8","2","1","0","2","4","12","11.4","-3",NA,25.1
"57","55","51","2019-02-10","27-205","DAL","","POR","W (+1)","0","26:54","3","6",".500","0","1",".000","7","8",".875","4","4","8","2","0","0","0","3","13","13.8","+13",NA,25.1
"58","56","52","2019-02-11","27-206","DAL","@","HOU","L (-16)","0","28:16","4","5",".800","1","1","1.000","3","5",".600","0","4","4","0","0","0","1","1","12","9.1","-12",NA,15.8
"59","57","53","2019-02-13","27-208","DAL","","MIA","L (-11)","0","26:02","2","4",".500","0","1",".000","2","2","1.000","0","4","4","1","0","0","0","2","6","5.1","-11",NA,12.05
"60","58","54","2019-02-22","27-217","DAL","","DEN","L (-10)","0","25:18","6","12",".500","1","4",".250","7","8",".875","4","2","6","1","0","0","1","3","20","15.5","-10",NA,27.45
"61","59","55","2019-02-23","27-218","DAL","@","UTA","L (-16)","0","29:41","5","13",".385","0","4",".000","2","2","1.000","1","5","6","5","0","0","1","3","12","8.4","-7",NA,24.45
"62","60","56","2019-02-25","27-220","DAL","@","LAC","L (-9)","1","36:44","10","11",".909","2","2","1.000","2","2","1.000","4","4","8","4","2","2","0","2","24","29.7","-3",NA,50.6
"64","61","57","2019-02-27","27-222","DAL","","IND","W (+9)","1","37:06","5","8",".625","1","1","1.000","1","3",".333","4","3","7","2","2","0","2","3","12","11.5","+16",NA,26.9
"65","62","58","2019-03-02","27-225","DAL","","MEM","L (-30)","1","31:54","4","7",".571","1","1","1.000","4","6",".667","2","6","8","4","2","0","2","5","13","12.9","-5",NA,31.6
"66","63","59","2019-03-04","27-227","DAL","@","BRK","L (-39)","1","32:29","6","7",".857","5","6",".833","3","4",".750","2","4","6","6","0","0","1","2","20","22.1","-13",NA,33.7
"67","64","60","2019-03-06","27-229","DAL","@","WAS","L (-9)","1","36:00","11","12",".917","1","1","1.000","3","6",".500","5","5","10","2","0","1","0","0","26","27.9","-15",NA,43.5
"68","65","61","2019-03-08","27-231","DAL","@","ORL","L (-5)","1","32:28","4","7",".571","0","1",".000","5","6",".833","2","4","6","2","2","0","2","3","13","12.1","+1",NA,26.7
"69","66","62","2019-03-10","27-233","DAL","","HOU","L (-1)","1","26:07","4","6",".667","1","2",".500","0","0","","1","5","6","3","1","1","1","3","9","10.2","+11",NA,24.95
"70","67","63","2019-03-12","27-235","DAL","","SAS","L (-7)","1","39:13","6","15",".400","1","6",".167","7","7","1.000","3","4","7","1","0","0","0","4","20","14.3","+7",NA,29.65
