"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA.","FPTS"
"1","1","1","2018-10-17","24-033","DEN","@","LAC","W (+9)","1","34:25","6","16",".375","0","3",".000","8","8","1.000","3","0","3","2","0","0","0","3","20","13.5","+15",NA,26.1
"2","2","2","2018-10-20","24-036","DEN","","PHO","W (+28)","1","35:09","7","15",".467","1","4",".250","3","4",".750","0","5","5","4","2","1","1","2","18","15.1","+37",NA,37
"3","3","3","2018-10-21","24-037","DEN","","GSW","W (+2)","1","34:51","11","20",".550","2","9",".222","4","7",".571","1","2","3","1","2","1","0","3","28","20.7","+13",NA,41.85
"4","4","4","2018-10-23","24-039","DEN","","SAC","W (+14)","1","26:19","8","12",".667","2","4",".500","0","0","","1","2","3","5","1","0","1","0","18","17.6","+21",NA,29.85
"5","5","5","2018-10-25","24-041","DEN","@","LAL","L (-7)","1","36:28","6","13",".462","1","3",".333","0","0","","0","3","3","5","0","0","1","1","13","9.3","-9",NA,21.85
"6","6","6","2018-10-29","24-045","DEN","","NOP","W (+5)","1","33:01","8","16",".500","1","3",".333","6","8",".750","1","5","6","6","2","1","0","3","23","22.1","+2",NA,46.7
"7","7","7","2018-10-31","24-047","DEN","@","CHI","W (+1)","1","37:54","7","19",".368","2","6",".333","0","0","","1","4","5","2","1","0","3","3","16","5.6","-3",NA,24.5
"8","8","8","2018-11-01","24-048","DEN","@","CLE","W (+19)","1","27:56","4","12",".333","1","5",".200","5","5","1.000","0","3","3","3","1","2","1","0","14","11.6","+14",NA,29.35
"9","9","9","2018-11-03","24-050","DEN","","UTA","W (+15)","1","31:32","8","13",".615","1","4",".250","3","5",".600","0","4","4","1","0","0","3","3","20","11.0","+1",NA,23.05
"10","10","10","2018-11-05","24-052","DEN","","BOS","W (+8)","1","37:21","4","13",".308","1","4",".250","4","4","1.000","2","3","5","3","3","0","0","3","13","11.7","+8",NA,31.75
"11","11","11","2018-11-07","24-054","DEN","@","MEM","L (-2)","1","32:47","6","16",".375","3","6",".500","5","6",".833","1","1","2","2","0","0","3","1","20","9.8","-2",NA,21.9
"12","12","12","2018-11-09","24-056","DEN","","BRK","L (-2)","1","36:22","1","11",".091","0","5",".000","2","2","1.000","2","0","2","4","0","1","1","5","4","-1.4","+6",NA,13.4
"13","13","13","2018-11-11","24-058","DEN","","MIL","L (-7)","1","30:07","5","14",".357","2","6",".333","3","5",".600","1","3","4","0","3","0","2","3","15","7.8","-17",NA,26.8
"14","14","14","2018-11-13","24-060","DEN","","HOU","L (-10)","1","36:21","6","13",".462","3","6",".500","0","0","","0","2","2","1","4","0","2","1","15","11.2","-10",NA,28.65
"15","15","15","2018-11-15","24-062","DEN","","ATL","W (+45)","1","27:16","7","9",".778","2","3",".667","2","3",".667","0","3","3","4","0","2","1","2","18","17.4","+34",NA,31.6
"16","16","16","2018-11-17","24-064","DEN","@","NOP","L (-10)","1","38:48","9","16",".563","6","9",".667","0","0","","1","4","5","4","1","1","0","3","24","21.6","+1",NA,41
"17","17","17","2018-11-19","24-066","DEN","@","MIL","L (-6)","1","34:44","6","16",".375","2","6",".333","0","0","","0","0","0","6","2","0","3","3","14","7.2","-12",NA,24.5
"18","18","18","2018-11-21","24-068","DEN","@","MIN","W (+2)","1","36:15","7","16",".438","1","8",".125","2","2","1.000","1","3","4","2","2","0","1","2","17","11.8","-1",NA,29.3
"19","19","19","2018-11-23","24-070","DEN","","ORL","W (+25)","1","25:04","4","13",".308","1","5",".200","0","0","","0","2","2","2","0","0","2","1","9","1.1","+7",NA,11.9
"23","22","20","2018-11-30","24-077","DEN","@","POR","W (+1)","1","36:28","9","21",".429","4","10",".400","5","6",".833","0","3","3","3","1","0","1","4","27","16.9","0",NA,36.35
"24","23","21","2018-12-03","24-080","DEN","@","TOR","W (+3)","1","8:58","1","3",".333","0","2",".000","1","2",".500","0","1","1","0","0","0","0","1","3","0.8","-1",NA,4.2
