"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA.","FPTS"
"1","1","1","2018-10-16","28-207","BOS","","PHI","W (+18)","1","24:37","4","12",".333","1","3",".333","1","2",".500","2","3","5","0","4","0","0","1","10","8.7","+10",NA,28
"2","2","2","2018-10-19","28-210","BOS","@","TOR","L (-12)","1","24:17","6","13",".462","1","3",".333","1","1","1.000","2","5","7","2","1","0","1","0","14","11.6","-11",NA,26.9
"4","4","3","2018-10-22","28-213","BOS","","ORL","L (-3)","1","24:56","4","8",".500","3","5",".600","0","0","","0","4","4","3","1","0","2","3","11","8.1","-1",NA,20.55
"5","5","4","2018-10-25","28-216","BOS","@","OKC","W (+6)","1","23:41","1","5",".200","1","4",".250","2","4",".500","0","7","7","1","0","0","2","3","5","0.7","-13",NA,12.65
"6","6","5","2018-10-27","28-218","BOS","@","DET","W (+20)","1","23:41","6","11",".545","2","5",".400","1","3",".333","0","5","5","1","1","0","3","3","15","7.9","+18",NA,22.25
"7","7","6","2018-10-30","28-221","BOS","","DET","W (+3)","1","25:53","3","10",".300","0","2",".000","0","0","","1","3","4","3","0","0","1","0","6","2.9","-1",NA,13.55
"8","8","7","2018-11-01","28-223","BOS","","MIL","W (+4)","1","26:38","6","11",".545","3","5",".600","3","3","1.000","2","2","4","5","0","1","1","1","18","17.5","+4",NA,31.05
"9","9","8","2018-11-03","28-225","BOS","@","IND","L (-1)","1","25:42","2","10",".200","0","5",".000","0","0","","2","5","7","3","1","2","1","3","4","3.0","-9",NA,24.15
"10","10","9","2018-11-05","28-227","BOS","@","DEN","L (-8)","1","25:52","3","7",".429","0","2",".000","2","2","1.000","1","8","9","2","0","0","1","2","8","7.0","+4",NA,20.3
"11","11","10","2018-11-08","28-230","BOS","@","PHO","W (+7)","1","24:54","3","8",".375","2","5",".400","0","0","","0","4","4","2","0","0","0","1","8","5.8","0",NA,15.3
"12","12","11","2018-11-09","28-231","BOS","@","UTA","L (-8)","1","25:40","3","9",".333","1","5",".200","6","6","1.000","0","1","1","7","1","0","1","3","13","11.9","-8",NA,24.95
"13","13","12","2018-11-11","28-233","BOS","@","POR","L (-6)","1","31:04","3","7",".429","1","3",".333","0","0","","1","8","9","5","1","0","1","1","7","9.5","-5",NA,26.05
"14","14","13","2018-11-14","28-236","BOS","","CHI","W (+29)","1","28:44","4","12",".333","1","4",".250","2","3",".667","2","2","4","4","3","0","1","1","11","10.2","+24",NA,28.8
"15","15","14","2018-11-16","28-238","BOS","","TOR","W (+7)","1","39:03","4","8",".500","1","4",".250","6","6","1.000","1","4","5","5","4","0","2","3","15","17.2","+18",NA,37.25
"16","16","15","2018-11-17","28-239","BOS","","UTA","L (-12)","1","26:04","3","7",".429","0","2",".000","1","1","1.000","1","3","4","3","2","0","3","0","7","6.0","-11",NA,18.55
"17","17","16","2018-11-19","28-241","BOS","@","CHO","L (-5)","0","30:49","1","6",".167","0","3",".000","2","2","1.000","2","6","8","4","2","0","2","0","4","6.2","-2",NA,22.6
"18","18","17","2018-11-21","28-243","BOS","","NYK","L (-8)","0","31:35","6","14",".429","2","7",".286","5","5","1.000","0","7","7","3","2","0","1","1","19","16.4","+10",NA,36.15
"19","19","18","2018-11-23","28-245","BOS","@","ATL","W (+18)","0","22:03","4","7",".571","1","3",".333","2","2","1.000","0","5","5","4","0","2","1","2","11","11.6","+20",NA,27
"22","21","19","2018-11-26","28-248","BOS","@","NOP","W (+17)","0","23:10","2","5",".400","1","2",".500","0","0","","2","2","4","4","1","1","3","1","5","5.4","-8",NA,17.8
"23","22","20","2018-11-30","28-252","BOS","","CLE","W (+33)","0","23:53","6","9",".667","1","3",".333","1","1","1.000","1","3","4","4","0","0","2","3","14","11.3","+16",NA,21.8
"24","23","21","2018-12-01","28-253","BOS","@","MIN","W (+9)","0","29:46","8","16",".500","4","5",".800","10","10","1.000","3","6","9","8","2","0","2","0","30","31.5","+14",NA,54.8
"25","24","22","2018-12-06","28-258","BOS","","NYK","W (+28)","0","25:07","2","6",".333","2","3",".667","2","2","1.000","0","6","6","4","0","0","0","1","8","8.8","+13",NA,20.2
"26","25","23","2018-12-08","28-260","BOS","@","CHI","W (+56)","0","25:59","2","9",".222","1","4",".250","0","0","","1","4","5","6","0","0","1","0","5","4.6","+15",NA,17.5
"29","28","24","2018-12-14","28-266","BOS","","ATL","W (+21)","0","17:41","7","10",".700","3","3","1.000","2","2","1.000","0","1","1","5","1","0","3","1","19","16.2","+21",NA,26.45
"30","29","25","2018-12-15","28-267","BOS","@","DET","L (-9)","0","28:04","3","11",".273","0","4",".000","0","0","","1","1","2","2","1","0","1","0","6","1.9","+2",NA,12.9
"31","30","26","2018-12-19","28-271","BOS","","PHO","L (-8)","0","29:20","3","8",".375","2","5",".400","2","2","1.000","0","5","5","4","1","2","1","3","10","10.1","-13",NA,29
"32","31","27","2018-12-21","28-273","BOS","","MIL","L (-13)","1","35:35","3","13",".231","1","6",".167","4","5",".800","0","3","3","0","0","0","0","0","11","3.6","-5",NA,14.6
"33","32","28","2018-12-23","28-275","BOS","","CHO","W (+16)","0","24:10","2","7",".286","0","2",".000","4","4","1.000","1","6","7","2","0","0","1","1","8","6.4","+11",NA,17.9
"34","33","29","2018-12-25","28-277","BOS","","PHI","W (+7)","0","28:26","2","6",".333","0","2",".000","1","2",".500","0","1","1","1","2","0","1","1","5","2.8","+9",NA,12.45
"35","34","30","2018-12-27","28-279","BOS","@","HOU","L (-14)","0","24:12","2","5",".400","2","4",".500","3","3","1.000","0","5","5","5","2","0","1","2","9","11.5","-19",NA,26.25
"36","35","31","2018-12-29","28-281","BOS","@","MEM","W (+9)","0","26:37","6","11",".545","1","4",".250","1","1","1.000","1","2","3","4","0","0","1","1","14","11.4","+8",NA,21.6
"37","36","32","2018-12-31","28-283","BOS","@","SAS","L (-9)","0","21:59","0","6",".000","0","5",".000","0","0","","1","3","4","5","1","0","1","0","0","0.9","-2",NA,13.05
"38","37","33","2019-01-02","28-285","BOS","","MIN","W (+13)","0","31:36","14","18",".778","4","7",".571","3","3","1.000","0","1","1","5","0","0","2","1","35","29.4","-7",NA,40.45
"39","38","34","2019-01-04","28-287","BOS","","DAL","W (+21)","0","30:08","6","15",".400","2","6",".333","2","2","1.000","4","7","11","8","0","1","2","2","16","16.3","+6",NA,40.2
"40","39","35","2019-01-07","28-290","BOS","","BRK","W (+21)","0","25:58","4","10",".400","2","5",".400","2","3",".667","1","3","4","2","1","0","4","4","12","4.6","+11",NA,18.3
"41","40","36","2019-01-09","28-292","BOS","","IND","W (+27)","0","22:03","5","7",".714","2","2","1.000","2","3",".667","0","5","5","4","1","0","4","3","14","10.8","+13",NA,24
"43","41","37","2019-01-10","28-293","BOS","@","MIA","L (-16)","0","20:07","3","7",".429","0","2",".000","0","0","","0","1","1","4","0","0","0","0","6","5.4","-20",NA,12.2
"44","42","38","2019-01-12","28-295","BOS","@","ORL","L (-2)","0","25:12","3","9",".333","0","3",".000","2","5",".400","1","1","2","3","0","0","0","1","8","4.4","-11",NA,14.15
"45","43","39","2019-01-14","28-297","BOS","@","BRK","L (-7)","0","24:55","1","6",".167","1","4",".250","0","0","","0","4","4","1","0","0","0","1","3","0.7","-22",NA,9.05
"46","44","40","2019-01-16","28-299","BOS","","TOR","W (+9)","0","24:22","8","13",".615","2","5",".400","0","0","","0","2","2","5","2","1","1","3","18","16.7","+10",NA,34.65
"47","45","41","2019-01-18","28-301","BOS","","MEM","W (+6)","0","23:58","2","7",".286","0","2",".000","4","6",".667","0","3","3","4","1","0","3","1","8","4.4","-7",NA,16.6
"49","47","42","2019-01-21","28-304","BOS","","MIA","W (+8)","0","19:04","2","6",".333","1","3",".333","2","2","1.000","0","1","1","2","0","0","3","3","7","1.1","-12",NA,7.7
"50","48","43","2019-01-23","28-306","BOS","","CLE","W (+20)","0","25:21","6","10",".600","0","2",".000","6","7",".857","2","3","5","0","2","0","2","1","18","14.9","+3",NA,28
"51","49","44","2019-01-26","28-309","BOS","","GSW","L (-4)","0","22:07","0","5",".000","0","1",".000","2","2","1.000","0","7","7","2","2","1","1","1","2","3.3","-8",NA,20.9
"52","50","45","2019-01-28","28-311","BOS","","BRK","W (+8)","0","20:32","1","6",".167","0","4",".000","0","0","","1","2","3","3","1","1","3","1","2","-0.1","+11",NA,12.35
"53","51","46","2019-01-30","28-313","BOS","","CHO","W (+32)","0","23:31","5","10",".500","1","1","1.000","1","2",".500","1","4","5","3","2","1","2","1","12","10.9","+31",NA,28.75
"54","52","47","2019-02-01","28-315","BOS","@","NYK","W (+14)","0","21:03","5","8",".625","2","3",".667","2","2","1.000","2","1","3","2","0","2","0","1","14","14.5","+8",NA,26.1
"55","53","48","2019-02-03","28-317","BOS","","OKC","W (+5)","0","23:43","1","6",".167","0","0","","1","1","1.000","2","1","3","2","1","0","2","1","3","0.9","+2",NA,10.1
"56","54","49","2019-02-05","28-319","BOS","@","CLE","W (+7)","0","30:36","9","14",".643","0","3",".000","0","0","","0","6","6","5","1","1","2","0","18","16.8","+10",NA,35.45
"57","55","50","2019-02-07","28-321","BOS","","LAL","L (-1)","0","26:01","2","5",".400","0","2",".000","0","0","","0","6","6","5","0","0","0","1","4","6.2","+17",NA,17.45
"58","56","51","2019-02-09","28-323","BOS","","LAC","L (-11)","0","26:59","6","11",".545","2","3",".667","5","6",".833","0","5","5","3","1","0","3","5","19","12.9","+3",NA,28.75
"59","57","52","2019-02-12","28-326","BOS","@","PHI","W (+3)","0","28:23","8","11",".727","6","7",".857","4","4","1.000","1","3","4","3","1","0","2","3","26","23.0","+11",NA,35.55
"60","58","53","2019-02-13","28-327","BOS","","DET","W (+8)","1","34:12","5","8",".625","1","3",".333","7","8",".875","0","5","5","8","1","0","2","4","18","18.5","+2",NA,35
"62","60","54","2019-02-23","28-337","BOS","@","CHI","L (-10)","0","23:44","2","6",".333","1","3",".333","0","0","","1","1","2","3","0","2","1","1","5","4.7","-2",NA,16.15
"64","61","55","2019-02-26","28-340","BOS","@","TOR","L (-23)","0","22:54","2","8",".250","0","3",".000","5","5","1.000","0","2","2","2","0","1","0","0","9","6.9","-7",NA,16.9
"65","62","56","2019-02-27","28-341","BOS","","POR","L (-5)","0","27:18","1","3",".333","0","0","","1","2",".500","2","2","4","3","0","0","2","0","3","3.0","+13",NA,9.55
"66","63","57","2019-03-01","28-343","BOS","","WAS","W (+11)","0","24:09","0","2",".000","0","1",".000","3","4",".750","1","3","4","4","0","1","3","2","3","2.5","+1",NA,12.8
"67","64","58","2019-03-03","28-345","BOS","","HOU","L (-11)","0","17:48","3","7",".429","0","1",".000","0","0","","0","2","2","4","2","0","0","0","6","7.7","-1",NA,19.4
"68","65","59","2019-03-05","28-347","BOS","@","GSW","W (+33)","0","27:46","12","16",".750","4","6",".667","2","2","1.000","1","6","7","4","2","0","0","1","30","30.5","+32",NA,49.4
"69","66","60","2019-03-06","28-348","BOS","@","SAC","W (+2)","0","29:01","6","10",".600","0","3",".000","0","2",".000","0","3","3","5","1","0","3","4","12","7.4","0",NA,21.85
"70","67","61","2019-03-09","28-351","BOS","@","LAL","W (+13)","0","29:46","6","8",".750","1","3",".333","2","4",".500","0","2","2","2","0","1","2","1","15","11.3","+14",NA,20.9
"71","68","62","2019-03-11","28-353","BOS","@","LAC","L (-25)","0","21:57","3","7",".429","1","1","1.000","1","2",".500","0","1","1","4","0","0","0","1","8","6.6","-20",NA,14.2
"72","69","63","2019-03-14","28-356","BOS","","SAC","W (+6)","0","19:12","3","7",".429","0","1",".000","4","5",".800","0","3","3","4","0","0","2","1","10","7.2","+7",NA,16.6
"73","70","64","2019-03-16","28-358","BOS","","ATL","W (+9)","0","1:08","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","+5",NA,0
"77","74","65","2019-03-24","29-001","BOS","","SAS","L (-19)","1","33:35","4","11",".364","0","2",".000","5","5","1.000","2","8","10","3","0","0","0","0","13","12.8","0",NA,28.75
"78","75","66","2019-03-26","29-003","BOS","@","CLE","W (+10)","0","30:14","7","12",".583","0","1",".000","1","2",".500","0","5","5","4","1","0","3","1","15","10.9","+4",NA,26
"79","76","67","2019-03-29","29-006","BOS","","IND","W (+2)","0","22:13","4","7",".571","1","3",".333","2","2","1.000","0","6","6","2","0","0","3","3","11","6.7","-12",NA,17.7
"80","77","68","2019-03-30","29-007","BOS","@","BRK","L (-14)","0","28:47","7","12",".583","1","3",".333","4","6",".667","0","6","6","3","1","0","2","2","19","14.7","-8",NA,30.95
"81","78","69","2019-04-01","29-009","BOS","","MIA","W (+5)","0","28:59","4","7",".571","1","3",".333","2","2","1.000","1","3","4","1","2","1","2","3","11","9.5","-10",NA,24.05
