"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA.","FPTS"
"26","25","1","2018-12-07","19-029","LAL","@","SAS","L (-13)","0","1:07","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","0",NA,0
"27","26","2","2018-12-08","19-030","LAL","@","MEM","W (+23)","0","4:25","0","2",".000","0","1",".000","1","1","1.000","1","1","2","1","1","0","2","2","1","-0.5","-1",NA,5.65
"29","28","3","2018-12-13","19-035","LAL","@","HOU","L (-15)","0","1:00","0","1",".000","0","0","","0","0","","0","0","0","0","0","0","0","0","0","-0.7","-2",NA,0
"30","29","4","2018-12-15","19-037","LAL","@","CHO","W (+28)","0","6:25","1","3",".333","0","0","","0","0","","1","0","1","1","2","0","0","1","2","3.3","-6",NA,10.45
"31","30","5","2018-12-16","19-038","LAL","@","WAS","L (-18)","0","3:54","1","1","1.000","0","0","","1","2",".500","0","1","1","1","0","0","0","0","3","3.3","0",NA,5.45
"41","40","6","2019-01-06","19-059","LAL","@","MIN","L (-22)","0","5:00","0","1",".000","0","0","","0","0","","0","0","0","1","0","0","0","0","0","0.0","+3",NA,1.25
"50","48","7","2019-01-21","19-074","LAL","","GSW","L (-19)","0","6:32","0","1",".000","0","1",".000","2","4",".500","1","0","1","1","0","0","0","0","2","1.9","+5",NA,4.45
"55","53","8","2019-02-02","19-086","LAL","@","GSW","L (-14)","0","2:08","0","1",".000","0","0","","0","0","","0","1","1","1","0","0","0","0","0","0.3","+4",NA,2.45
"68","65","9","2019-03-06","19-118","LAL","","DEN","L (-16)","0","2:13","0","0","","0","0","","2","2","1.000","0","1","1","1","0","0","1","0","2","2.0","-1",NA,3.45
"69","66","10","2019-03-09","19-121","LAL","","BOS","L (-13)","0","5:42","0","0","","0","0","","0","0","","0","1","1","0","0","1","1","0","0","0.0","-9",NA,3.2
"72","69","11","2019-03-15","19-127","LAL","@","DET","L (-14)","0","5:07","0","3",".000","0","1",".000","0","0","","1","2","3","0","0","0","0","0","0","-0.8","-2",NA,3.6
"74","71","12","2019-03-19","19-131","LAL","@","MIL","L (-14)","0","1:21","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-2",NA,0
"75","72","13","2019-03-22","19-134","LAL","","BRK","L (-5)","0","0:05","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-1",NA,0
"77","74","14","2019-03-26","19-138","LAL","","WAS","W (+18)","0","1:06","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","+5",NA,0
"78","75","15","2019-03-27","19-139","LAL","@","UTA","L (-15)","0","10:39","1","3",".333","0","1",".000","0","0","","0","3","3","1","1","0","0","1","2","2.5","+3",NA,9.85
"79","76","16","2019-03-29","19-141","LAL","","CHO","W (+14)","0","1:05","0","1",".000","0","0","","0","0","","0","0","0","0","0","0","0","0","0","-0.7","-3",NA,0
"80","77","17","2019-03-31","19-143","LAL","@","NOP","W (+28)","0","10:42","1","6",".167","0","2",".000","0","0","","1","2","3","1","2","0","0","1","2","1.8","+14",NA,12.85
"81","78","18","2019-04-02","19-145","LAL","@","OKC","L (-16)","0","1:04","0","1",".000","0","0","","0","0","","0","0","0","0","0","0","0","0","0","-0.7","0",NA,0
"82","79","19","2019-04-04","19-147","LAL","","GSW","L (-18)","0","8:37","1","1","1.000","0","0","","2","4",".500","1","2","3","2","1","1","0","0","4","7.3","+5",NA,16.1
"83","80","20","2019-04-05","19-148","LAL","@","LAC","W (+5)","0","13:21","0","3",".000","0","1",".000","1","2",".500","1","1","2","2","1","1","0","2","1","1.8","+8",NA,11.9
"85","81","21","2019-04-07","19-150","LAL","","UTA","W (+4)","0","19:23","0","4",".000","0","1",".000","0","0","","1","1","2","2","1","0","2","2","0","-2.2","-2",NA,5.9
"86","82","22","2019-04-09","19-152","LAL","","POR","L (-3)","0","9:04","0","1",".000","0","0","","0","0","","1","0","1","0","0","1","0","0","0","0.7","-5",NA,4.2
