"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA.","FPTS"
"2","2","1","2018-10-19","33-040","CLE","@","MIN","L (-8)","0","3:40","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","1","0","0","-1.7","-8",NA,-1
"4","4","2","2018-10-24","33-045","CLE","","BRK","L (-16)","0","18:06","3","5",".600","0","1",".000","1","1","1.000","0","1","1","0","1","0","0","2","7","5.2","-4",NA,11.2
"5","5","3","2018-10-25","33-046","CLE","@","DET","L (-7)","0","20:04","0","7",".000","0","4",".000","0","0","","0","2","2","0","2","0","2","0","0","-4.3","+3",NA,6.4
"6","6","4","2018-10-27","33-048","CLE","","IND","L (-12)","0","6:12","0","0","","0","0","","3","3","1.000","0","1","1","1","0","0","0","1","3","3.6","+1",NA,5.45
"9","9","5","2018-11-03","33-055","CLE","@","CHO","L (-32)","0","24:19","4","8",".500","4","6",".667","2","2","1.000","0","1","1","4","3","0","0","2","14","15.3","-25",NA,29.2
"10","10","6","2018-11-05","33-057","CLE","@","ORL","L (-2)","0","25:10","5","9",".556","2","3",".667","2","2","1.000","0","4","4","3","2","1","1","1","14","14.3","+13",NA,30.55
"11","11","7","2018-11-07","33-059","CLE","","OKC","L (-9)","1","32:16","5","17",".294","3","11",".273","0","0","","0","1","1","2","1","1","4","5","13","0.5","-14",NA,18.7
"12","12","8","2018-11-10","33-062","CLE","@","CHI","L (-1)","1","22:47","1","4",".250","0","1",".000","0","0","","0","3","3","3","1","0","1","4","2","1.0","+8",NA,11.35
"13","13","9","2018-11-13","33-065","CLE","","CHO","W (+24)","1","39:23","5","13",".385","3","7",".429","0","0","","0","3","3","5","1","1","1","1","13","10.6","+26",NA,27.85
"14","14","10","2018-11-14","33-066","CLE","@","WAS","L (-24)","1","24:29","3","11",".273","0","4",".000","0","2",".000","0","2","2","3","0","0","1","2","6","-0.4","-11",NA,11.15
"15","15","11","2018-11-19","33-071","CLE","@","DET","L (-11)","0","5:52","1","4",".250","0","1",".000","0","0","","0","0","0","0","0","0","0","1","2","-0.8","-3",NA,2
