"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA.","FPTS"
"4","4","1","2018-10-22","21-126","GSW","","PHO","W (+20)","0","7:52","1","2",".500","0","0","","0","0","","0","1","1","1","0","0","0","0","2","2.0","-7",NA,4.45
"5","5","2","2018-10-24","21-128","GSW","","WAS","W (+22)","0","4:03","1","1","1.000","0","0","","0","0","","0","1","1","2","0","0","0","1","2","3.0","+4",NA,5.7
"6","6","3","2018-10-26","21-130","GSW","@","NYK","W (+28)","0","2:04","0","0","","0","0","","0","0","","0","0","0","2","0","0","0","0","0","1.4","+7",NA,2.5
"7","7","4","2018-10-28","21-132","GSW","@","BRK","W (+6)","0","6:27","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","1","0","-0.4","+5",NA,0
"8","8","5","2018-10-29","21-133","GSW","@","CHI","W (+25)","0","16:05","0","4",".000","0","0","","0","0","","1","0","1","2","0","0","1","2","0","-2.5","-16",NA,2.7
"9","9","6","2018-10-31","21-135","GSW","","NOP","W (+10)","0","1:24","0","0","","0","0","","0","0","","0","0","0","0","1","0","0","0","0","1.0","+2",NA,3
"11","11","7","2018-11-05","21-140","GSW","","MEM","W (+16)","0","6:06","0","2",".000","0","1",".000","0","0","","0","1","1","0","0","0","0","1","0","-1.5","-2",NA,1.2
"13","13","8","2018-11-10","21-145","GSW","","BRK","W (+16)","0","4:21","0","2",".000","0","0","","0","0","","0","0","0","1","0","0","1","0","0","-1.7","-5",NA,0.25
"16","16","9","2018-11-15","21-150","GSW","@","HOU","L (-21)","0","11:07","1","3",".333","1","2",".500","0","0","","0","3","3","1","0","0","1","3","3","0.7","0",NA,6.85
"18","18","10","2018-11-18","21-153","GSW","@","SAS","L (-12)","0","0:29","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","0","0","-0.7","0",NA,0
"19","19","11","2018-11-21","21-156","GSW","","OKC","L (-28)","0","4:11","0","0","","0","0","","0","0","","0","0","0","0","0","1","0","0","0","0.7","-8",NA,3
"20","20","12","2018-11-23","21-158","GSW","","POR","W (+28)","0","3:19","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","+5",NA,0
"22","21","13","2018-11-24","21-159","GSW","","SAC","W (+1)","0","0:32","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-3",NA,0
"24","23","14","2018-11-29","21-164","GSW","@","TOR","L (-3)","0","0:20","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","0",NA,0
"25","24","15","2018-12-01","21-166","GSW","@","DET","L (-9)","0","0:47","0","0","","0","0","","0","0","","0","0","0","1","0","0","0","0","0","0.7","0",NA,1.25
"26","25","16","2018-12-03","21-168","GSW","@","ATL","W (+17)","0","4:12","0","0","","0","0","","0","0","","0","0","0","0","0","0","1","2","0","-1.8","-7",NA,-1
"27","26","17","2018-12-05","21-170","GSW","@","CLE","W (+24)","0","3:05","0","1",".000","0","0","","0","0","","0","0","0","0","0","0","0","0","0","-0.7","0",NA,0
"30","29","18","2018-12-12","21-177","GSW","","TOR","L (-20)","0","5:21","1","2",".500","0","0","","0","1",".000","0","0","0","1","0","0","0","1","2","0.9","+3",NA,3.25
"32","31","19","2018-12-17","21-182","GSW","","MEM","W (+17)","0","3:20","0","2",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","0","0","-1.4","-3",NA,0
"38","37","20","2018-12-29","21-194","GSW","@","POR","W (+10)","0","1:17","1","2",".500","0","1",".000","0","0","","0","0","0","0","0","0","0","1","2","0.6","-3",NA,2
"43","41","21","2019-01-08","21-204","GSW","","NYK","W (+27)","0","5:33","1","1","1.000","0","0","","0","0","","0","1","1","0","0","0","1","1","2","0.6","-1",NA,2.2
"46","44","22","2019-01-15","21-211","GSW","@","DEN","W (+31)","0","7:26","0","2",".000","0","0","","0","0","","0","1","1","2","0","0","1","0","0","-0.7","-1",NA,2.7
"47","45","23","2019-01-16","21-212","GSW","","NOP","W (+7)","0","0:05","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","+3",NA,0
"67","64","24","2019-03-05","21-260","GSW","","BOS","L (-33)","0","16:52","3","3","1.000","0","0","","0","0","","2","1","3","2","0","0","1","2","6","6.4","-13",NA,11.1
"71","68","25","2019-03-16","21-271","GSW","@","OKC","W (+22)","0","2:21","1","1","1.000","0","0","","0","0","","0","0","0","0","0","0","0","1","2","1.3","+4",NA,2
"73","70","26","2019-03-19","21-274","GSW","@","MIN","W (+10)","0","0:59","0","1",".000","0","0","","0","0","","0","0","0","0","0","0","0","1","0","-1.1","-2",NA,0
"75","72","27","2019-03-23","21-278","GSW","","DAL","L (-35)","0","14:29","0","3",".000","0","2",".000","0","0","","1","3","4","1","0","0","0","4","0","-1.4","+2",NA,6.05
"81","78","28","2019-04-04","21-290","GSW","@","LAL","W (+18)","0","7:38","0","3",".000","0","0","","0","0","","0","1","1","1","1","0","0","2","0","-0.9","-8",NA,5.45
"85","81","29","2019-04-09","21-295","GSW","@","NOP","W (+9)","1","36:30","5","10",".500","1","4",".250","0","0","","1","4","5","2","3","2","3","3","11","9.5","+4",NA,31.5
"86","82","30","2019-04-10","21-296","GSW","@","MEM","L (-15)","0","25:15","3","7",".429","2","3",".667","0","0","","1","2","3","4","0","0","1","2","8","6.6","+5",NA,15.6
