"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA.","FPTS"
"2","2","1","2018-10-19","24-148","ORL","","CHO","L (-32)","0","12:00","3","4",".750","0","1",".000","0","0","","0","2","2","1","0","0","0","0","6","5.7","-4",NA,9.65
"6","6","2","2018-10-27","24-156","ORL","@","MIL","L (-22)","0","6:49","1","6",".167","0","3",".000","0","0","","0","2","2","1","0","0","0","0","2","-0.5","+5",NA,5.65
"8","8","3","2018-11-02","24-162","ORL","","LAC","L (-25)","0","8:22","3","5",".600","0","0","","0","0","","0","1","1","0","0","0","0","2","6","3.2","-6",NA,7.2
"9","9","4","2018-11-04","24-164","ORL","@","SAS","W (+7)","0","6:47","1","2",".500","0","0","","3","3","1.000","0","2","2","0","0","0","1","2","5","2.8","+7",NA,6.4
"10","10","5","2018-11-05","24-165","ORL","","CLE","W (+2)","0","14:33","0","1",".000","0","1",".000","0","0","","2","4","6","1","0","0","2","2","0","-0.2","-1",NA,6.45
"11","11","6","2018-11-07","24-167","ORL","","DET","L (-7)","0","19:56","0","5",".000","0","2",".000","0","0","","0","2","2","2","0","2","0","2","0","-0.9","-23",NA,10.9
"12","12","7","2018-11-09","24-169","ORL","","WAS","W (+9)","0","5:40","0","1",".000","0","0","","0","0","","0","0","0","0","0","0","1","1","0","-2.1","+12",NA,-1
"13","13","8","2018-11-11","24-171","ORL","@","NYK","W (+26)","1","27:31","2","10",".200","1","5",".200","2","2","1.000","1","5","6","3","2","1","0","2","7","7.0","+22",NA,26.95
"14","14","9","2018-11-12","24-172","ORL","@","WAS","L (-8)","0","14:37","1","3",".333","0","1",".000","0","0","","1","1","2","1","0","0","2","2","2","-0.8","-11",NA,3.65
"16","16","10","2018-11-17","24-177","ORL","","LAL","W (+13)","0","1:44","1","1","1.000","0","0","","0","0","","0","1","1","0","0","0","0","0","2","2.0","-2",NA,3.2
"19","19","11","2018-11-23","24-183","ORL","@","DEN","L (-25)","0","5:32","0","1",".000","0","1",".000","0","0","","0","4","4","0","0","0","0","0","0","0.5","+2",NA,4.8
"20","20","12","2018-11-25","24-185","ORL","@","LAL","W (+4)","0","1:39","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","1","0","-0.4","+3",NA,0
"22","21","13","2018-11-26","24-186","ORL","@","GSW","L (-6)","0","1:27","0","0","","0","0","","0","0","","0","1","1","0","0","0","0","0","0","0.3","-1",NA,1.2
"23","22","14","2018-11-28","24-188","ORL","@","POR","L (-3)","0","17:36","4","6",".667","2","3",".667","0","0","","1","2","3","0","0","0","0","2","10","7.9","-11",NA,13.6
"27","26","15","2018-12-07","24-197","ORL","","IND","L (-22)","0","4:08","0","2",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","0","0","-1.4","+3",NA,0
"28","27","16","2018-12-10","24-200","ORL","@","DAL","L (-25)","0","5:20","1","1","1.000","1","1","1.000","0","0","","0","0","0","1","0","0","0","0","3","3.4","+3",NA,4.25
"30","29","17","2018-12-15","24-205","ORL","","UTA","W (+7)","0","4:49","0","0","","0","0","","0","0","","0","0","0","0","0","0","1","3","0","-2.2","+4",NA,-1
"31","30","18","2018-12-19","24-209","ORL","","SAS","L (-39)","0","6:16","0","2",".000","0","1",".000","1","2",".500","1","2","3","1","0","1","0","3","1","0.7","-9",NA,8.85
"32","31","19","2018-12-21","24-211","ORL","@","CHI","L (-10)","0","3:42","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-2",NA,0
"33","32","20","2018-12-23","24-213","ORL","","MIA","L (-24)","0","3:46","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","1","0","-1.1","-4",NA,0
"35","34","21","2018-12-28","24-218","ORL","","TOR","W (+29)","0","3:22","1","2",".500","0","0","","0","0","","0","3","3","0","0","1","0","1","2","2.2","+3",NA,8.6
"37","36","22","2018-12-31","24-221","ORL","@","CHO","L (-25)","0","7:49","2","3",".667","0","1",".000","0","0","","1","1","2","0","0","0","0","1","4","3.3","+5",NA,6.4
"38","37","23","2019-01-02","24-223","ORL","@","CHI","W (+28)","0","3:48","1","1","1.000","0","0","","1","1","1.000","0","0","0","0","0","0","0","0","3","2.7","+1",NA,3
"39","38","24","2019-01-04","24-225","ORL","@","MIN","L (-17)","0","3:45","0","0","","0","0","","0","0","","0","0","0","0","0","1","0","0","0","0.7","+4",NA,3
"40","39","25","2019-01-06","24-227","ORL","@","LAC","L (-10)","0","1:55","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","+5",NA,0
"41","40","26","2019-01-07","24-228","ORL","@","SAC","L (-16)","0","6:10","2","2","1.000","0","0","","0","0","","0","3","3","0","0","0","1","1","4","2.9","+8",NA,6.6
"48","46","27","2019-01-19","24-240","ORL","","MIL","L (-10)","0","18:41","4","7",".571","4","5",".800","0","0","","0","2","2","2","0","0","1","3","12","8.5","-8",NA,15.9
"49","47","28","2019-01-21","24-242","ORL","@","ATL","W (+19)","0","16:14","3","5",".600","2","3",".667","0","0","","0","1","1","0","0","1","1","2","8","4.9","+10",NA,11.2
"58","56","29","2019-02-09","24-261","ORL","@","MIL","W (+20)","0","3:06","0","1",".000","0","1",".000","0","0","","0","1","1","0","0","0","0","0","0","-0.4","+1",NA,1.2
"59","57","30","2019-02-10","24-262","ORL","@","ATL","W (+16)","0","7:40","2","5",".400","2","4",".500","0","0","","0","3","3","0","0","0","1","1","6","2.8","-1",NA,8.6
"60","58","31","2019-02-12","24-264","ORL","@","NOP","W (+30)","0","3:52","1","1","1.000","1","1","1.000","0","0","","0","1","1","0","0","0","0","3","3","1.8","+1",NA,4.2
"61","59","32","2019-02-14","24-266","ORL","","CHO","W (+38)","0","5:21","2","3",".667","2","3",".667","0","0","","0","1","1","1","0","0","0","0","6","5.7","+7",NA,8.45
"69","66","33","2019-03-05","24-285","ORL","@","PHI","L (-8)","0","11:53","2","3",".667","1","1","1.000","0","1",".000","0","4","4","1","0","1","0","0","5","5.9","-5",NA,14.05
"71","68","34","2019-03-10","24-290","ORL","@","MEM","L (-8)","0","6:41","1","3",".333","1","2",".500","0","0","","1","1","2","0","0","0","0","1","3","1.9","+7",NA,5.4
"73","70","35","2019-03-14","24-294","ORL","","CLE","W (+29)","0","4:07","2","3",".667","2","3",".667","0","0","","0","1","1","0","0","0","0","2","6","4.2","+2",NA,7.2
"75","72","36","2019-03-20","24-300","ORL","","NOP","W (+23)","0","6:28","0","3",".000","0","3",".000","0","0","","2","1","3","0","0","0","0","2","0","-1.2","-11",NA,3.6
"77","74","37","2019-03-25","24-305","ORL","","PHI","W (+21)","0","3:38","0","1",".000","0","1",".000","0","0","","0","1","1","0","0","0","0","2","0","-1.2","-4",NA,1.2
"79","76","38","2019-03-28","24-308","ORL","@","DET","L (-17)","0","2:15","0","0","","0","0","","0","0","","0","1","1","0","0","0","0","0","0","0.3","0",NA,1.2
"81","78","39","2019-04-01","24-312","ORL","@","TOR","L (-12)","0","5:45","1","3",".333","1","3",".333","2","2","1.000","0","1","1","0","0","0","0","0","5","3.6","+8",NA,6.2
"83","80","40","2019-04-05","24-316","ORL","","ATL","W (+36)","0","11:17","1","2",".500","0","1",".000","0","0","","1","4","5","2","1","0","0","6","2","2.9","+8",NA,13.5
"85","81","41","2019-04-07","24-318","ORL","@","BOS","W (+8)","0","1:40","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","1","0","-1.1","-8",NA,0
