"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA.","FPTS"
"2","2","1","2018-10-20","37-022","DET","@","CHI","W (+2)","0","4:04","0","1",".000","0","0","","0","0","","0","1","1","0","0","0","0","1","0","-0.8","+1",NA,1.2
"5","5","2","2018-10-27","37-029","DET","","BOS","L (-20)","0","10:20","1","2",".500","1","2",".500","0","0","","1","0","1","2","0","0","0","2","3","3.3","+8",NA,6.7
"6","6","3","2018-10-30","37-032","DET","@","BOS","L (-3)","0","11:55","1","2",".500","0","1",".000","0","0","","0","0","0","0","1","0","0","2","2","1.2","+3",NA,5
"7","7","4","2018-10-31","37-033","DET","@","BRK","L (-1)","0","15:31","2","5",".400","2","4",".500","2","2","1.000","0","2","2","0","1","1","1","1","8","6.2","+4",NA,15.4
"8","8","5","2018-11-03","37-036","DET","@","PHI","L (-10)","0","12:42","1","4",".250","0","2",".000","0","0","","0","0","0","2","0","0","1","1","2","-0.4","-11",NA,3.5
"9","9","6","2018-11-05","37-038","DET","","MIA","L (-5)","0","11:11","0","2",".000","0","1",".000","0","0","","0","1","1","1","0","0","0","1","0","-0.8","-6",NA,2.45
"10","10","7","2018-11-07","37-040","DET","@","ORL","W (+7)","0","12:30","0","1",".000","0","1",".000","0","0","","2","0","2","1","3","0","1","1","0","3.0","+14",NA,11.65
"11","11","8","2018-11-09","37-042","DET","@","ATL","W (+15)","0","22:26","2","4",".500","0","2",".000","1","1","1.000","0","1","1","4","0","0","0","4","5","4.5","-7",NA,11.2
"12","12","9","2018-11-11","37-044","DET","","CHO","L (-10)","0","6:54","0","3",".000","0","2",".000","0","0","","0","0","0","0","0","0","0","0","0","-2.1","-9",NA,0
"13","13","10","2018-11-14","37-047","DET","@","TOR","W (+2)","0","5:36","0","0","","0","0","","0","0","","0","1","1","2","0","1","1","1","0","1.0","-4",NA,5.7
"14","14","11","2018-11-19","37-052","DET","","CLE","W (+11)","0","11:33","0","3",".000","0","2",".000","0","0","","0","1","1","1","0","0","0","2","0","-1.9","-13",NA,2.45
"15","15","12","2018-11-21","37-054","DET","@","HOU","L (-2)","0","0:10","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","+3",NA,0
"16","16","13","2018-11-23","37-056","DET","","HOU","W (+5)","0","0:00","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","",NA,0
"20","20","14","2018-12-01","37-064","DET","","GSW","W (+9)","0","0:39","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-2",NA,0
"22","21","15","2018-12-03","37-066","DET","","OKC","L (-27)","0","8:31","0","2",".000","0","1",".000","0","0","","0","0","0","3","0","0","1","0","0","-0.3","+3",NA,2.75
"23","22","16","2018-12-05","37-068","DET","@","MIL","L (-23)","0","13:16","0","4",".000","0","1",".000","0","0","","0","1","1","2","0","0","0","2","0","-1.9","+3",NA,3.7
"24","23","17","2018-12-07","37-070","DET","","PHI","L (-6)","0","13:38","3","5",".600","1","2",".500","0","0","","0","0","0","1","2","0","1","0","7","6.4","-5",NA,13.25
"25","24","18","2018-12-09","37-072","DET","","NOP","L (-8)","0","21:47","0","1",".000","0","1",".000","0","0","","0","4","4","9","2","0","0","3","0","7.6","+10",NA,22.05
"26","25","19","2018-12-10","37-073","DET","@","PHI","L (-14)","0","21:55","5","7",".714","0","0","","1","2",".500","0","1","1","4","0","0","4","0","11","6.8","-18",NA,13.2
"27","26","20","2018-12-12","37-075","DET","@","CHO","L (-1)","0","20:37","2","9",".222","0","4",".000","0","0","","0","4","4","5","0","0","0","1","4","2.8","-1",NA,15.05
"28","27","21","2018-12-15","37-078","DET","","BOS","W (+9)","0","24:01","2","3",".667","0","1",".000","1","2",".500","0","2","2","8","3","0","2","6","5","8.1","+9",NA,24.4
"29","28","22","2018-12-17","37-080","DET","","MIL","L (-3)","0","24:12","2","4",".500","0","1",".000","0","0","","3","0","3","5","0","0","2","3","4","4.4","+8",NA,11.85
"30","29","23","2018-12-19","37-082","DET","@","MIN","W (+6)","0","19:29","1","4",".250","0","3",".000","0","0","","0","3","3","7","0","0","1","4","2","2.8","-5",NA,13.35
"31","30","24","2018-12-21","37-084","DET","@","CHO","L (-12)","0","20:15","2","5",".400","2","3",".667","0","0","","1","1","2","3","0","0","0","1","6","6.0","+2",NA,12.15
"32","31","25","2018-12-23","37-086","DET","","ATL","L (-3)","0","17:05","1","3",".333","0","1",".000","0","0","","0","2","2","3","0","0","2","0","2","1.0","-4",NA,6.15
"33","32","26","2018-12-26","37-089","DET","","WAS","W (+11)","0","18:23","0","3",".000","0","2",".000","0","0","","0","1","1","3","0","0","1","1","0","-1.1","-9",NA,3.95
"34","33","27","2018-12-28","37-091","DET","@","IND","L (-37)","0","22:46","1","2",".500","0","0","","0","0","","0","2","2","7","0","1","1","2","2","5.4","-26",NA,15.15
"35","34","28","2018-12-30","37-093","DET","@","ORL","L (-2)","0","19:42","2","3",".667","0","1",".000","0","0","","0","5","5","3","0","0","1","0","4","5.3","+5",NA,12.75
"36","35","29","2019-01-01","37-095","DET","@","MIL","L (-23)","0","16:10","0","5",".000","0","4",".000","0","0","","0","2","2","1","0","0","1","2","0","-4.0","-10",NA,2.65
"37","36","30","2019-01-02","37-096","DET","@","MEM","W (+7)","0","16:32","1","1","1.000","1","1","1.000","0","0","","0","0","0","1","0","0","1","2","3","1.6","-4",NA,3.25
"38","37","31","2019-01-05","37-099","DET","","UTA","L (-5)","0","22:32","3","6",".500","1","1","1.000","0","0","","0","1","1","1","0","0","2","3","7","1.8","-8",NA,7.45
"39","38","32","2019-01-07","37-101","DET","","SAS","L (-12)","0","23:08","1","2",".500","1","2",".500","0","0","","1","3","4","3","0","0","0","2","3","4.9","-18",NA,11.55
"40","39","33","2019-01-09","37-103","DET","@","LAL","L (-13)","0","12:36","1","3",".333","0","1",".000","0","0","","0","0","0","1","0","0","0","1","2","0.6","-2",NA,3.25
"41","40","34","2019-01-10","37-104","DET","@","SAC","L (-10)","0","20:20","1","3",".333","0","0","","0","0","","1","2","3","6","2","0","3","1","2","4.4","+1",NA,16.1
"43","41","35","2019-01-12","37-106","DET","@","LAC","W (+5)","0","7:54","2","2","1.000","1","1","1.000","0","0","","0","0","0","1","0","0","2","3","5","1.9","-5",NA,4.25
"46","44","36","2019-01-18","37-112","DET","","MIA","W (+5)","0","11:32","0","1",".000","0","0","","0","0","","0","1","1","3","2","0","1","0","0","2.7","-4",NA,9.95
"47","45","37","2019-01-19","37-113","DET","","SAC","L (-2)","0","17:13","1","3",".333","1","3",".333","2","2","1.000","0","2","2","4","0","0","0","0","5","6.7","+7",NA,12.4
"48","46","38","2019-01-21","37-115","DET","@","WAS","L (-14)","0","13:33","2","2","1.000","1","1","1.000","2","2","1.000","0","0","0","4","0","0","2","3","7","6.0","-7",NA,10
"49","47","39","2019-01-23","37-117","DET","@","NOP","W (+4)","0","17:59","1","2",".500","1","2",".500","0","0","","0","1","1","6","0","0","2","1","3","4.1","-3",NA,9.7
"50","48","40","2019-01-25","37-119","DET","@","DAL","L (-5)","0","12:02","0","2",".000","0","1",".000","0","0","","0","0","0","2","0","0","0","2","0","-0.8","-13",NA,2.5
"51","49","41","2019-01-29","37-123","DET","","MIL","L (-10)","0","3:25","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-6",NA,0
"52","50","42","2019-01-31","37-125","DET","","DAL","W (+4)","0","12:09","1","1","1.000","1","1","1.000","0","0","","0","1","1","1","0","0","1","2","3","1.9","-16",NA,4.45
"54","52","43","2019-02-04","37-129","DET","","DEN","W (+26)","0","5:32","0","0","","0","0","","0","0","","0","0","0","1","0","0","0","0","0","0.7","-3",NA,1.25
"55","53","44","2019-02-05","37-130","DET","@","NYK","W (+13)","0","14:37","3","3","1.000","0","0","","0","0","","0","0","0","1","0","0","0","2","6","5.0","-7",NA,7.25
