"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA.","FPTS"
"1","1","1","2018-10-17","23-319","NOP","@","HOU","W (+19)","0","1:35","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-2",NA,0
"5","5","2","2018-10-27","23-329","NOP","","UTA","L (-21)","0","12:59","0","2",".000","0","1",".000","0","0","","0","2","2","0","0","0","0","3","0","-2.0","+14",NA,2.4
"8","8","3","2018-11-01","23-334","NOP","@","POR","L (-13)","0","3:22","2","2","1.000","1","1","1.000","0","0","","0","1","1","0","0","0","0","0","5","4.7","+4",NA,6.2
"11","11","4","2018-11-07","23-340","NOP","","CHI","W (+9)","0","4:22","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","1","0","-0.4","0",NA,0
"12","12","5","2018-11-10","23-343","NOP","","PHO","W (+20)","0","4:55","0","1",".000","0","0","","0","0","","0","2","2","0","0","0","1","3","0","-2.3","-2",NA,1.4
"23","22","6","2018-11-28","23-361","NOP","","WAS","W (+21)","0","1:38","0","1",".000","0","0","","0","0","","0","0","0","0","0","0","0","0","0","-0.7","-1",NA,0
"30","29","7","2018-12-10","24-008","NOP","@","BOS","L (-13)","0","3:16","1","2",".500","0","1",".000","0","0","","0","0","0","0","0","0","0","0","2","1.0","+2",NA,2
"33","32","8","2018-12-19","24-017","NOP","@","MIL","L (-8)","0","6:33","1","3",".333","0","0","","0","0","","2","0","2","0","0","0","0","0","2","1.7","-6",NA,4.4
"34","33","9","2018-12-21","24-019","NOP","@","LAL","L (-8)","0","10:48","1","3",".333","0","0","","0","0","","0","3","3","0","1","0","1","2","2","0.4","+2",NA,7.6
"38","37","10","2018-12-29","24-027","NOP","","HOU","L (-4)","0","1:03","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","2","0","-0.8","-2",NA,0
"43","41","11","2019-01-07","24-036","NOP","","MEM","W (+19)","0","8:49","0","2",".000","0","1",".000","0","0","","0","0","0","2","0","0","0","2","0","-0.8","-3",NA,2.5
"44","42","12","2019-01-09","24-038","NOP","","CLE","W (+16)","0","6:58","1","2",".500","0","1",".000","2","2","1.000","1","0","1","0","0","0","1","0","4","2.7","-14",NA,4.2
"51","49","13","2019-01-24","24-053","NOP","@","OKC","L (-6)","0","18:24","1","4",".250","0","1",".000","0","0","","1","3","4","1","0","0","0","2","2","1.1","+9",NA,8.05
"52","50","14","2019-01-26","24-055","NOP","","SAS","L (-12)","0","6:00","1","1","1.000","0","0","","0","0","","0","0","0","0","0","0","1","0","2","0.7","+9",NA,1
"53","51","15","2019-01-29","24-058","NOP","@","HOU","W (+5)","0","29:44","4","7",".571","0","1",".000","0","2",".000","5","11","16","1","0","1","1","1","8","10.7","+2",NA,30.45
"54","52","16","2019-01-30","24-059","NOP","","DEN","L (-6)","0","37:33","8","14",".571","5","9",".556","0","0","","0","8","8","3","0","2","2","3","21","17.1","-1",NA,38.35
"55","53","17","2019-02-02","24-062","NOP","@","SAS","L (-5)","0","30:26","5","7",".714","2","4",".500","0","0","","0","8","8","3","0","0","1","4","12","11.0","+7",NA,24.35
"56","54","18","2019-02-04","24-064","NOP","","IND","L (-2)","1","34:31","3","13",".231","2","8",".250","0","0","","2","6","8","5","2","1","1","3","8","7.3","-4",NA,31.85
"57","55","19","2019-02-06","24-066","NOP","@","CHI","W (+5)","1","35:33","4","9",".444","2","5",".400","2","4",".500","1","6","7","2","0","2","0","2","12","11.0","-3",NA,28.9
"58","56","20","2019-02-08","24-068","NOP","","MIN","W (+5)","1","36:58","6","10",".600","4","7",".571","3","3","1.000","0","6","6","2","0","1","1","1","19","16.9","+7",NA,30.7
