"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA.","FPTS"
"40","39","1","2019-01-03","20-020","SAS","","TOR","W (+18)","0","4:43","1","2",".500","1","1","1.000","0","0","","0","1","1","0","0","0","0","0","3","2.3","-8",NA,4.2
"52","50","2","2019-01-26","20-043","SAS","@","NOP","W (+12)","0","15:14","3","6",".500","1","2",".500","0","0","","0","5","5","1","1","0","1","2","7","5.4","+6",NA,16.25
"53","51","3","2019-01-27","20-044","SAS","","WAS","W (+13)","0","4:50","0","2",".000","0","1",".000","0","0","","0","0","0","0","0","1","0","1","0","-1.1","-6",NA,3
"54","52","4","2019-01-29","20-046","SAS","","PHO","W (+2)","0","4:04","0","1",".000","0","0","","0","0","","0","1","1","0","0","0","0","0","0","-0.4","+3",NA,1.2
"57","55","5","2019-02-04","20-052","SAS","@","SAC","L (-15)","0","1:57","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-1",NA,0
"58","56","6","2019-02-06","20-054","SAS","@","GSW","L (-39)","0","25:52","0","10",".000","0","2",".000","4","4","1.000","0","3","3","1","2","0","3","0","4","-2.4","-27",NA,11.85
"67","64","7","2019-03-02","20-078","SAS","","OKC","W (+14)","0","2:23","0","1",".000","0","0","","0","0","","0","1","1","0","0","0","0","0","0","-0.4","-3",NA,1.2
"72","69","8","2019-03-15","20-091","SAS","","NYK","W (+26)","0","5:18","1","2",".500","0","0","","0","0","","0","0","0","1","1","0","0","1","2","2.3","+5",NA,6.25
"76","73","9","2019-03-22","20-098","SAS","@","HOU","L (-6)","0","6:44","1","3",".333","0","0","","2","2","1.000","0","1","1","1","1","1","0","1","4","4.6","+7",NA,12.45
"77","74","10","2019-03-24","20-100","SAS","@","BOS","W (+19)","0","2:21","1","1","1.000","0","0","","0","0","","0","0","0","0","1","0","0","0","2","2.7","-6",NA,5
"78","75","11","2019-03-26","20-102","SAS","@","CHO","L (-9)","0","0:28","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","0",NA,0
"79","76","12","2019-03-28","20-104","SAS","","CLE","W (+6)","0","2:42","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-1",NA,0
"81","78","13","2019-04-02","20-109","SAS","","ATL","W (+6)","0","4:46","0","1",".000","0","0","","0","0","","0","0","0","1","0","0","0","2","0","-0.8","-1",NA,1.25
"82","79","14","2019-04-03","20-110","SAS","@","DEN","L (-28)","0","15:41","6","11",".545","3","5",".600","1","2",".500","0","2","2","0","0","0","0","0","16","10.9","-9",NA,18.4
"83","80","15","2019-04-05","20-112","SAS","@","WAS","W (+17)","0","4:42","0","2",".000","0","2",".000","0","0","","0","1","1","2","0","0","0","0","0","0.3","-6",NA,3.7
"85","81","16","2019-04-07","20-114","SAS","@","CLE","W (+22)","0","12:10","3","3","1.000","0","0","","1","2",".500","0","1","1","2","1","1","0","0","7","9.1","-2",NA,16.7
"86","82","17","2019-04-10","20-117","SAS","","DAL","W (+11)","0","3:52","0","1",".000","0","0","","0","0","","0","1","1","0","0","0","0","0","0","-0.4","-5",NA,1.2
