"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA.","FPTS"
"5","5","1","2019-02-26","25-357","TOR","","BOS","W (+23)","0","4:39","1","3",".333","1","2",".500","0","0","","0","1","1","0","0","0","0","0","3","1.6","0",NA,4.2
"9","9","2","2019-03-08","26-002","TOR","@","NOP","W (+23)","0","3:34","2","4",".500","2","3",".667","0","0","","0","0","0","0","0","0","0","0","6","4.0","+6",NA,6
"10","10","3","2019-03-10","26-004","TOR","@","MIA","W (+21)","0","3:43","1","2",".500","1","2",".500","0","0","","0","0","0","1","0","0","0","0","3","2.7","-1",NA,4.25
"11","11","4","2019-03-11","26-005","TOR","@","CLE","L (-25)","0","3:48","1","1","1.000","1","1","1.000","0","0","","0","0","0","0","0","0","0","0","3","2.7","-6",NA,3
"12","12","5","2019-03-14","26-008","TOR","","LAL","W (+13)","0","12:24","2","5",".400","2","5",".400","0","0","","0","0","0","0","1","0","0","2","6","3.5","-4",NA,9
"14","14","6","2019-03-18","26-012","TOR","","NYK","W (+36)","0","8:03","2","3",".667","2","3",".667","0","0","","0","1","1","0","0","0","0","0","6","5.0","+6",NA,7.2
"19","19","7","2019-03-28","26-022","TOR","@","NYK","W (+25)","0","7:09","1","3",".333","1","3",".333","2","2","1.000","0","0","0","0","0","1","1","0","5","3.0","-4",NA,7
"20","20","8","2019-03-30","26-024","TOR","@","CHI","W (+23)","0","10:54","0","2",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","1","0","-1.8","+8",NA,0
"22","21","9","2019-04-01","26-026","TOR","","ORL","W (+12)","0","4:07","0","1",".000","0","1",".000","0","0","","0","2","2","0","0","0","0","1","0","-0.5","-7",NA,2.4
"26","25","10","2019-04-09","26-034","TOR","@","MIN","W (+20)","0","8:45","1","2",".500","0","0","","1","2",".500","1","0","1","0","0","0","0","1","3","1.9","-6",NA,4.2
