"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA.","FPTS"
"10","10","1","2018-11-05","25-094","UTA","","TOR","L (-13)","0","3:40","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","1","0","-1.1","+11",NA,0
"38","37","2","2018-12-29","25-148","UTA","","NYK","W (+32)","0","8:36","1","2",".500","1","2",".500","0","0","","0","0","0","1","0","0","2","2","3","-0.1","-10",NA,2.25
"43","41","3","2019-01-07","25-157","UTA","@","MIL","L (-12)","0","0:42","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","0",NA,0
"45","43","4","2019-01-11","25-161","UTA","","LAL","W (+18)","0","3:01","1","1","1.000","0","0","","0","0","","0","0","0","0","0","0","1","0","2","0.7","-4",NA,1
"48","46","5","2019-01-16","25-166","UTA","@","LAC","W (+20)","0","2:30","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","0","0","-0.7","-3",NA,0
"49","47","6","2019-01-18","25-168","UTA","","CLE","W (+16)","0","8:17","0","0","","0","0","","0","0","","0","0","0","2","0","0","0","0","0","1.4","-11",NA,2.5
"53","51","7","2019-01-27","25-177","UTA","@","MIN","W (+14)","0","0:45","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","0",NA,0
"54","52","8","2019-01-30","25-180","UTA","@","POR","L (-27)","0","6:40","0","1",".000","0","1",".000","0","0","","0","1","1","0","0","0","0","0","0","-0.4","-1",NA,1.2
"55","53","9","2019-02-01","25-182","UTA","","ATL","W (+16)","0","1:35","0","1",".000","0","0","","0","0","","0","1","1","0","0","0","0","0","0","-0.4","-1",NA,1.2
"56","54","10","2019-02-02","25-183","UTA","","HOU","L (-27)","0","3:19","0","1",".000","0","1",".000","0","0","","0","0","0","1","0","0","0","2","0","-0.8","-10",NA,1.25
"76","73","11","2019-03-23","25-232","UTA","@","CHI","W (+31)","0","5:45","1","3",".333","0","1",".000","0","0","","0","0","0","1","0","0","0","0","2","1.0","+1",NA,3.25
"82","79","12","2019-04-05","25-245","UTA","","SAC","W (+21)","0","3:50","0","0","","0","0","","0","0","","0","0","0","1","0","0","1","0","0","-0.3","-1",NA,0.25
"85","81","13","2019-04-09","25-249","UTA","","DEN","W (+10)","0","1:31","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-6",NA,0
"86","82","14","2019-04-10","25-250","UTA","@","LAC","L (-6)","0","33:43","3","9",".333","1","4",".250","2","2","1.000","1","3","4","9","1","1","4","5","9","7.5","-3",NA,27.05
