"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA.","FPTS"
"1","1","1","2019-01-02","23-069","CLE","","MIA","L (-25)","0","18:01","1","2",".500","0","1",".000","0","0","","0","0","0","1","1","0","0","0","2","2.7","-8",NA,6.25
"2","2","2","2019-01-04","23-071","CLE","","UTA","L (-26)","0","17:57","1","5",".200","1","1","1.000","0","0","","0","2","2","1","0","0","3","0","3","-1.8","-3",NA,3.65
"3","3","3","2019-01-05","23-072","CLE","","NOP","L (-35)","0","16:54","0","2",".000","0","2",".000","0","0","","0","1","1","0","1","0","0","1","0","-0.5","-10",NA,4.2
"7","7","4","2019-01-17","23-084","TOR","","PHO","W (+2)","0","5:50","0","1",".000","0","1",".000","0","0","","0","1","1","0","0","0","1","2","0","-2.2","-10",NA,0.2
"8","8","5","2019-01-19","23-086","TOR","","MEM","W (+29)","0","17:56","1","2",".500","0","0","","0","0","","0","2","2","2","1","0","3","0","2","1.0","-7",NA,6.9
"9","9","6","2019-01-22","23-089","TOR","","SAC","W (+15)","0","7:23","0","2",".000","0","1",".000","0","0","","1","2","3","1","1","0","1","1","0","0.2","-2",NA,6.85
"10","10","7","2019-01-23","23-090","TOR","@","IND","L (-4)","0","12:24","0","1",".000","0","1",".000","0","0","","2","3","5","2","1","0","0","2","0","3.2","+9",NA,11.5
"11","11","8","2019-01-25","23-092","TOR","@","HOU","L (-2)","0","0:39","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","1","0","-0.4","0",NA,0
"13","13","9","2019-01-31","23-098","TOR","","MIL","L (-13)","0","4:04","0","1",".000","0","1",".000","2","2","1.000","0","1","1","0","0","0","0","1","2","1.2","-2",NA,3.2
"14","14","10","2019-02-03","23-101","TOR","","LAC","W (+18)","0","11:57","0","0","","0","0","","0","0","","0","1","1","2","0","0","2","2","0","-1.1","-1",NA,1.7
"16","16","11","2019-02-07","23-105","TOR","@","ATL","W (+18)","0","19:05","0","2",".000","0","1",".000","0","0","","1","3","4","1","2","0","0","4","0","1.3","+18",NA,12.05
"17","17","12","2019-02-09","23-107","TOR","@","NYK","W (+5)","0","12:39","1","1","1.000","0","0","","2","2","1.000","1","1","2","0","1","1","0","2","4","5.6","-3",NA,12.4
"18","18","13","2019-02-11","23-109","TOR","","BRK","W (+2)","0","20:18","5","9",".556","1","4",".250","2","2","1.000","1","2","3","1","2","0","0","0","13","12.7","0",NA,23.85
"20","20","14","2019-02-22","23-120","TOR","","SAS","W (+3)","0","11:13","0","1",".000","0","1",".000","0","0","","0","2","2","1","0","0","0","1","0","0.2","+3",NA,3.65
"22","21","15","2019-02-24","23-122","TOR","","ORL","L (-15)","0","15:10","3","5",".600","1","1","1.000","1","1","1.000","0","2","2","1","1","0","0","1","8","7.6","-14",NA,14.65
"23","22","16","2019-02-26","23-124","TOR","","BOS","W (+23)","0","12:31","2","7",".286","0","2",".000","2","2","1.000","0","2","2","1","1","0","0","5","6","2.2","+3",NA,12.65
"24","23","17","2019-03-01","23-127","TOR","","POR","W (+2)","0","11:13","0","0","","0","0","","0","0","","1","0","1","0","3","0","1","0","0","2.7","-12",NA,9.2
"25","24","18","2019-03-03","23-129","TOR","@","DET","L (-5)","0","12:19","1","2",".500","0","1",".000","0","0","","0","1","1","1","1","0","0","2","2","2.2","-6",NA,7.45
"26","25","19","2019-03-05","23-131","TOR","","HOU","L (-12)","0","9:58","1","1","1.000","1","1","1.000","0","0","","0","0","0","1","0","0","0","0","3","3.4","-15",NA,4.25
"27","26","20","2019-03-08","23-134","TOR","@","NOP","W (+23)","0","6:41","0","1",".000","0","1",".000","0","0","","0","2","2","3","0","0","0","1","0","1.6","+11",NA,6.15
"28","27","21","2019-03-10","23-136","TOR","@","MIA","W (+21)","1","26:02","3","4",".750","3","3","1.000","1","2",".500","0","3","3","2","0","0","1","1","10","8.9","+22",NA,15.1
"29","28","22","2019-03-11","23-137","TOR","@","CLE","L (-25)","0","18:53","1","2",".500","0","1",".000","0","0","","0","1","1","2","2","0","0","1","2","4.3","-5",NA,11.7
"30","29","23","2019-03-14","23-140","TOR","","LAL","W (+13)","0","26:34","1","3",".333","1","1","1.000","3","4",".750","0","1","1","2","1","1","2","3","6","4.1","+2",NA,13.7
"31","30","24","2019-03-17","23-143","TOR","@","DET","L (-3)","0","9:32","0","0","","0","0","","0","0","","0","1","1","0","0","0","0","0","0","0.3","-4",NA,1.2
"32","31","25","2019-03-18","23-144","TOR","","NYK","W (+36)","0","20:03","1","1","1.000","0","0","","0","0","","0","2","2","1","1","0","1","1","2","2.6","+1",NA,7.65
"33","32","26","2019-03-20","23-146","TOR","@","OKC","W (+9)","0","4:42","0","0","","0","0","","0","0","","0","1","1","0","0","0","0","1","0","-0.1","-1",NA,1.2
"35","34","27","2019-03-24","23-150","TOR","","CHO","L (-1)","0","10:55","1","2",".500","0","1",".000","0","0","","0","0","0","0","0","0","0","1","2","0.6","-17",NA,2
"36","35","28","2019-03-26","23-152","TOR","","CHI","W (+9)","0","17:27","2","3",".667","0","0","","0","0","","0","1","1","1","3","0","2","3","4","3.5","-4",NA,13.45
"37","36","29","2019-03-28","23-154","TOR","@","NYK","W (+25)","0","18:53","1","3",".333","1","2",".500","0","0","","0","3","3","2","0","0","0","1","3","3.2","-3",NA,9.1
