"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA.","FPTS"
"12","12","1","2018-11-10","23-360","LAC","","MIL","W (+2)","0","3:48","0","1",".000","0","1",".000","0","0","","0","1","1","0","0","0","1","1","0","-1.8","+2",NA,0.2
"13","13","2","2018-11-12","23-362","LAC","","GSW","W (+5)","0","10:06","0","0","","0","0","","0","0","","0","2","2","0","0","0","1","5","0","-2.4","+2",NA,1.4
"14","14","3","2018-11-15","24-000","LAC","","SAS","W (+5)","0","12:21","0","0","","0","0","","2","2","1.000","0","4","4","2","0","1","0","2","2","4.5","+10",NA,12.3
"15","15","4","2018-11-17","24-002","LAC","@","BRK","W (+8)","0","10:58","1","2",".500","0","0","","0","0","","0","1","1","0","0","0","0","3","2","0.1","-3",NA,3.2
"16","16","5","2018-11-19","24-004","LAC","@","ATL","W (+8)","0","5:51","0","1",".000","0","1",".000","0","0","","0","1","1","1","0","0","0","1","0","-0.1","-5",NA,2.45
"17","17","6","2018-11-20","24-005","LAC","@","WAS","L (-7)","0","0:32","0","0","","0","0","","2","2","1.000","0","0","0","0","0","0","0","0","2","2.0","-2",NA,2
"20","20","7","2018-11-28","24-013","LAC","","PHO","W (+16)","0","12:07","1","1","1.000","0","0","","0","0","","0","2","2","1","0","0","2","2","2","0.2","-4",NA,3.65
"22","21","8","2018-11-29","24-014","LAC","@","SAC","W (+12)","0","8:39","1","2",".500","0","0","","0","0","","0","0","0","1","1","0","1","1","2","1.3","-2",NA,5.25
"23","22","9","2018-12-02","24-017","LAC","@","DAL","L (-4)","0","5:22","0","0","","0","0","","0","0","","0","2","2","0","0","1","0","1","0","0.9","+4",NA,5.4
"24","23","10","2018-12-03","24-018","LAC","@","NOP","W (+3)","0","0:03","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","0",NA,0
"26","25","11","2018-12-08","24-023","LAC","","MIA","L (-23)","0","1:12","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-3",NA,0
"27","26","12","2018-12-10","24-025","LAC","@","PHO","W (+4)","0","0:07","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-2",NA,0
"28","27","13","2018-12-11","24-026","LAC","","TOR","L (-24)","0","12:48","2","4",".500","1","3",".333","0","0","","0","2","2","1","0","0","0","0","5","4.3","+5",NA,8.65
"29","28","14","2018-12-13","24-028","LAC","@","SAS","L (-38)","0","12:48","1","5",".200","0","2",".000","0","0","","0","3","3","1","0","0","2","3","2","-2.7","-19",NA,4.85
"30","29","15","2018-12-15","24-030","LAC","@","OKC","L (-6)","0","5:05","1","2",".500","0","0","","0","0","","0","0","0","1","0","0","0","0","2","1.7","-2",NA,3.25
"31","30","16","2018-12-17","24-032","LAC","","POR","L (-4)","0","0:03","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-2",NA,0
"33","32","17","2018-12-22","24-037","LAC","","DEN","W (+21)","0","7:23","1","1","1.000","0","0","","0","0","","1","2","3","1","0","0","1","1","2","2.3","-1",NA,5.85
"34","33","18","2018-12-23","24-038","LAC","@","GSW","L (-2)","0","0:31","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","+1",NA,0
"35","34","19","2018-12-26","24-041","LAC","","SAC","W (+9)","0","2:44","0","1",".000","0","0","","0","0","","0","0","0","0","0","0","2","0","0","-2.7","-15",NA,-2
"36","35","20","2018-12-28","24-043","LAC","@","LAL","W (+11)","0","8:58","2","3",".667","0","0","","3","3","1.000","0","2","2","0","1","0","0","3","7","6.1","+16",NA,12.4
"37","36","21","2018-12-29","24-044","LAC","","SAS","L (-11)","0","1:59","0","0","","0","0","","1","2",".500","0","0","0","0","0","0","0","0","1","0.6","+1",NA,1
"38","37","22","2019-01-01","24-047","LAC","","PHI","L (-6)","0","4:32","0","0","","0","0","","0","0","","0","0","0","0","1","0","0","1","0","0.6","-8",NA,3
"39","38","23","2019-01-04","24-050","LAC","@","PHO","W (+10)","0","1:53","0","0","","0","0","","0","0","","0","0","0","0","0","0","1","0","0","-1.0","-11",NA,-1
"40","39","24","2019-01-06","24-052","LAC","","ORL","W (+10)","0","1:55","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-5",NA,0
"41","40","25","2019-01-08","24-054","LAC","","CHO","W (+19)","0","2:34","1","3",".333","0","1",".000","0","0","","1","0","1","0","0","0","0","0","2","1.0","-2",NA,3.2
"43","41","26","2019-01-10","24-056","LAC","@","DEN","L (-21)","0","4:45","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-2",NA,0
"44","42","27","2019-01-12","24-058","LAC","","DET","L (-5)","0","0:13","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-2",NA,0
"46","44","28","2019-01-16","24-062","LAC","","UTA","L (-20)","0","5:48","0","0","","0","0","","2","2","1.000","0","1","1","1","0","0","1","1","2","1.6","+6",NA,3.45
"47","45","29","2019-01-18","24-064","LAC","","GSW","L (-18)","0","4:32","0","0","","0","0","","1","2",".500","0","1","1","0","0","0","0","0","1","0.9","+3",NA,2.2
"48","46","30","2019-01-20","24-066","LAC","@","SAS","W (+8)","0","9:53","1","2",".500","1","1","1.000","1","2",".500","0","0","0","0","0","0","0","2","4","1.8","+13",NA,4
"49","47","31","2019-01-22","24-068","LAC","@","DAL","L (-8)","0","7:23","1","1","1.000","0","0","","1","4",".250","0","1","1","0","0","0","0","1","3","1.4","-11",NA,4.2
"50","48","32","2019-01-23","24-069","LAC","@","MIA","W (+12)","0","6:34","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","+7",NA,0
"51","49","33","2019-01-25","24-071","LAC","@","CHI","W (+5)","0","0:08","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","0",NA,0
"53","51","34","2019-01-28","24-074","LAC","","ATL","L (-5)","0","3:43","0","1",".000","0","0","","0","0","","0","0","0","0","0","0","0","0","0","-0.7","-2",NA,0
"54","52","35","2019-01-31","24-077","LAC","","LAL","L (-3)","0","3:51","0","2",".000","0","1",".000","0","0","","0","0","0","0","1","0","1","1","0","-1.8","+1",NA,2
"56","54","36","2019-02-03","24-080","LAC","@","TOR","L (-18)","0","7:46","0","1",".000","0","1",".000","2","2","1.000","0","2","2","0","1","0","1","0","2","1.9","+2",NA,6.4
"57","55","37","2019-02-05","24-082","LAC","@","CHO","W (+2)","0","13:34","0","1",".000","0","0","","0","0","","0","2","2","2","1","1","0","2","0","2.2","+13",NA,10.9
"58","56","38","2019-02-07","24-084","LAC","@","IND","L (-24)","1","29:19","2","6",".333","0","2",".000","1","2",".500","1","2","3","2","5","0","2","1","5","6.5","-7",NA,24.1
"59","57","39","2019-02-09","24-086","LAC","@","BOS","W (+11)","0","0:32","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-5",NA,0
"60","58","40","2019-02-11","24-088","LAC","@","MIN","L (-10)","0","0:04","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","0",NA,0
"61","59","41","2019-02-13","24-090","LAC","","PHO","W (+27)","0","12:24","0","1",".000","0","0","","0","0","","1","1","2","0","0","0","2","4","0","-3.3","+5",NA,0.4
"62","60","42","2019-02-22","24-099","LAC","@","MEM","W (+6)","0","0:56","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-5",NA,0
"64","61","43","2019-02-24","24-101","LAC","@","DEN","L (-27)","0","4:52","0","2",".000","0","0","","0","0","","0","0","0","0","0","0","0","0","0","-1.4","-5",NA,0
"65","62","44","2019-02-25","24-102","LAC","","DAL","W (+9)","0","0:39","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-2",NA,0
"66","63","45","2019-02-27","24-104","LAC","@","UTA","L (-6)","0","1:06","0","0","","0","0","","0","0","","0","0","0","0","1","0","0","0","0","1.0","+2",NA,3
