"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA."
"1","1","1","2018-10-17","22-017","IND","","MEM","W (+28)","0","3:58","1","2",".500","1","2",".500","0","0","","0","0","0","0","0","0","1","1","3","0.6","-1",NA
"2","2","2","2018-10-19","22-019","IND","@","MIL","L (-17)","0","4:14","0","2",".000","0","1",".000","0","0","","0","1","1","1","0","0","0","0","0","-0.4","+7",NA
"3","3","3","2018-10-20","22-020","IND","","BRK","W (+20)","0","3:16","0","1",".000","0","1",".000","0","0","","0","0","0","1","0","0","0","0","0","0.0","-6",NA
"4","4","","2018-10-22","22-022","IND","@","MIN","L (-10)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"5","5","4","2018-10-24","22-024","IND","@","SAS","W (+20)","0","2:51","0","0","","0","0","","0","0","","0","0","0","0","0","0","2","1","0","-2.4","-9",NA
"6","6","5","2018-10-27","22-027","IND","@","CLE","W (+12)","0","1:47","1","1","1.000","0","0","","0","0","","0","0","0","0","0","0","0","0","2","1.7","-4",NA
"7","7","","2018-10-29","22-029","IND","","POR","L (-10)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"8","8","","2018-10-31","22-031","IND","@","NYK","W (+6)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"9","9","","2018-11-02","22-033","IND","@","CHI","W (+2)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"10","10","","2018-11-03","22-034","IND","","BOS","W (+1)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
