"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA."
"1","1","1","2018-10-17","27-089","UTA","@","SAC","W (+6)","0","17:59","4","7",".571","3","3","1.000","2","2","1.000","0","3","3","4","1","0","1","1","13","13.0","+25",NA
"2","2","2","2018-10-19","27-091","UTA","","GSW","L (-1)","0","11:43","1","7",".143","0","3",".000","3","3","1.000","0","0","0","0","0","0","0","0","5","0.5","-2",NA
"3","3","3","2018-10-22","27-094","UTA","","MEM","L (-8)","0","5:54","0","1",".000","0","0","","0","0","","0","0","0","0","0","0","0","0","0","-0.7","-4",NA
"4","4","4","2018-10-24","27-096","UTA","@","HOU","W (+11)","0","4:40","1","2",".500","0","0","","3","4",".750","0","2","2","0","0","0","0","1","5","3.8","+1",NA
"5","5","5","2018-10-27","27-099","UTA","@","NOP","W (+21)","0","14:51","2","4",".500","1","2",".500","2","2","1.000","0","2","2","1","1","1","1","1","7","6.6","-1",NA
"6","6","","2018-10-28","27-100","UTA","@","DAL","W (+9)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"7","7","","2018-10-31","27-103","UTA","@","MIN","L (-3)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"8","8","","2018-11-02","27-105","UTA","","MEM","L (-10)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"9","9","","2018-11-03","27-106","UTA","@","DEN","L (-15)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"10","10","6","2018-11-05","27-108","UTA","","TOR","L (-13)","0","26:30","7","11",".636","2","3",".667","6","6","1.000","0","0","0","3","0","1","1","2","22","18.1","-13",NA
"11","11","7","2018-11-07","27-110","UTA","","DAL","W (+15)","0","15:02","6","10",".600","4","5",".800","2","2","1.000","0","0","0","0","0","1","0","2","18","13.3","+6",NA
"12","12","8","2018-11-09","27-112","UTA","","BOS","W (+8)","0","21:12","1","3",".333","1","3",".333","2","3",".667","0","0","0","1","0","0","1","1","5","2.2","0",NA
"13","13","9","2018-11-12","27-115","UTA","@","MEM","W (+8)","0","22:49","3","12",".250","1","4",".250","3","3","1.000","1","3","4","2","1","0","0","1","10","6.4","-1",NA
"14","14","10","2018-11-14","27-117","UTA","@","DAL","L (-50)","0","16:39","2","7",".286","0","1",".000","1","2",".500","0","2","2","2","0","0","2","1","5","0.1","-21",NA
"15","15","11","2018-11-16","27-119","UTA","@","PHI","L (-6)","0","11:26","1","2",".500","0","1",".000","2","3",".667","0","1","1","2","0","0","0","2","4","3.5","-1",NA
"16","16","12","2018-11-17","27-120","UTA","@","BOS","W (+12)","0","12:30","1","3",".333","0","2",".000","0","0","","0","0","0","0","1","0","2","3","2","-1.9","+14",NA
"17","17","13","2018-11-19","27-122","UTA","@","IND","L (-27)","0","11:25","2","5",".400","0","0","","0","0","","0","0","0","1","1","1","1","0","4","2.7","-5",NA
"18","18","14","2018-11-21","27-124","UTA","","SAC","L (-9)","0","16:34","3","6",".500","1","3",".333","0","0","","0","2","2","0","0","0","0","2","7","3.8","-2",NA
"19","19","15","2018-11-23","27-126","UTA","@","LAL","L (-7)","0","22:20","5","15",".333","1","3",".333","6","7",".857","1","4","5","0","1","0","2","3","17","7.8","+1",NA
"20","20","16","2018-11-25","27-128","UTA","@","SAC","W (+21)","0","21:29","6","12",".500","1","6",".167","1","1","1.000","0","4","4","3","0","0","3","1","14","7.9","+1",NA
"21","Rk","G","Date","Age","Tm","","Opp","","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-",NA
"22","21","17","2018-11-26","27-129","UTA","","IND","L (-33)","0","16:17","2","7",".286","1","4",".250","0","0","","0","2","2","1","0","0","1","1","5","0.8","-23",NA
"23","22","","2018-11-28","27-131","UTA","@","BRK","W (+10)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"24","23","18","2018-11-30","27-133","CLE","@","BOS","L (-33)","0","26:25","4","11",".364","0","4",".000","7","8",".875","1","5","6","4","2","0","0","0","15","15.5","-3",NA
"25","24","19","2018-12-01","27-134","CLE","","TOR","L (-11)","0","23:57","5","13",".385","1","3",".333","2","2","1.000","1","5","6","0","1","0","2","2","13","6.3","+7",NA
