"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA."
"1","1","1","2018-10-17","25-041","ATL","@","NYK","L (-19)","0","20:43","4","8",".500","1","3",".333","0","1",".000","1","1","2","0","1","0","3","4","9","2.0","-21",NA
"2","2","2","2018-10-19","25-043","ATL","@","MEM","L (-14)","0","21:29","3","4",".750","1","1","1.000","1","4",".250","4","3","7","2","1","1","0","6","8","9.6","-2",NA
"3","3","3","2018-10-21","25-045","ATL","@","CLE","W (+22)","0","23:48","1","3",".333","0","1",".000","1","2",".500","1","4","5","4","0","0","1","3","3","3.4","+6",NA
"4","4","4","2018-10-24","25-048","ATL","","DAL","W (+7)","0","6:24","0","0","","0","0","","1","2",".500","0","1","1","0","0","0","0","1","1","0.5","-11",NA
"5","5","","2018-10-27","25-051","ATL","","CHI","L (-12)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"6","6","","2018-10-29","25-053","ATL","@","PHI","L (-21)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"7","7","","2018-10-30","25-054","ATL","@","CLE","L (-22)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"8","8","5","2018-11-01","25-056","ATL","","SAC","L (-31)","0","16:56","3","6",".500","0","0","","3","4",".750","3","5","8","0","0","0","0","2","9","8.4","-6",NA
"9","9","6","2018-11-03","25-058","ATL","","MIA","W (+5)","0","9:45","2","3",".667","1","1","1.000","0","0","","1","2","3","1","0","0","0","2","5","4.9","-7",NA
"10","10","7","2018-11-06","25-061","ATL","@","CHO","L (-11)","0","17:23","3","5",".600","1","1","1.000","1","2",".500","2","3","5","0","0","2","1","0","8","8.0","-10",NA
"11","11","8","2018-11-07","25-062","ATL","","NYK","L (-5)","0","8:49","2","3",".667","0","0","","0","0","","1","0","1","0","0","0","2","3","4","0.2","-5",NA
"12","12","9","2018-11-09","25-064","ATL","","DET","L (-15)","0","10:55","1","3",".333","1","2",".500","0","0","","1","1","2","0","0","0","0","5","3","0.3","+6",NA
"13","13","10","2018-11-11","25-066","ATL","@","LAL","L (-1)","0","3:17","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","0","0","-0.7","-9",NA
"14","14","11","2018-11-13","25-068","ATL","@","GSW","L (-7)","0","20:36","2","5",".400","0","1",".000","0","0","","3","5","8","0","0","0","0","2","4","4.1","+4",NA
"15","15","12","2018-11-15","25-070","ATL","@","DEN","L (-45)","0","23:46","5","8",".625","0","3",".000","1","2",".500","3","1","4","4","1","0","1","2","11","11.4","-11",NA
"16","16","13","2018-11-17","25-072","ATL","@","IND","L (-8)","1","11:19","0","0","","0","0","","0","0","","0","3","3","0","0","2","0","1","0","1.9","+1",NA
"17","17","","2018-11-19","25-074","ATL","","LAC","L (-8)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"18","18","","2018-11-21","25-076","ATL","","TOR","L (-16)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"19","19","","2018-11-23","25-078","ATL","","BOS","L (-18)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"20","20","","2018-11-25","25-080","ATL","","CHO","W (+1)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"21","Rk","G","Date","Age","Tm","","Opp","","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-",NA
"22","21","","2018-11-27","25-082","ATL","@","MIA","W (+2)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"23","22","","2018-11-28","25-083","ATL","@","CHO","L (-14)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"24","23","","2018-11-30","25-085","ATL","@","OKC","L (-15)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"25","24","","2018-12-03","25-088","ATL","","GSW","L (-17)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"26","25","","2018-12-05","25-090","ATL","","WAS","L (-14)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"27","26","","2018-12-08","25-093","ATL","","DEN","W (+8)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"28","27","","2018-12-12","25-097","ATL","@","DAL","L (-7)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"29","28","","2018-12-14","25-099","ATL","@","BOS","L (-21)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"30","29","","2018-12-16","25-101","ATL","@","BRK","L (-17)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"31","30","","2018-12-18","25-103","ATL","","WAS","W (+8)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"32","31","","2018-12-21","25-106","ATL","@","NYK","W (+7)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"33","32","14","2018-12-23","25-108","ATL","@","DET","W (+3)","0","3:11","0","1",".000","0","0","","0","0","","1","0","1","0","0","1","0","0","0","0.7","-5",NA
"34","33","15","2018-12-26","25-111","ATL","","IND","L (-8)","0","2:11","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","2","0","-0.8","-4",NA
"35","34","16","2018-12-28","25-113","ATL","@","MIN","W (+3)","0","22:39","4","8",".500","1","2",".500","3","4",".750","1","4","5","1","0","2","2","4","12","8.0","-5",NA
"36","35","17","2018-12-29","25-114","ATL","","CLE","W (+3)","0","15:48","5","7",".714","1","2",".500","0","0","","2","1","3","1","0","0","0","1","11","10.1","+8",NA
"37","36","18","2018-12-31","25-116","ATL","@","IND","L (-8)","0","4:29","0","0","","0","0","","0","0","","0","1","1","0","0","0","0","1","0","-0.1","-9",NA
"38","37","","2019-01-02","25-118","ATL","@","WAS","L (-16)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"39","38","","2019-01-04","25-120","ATL","@","MIL","L (-32)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"40","39","","2019-01-06","25-122","ATL","","MIA","W (+24)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"41","40","","2019-01-08","25-124","ATL","@","TOR","L (-3)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
