"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA."
"1","1","","2018-10-17","23-354","MEM","@","IND","L (-28)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"2","2","","2018-10-19","23-356","MEM","","ATL","W (+14)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"3","3","","2018-10-22","23-359","MEM","@","UTA","W (+8)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"4","4","","2018-10-24","23-361","MEM","@","SAC","L (-5)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"5","5","1","2018-10-27","23-364","MEM","","PHO","W (+21)","0","4:31","1","2",".500","0","1",".000","0","0","","0","0","0","0","0","0","0","1","2","0.6","-4",NA
"6","6","","2018-10-30","24-002","MEM","","WAS","W (+12)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"7","7","2","2018-11-10","24-013","CLE","@","CHI","L (-1)","0","13:40","0","4",".000","0","1",".000","0","0","","0","3","3","0","0","0","3","0","0","-4.9","+6",NA
"8","8","3","2018-11-13","24-016","CLE","","CHO","W (+24)","0","12:48","0","3",".000","0","2",".000","2","2","1.000","0","2","2","2","0","0","1","3","2","-0.3","+2",NA
"9","9","4","2018-11-14","24-017","CLE","@","WAS","L (-24)","0","18:43","3","5",".600","1","2",".500","3","3","1.000","2","2","4","2","2","1","1","4","10","11.2","-11",NA
"10","10","5","2018-11-19","24-022","CLE","@","DET","L (-11)","0","17:11","1","6",".167","1","3",".333","4","4","1.000","1","2","3","0","1","1","0","2","7","5.4","+8",NA
