"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA."
"1","1","1","2018-10-17","27-325","LAC","","DEN","L (-9)","1","27:56","4","10",".400","0","2",".000","0","0","","2","0","2","0","1","2","2","2","8","3.6","-9",NA
"2","2","2","2018-10-19","27-327","LAC","","OKC","W (+16)","1","28:52","1","8",".125","1","5",".200","0","0","","1","1","2","2","1","0","1","3","3","-1.0","0",NA
"3","3","3","2018-10-21","27-329","LAC","","HOU","W (+3)","1","24:07","2","5",".400","0","1",".000","0","0","","0","1","1","3","1","0","0","3","4","3.5","-21",NA
"4","4","4","2018-10-23","27-331","LAC","@","NOP","L (-7)","1","28:30","1","8",".125","0","2",".000","0","0","","1","1","2","0","0","0","1","3","2","-4.4","-6",NA
"5","5","5","2018-10-26","27-334","LAC","@","HOU","W (+20)","1","24:57","6","10",".600","1","3",".333","1","1","1.000","0","3","3","0","1","0","2","3","14","8.1","+10",NA
"6","6","6","2018-10-28","27-336","LAC","","WAS","W (+32)","1","23:10","6","12",".500","3","6",".500","0","0","","1","0","1","5","0","1","2","4","15","10.3","+13",NA
"7","7","7","2018-10-30","27-338","LAC","@","OKC","L (-18)","1","30:09","4","10",".400","1","4",".250","0","0","","0","3","3","2","1","0","2","5","9","2.9","-11",NA
"8","8","8","2018-11-01","27-340","LAC","@","PHI","L (-9)","1","36:20","1","6",".167","0","1",".000","0","0","","1","1","2","1","1","0","2","1","2","-1.5","+4",NA
"9","9","9","2018-11-02","27-341","LAC","@","ORL","W (+25)","1","23:08","3","11",".273","1","3",".333","0","0","","1","0","1","1","0","0","2","1","7","-0.5","+8",NA
"10","10","","2018-11-05","27-344","LAC","","MIN","W (+11)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"11","11","","2018-11-08","27-347","LAC","@","POR","L (-11)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"12","12","","2018-11-10","27-349","LAC","","MIL","W (+2)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"13","13","","2018-11-12","27-351","LAC","","GSW","W (+5)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"14","14","","2018-11-15","27-354","LAC","","SAS","W (+5)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"15","15","","2018-11-17","27-356","LAC","@","BRK","W (+8)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"16","16","10","2018-11-19","27-358","LAC","@","ATL","W (+8)","1","19:30","2","7",".286","0","2",".000","1","1","1.000","0","0","0","0","1","0","0","4","5","0.3","-2",NA
"17","17","11","2018-11-20","27-359","LAC","@","WAS","L (-7)","1","31:54","2","3",".667","0","1",".000","0","0","","0","1","1","0","0","0","3","3","4","-1.2","-8",NA
"18","18","12","2018-11-23","27-362","LAC","","MEM","W (+5)","1","32:57","5","8",".625","0","1",".000","3","4",".750","0","2","2","3","1","1","0","3","13","12.2","+3",NA
"19","19","13","2018-11-25","27-364","LAC","@","POR","W (+4)","1","33:33","2","11",".182","0","4",".000","0","1",".000","0","4","4","2","3","1","0","2","4","2.2","+21",NA
"20","20","14","2018-11-28","28-002","LAC","","PHO","W (+16)","1","28:46","0","7",".000","0","2",".000","0","0","","0","2","2","0","0","2","1","3","0","-5.1","+26",NA
"21","Rk","G","Date","Age","Tm","","Opp","","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-",NA
"22","21","15","2018-11-29","28-003","LAC","@","SAC","W (+12)","1","31:40","6","10",".600","4","7",".571","0","0","","1","2","3","6","0","1","3","4","16","13.0","+26",NA
"23","22","16","2018-12-02","28-006","LAC","@","DAL","L (-4)","1","36:15","5","11",".455","2","3",".667","0","0","","0","3","3","3","2","0","1","3","12","9.1","-7",NA
"24","23","17","2018-12-03","28-007","LAC","@","NOP","W (+3)","1","29:17","7","12",".583","1","4",".250","0","0","","1","2","3","2","1","1","3","5","15","8.8","-9",NA
"25","24","18","2018-12-05","28-009","LAC","@","MEM","L (-10)","1","32:40","2","8",".250","1","3",".333","0","0","","0","5","5","1","1","0","1","2","5","1.6","-15",NA
"26","25","19","2018-12-08","28-012","LAC","","MIA","L (-23)","1","36:44","3","6",".500","1","3",".333","0","0","","0","4","4","1","0","1","1","3","7","4.4","-21",NA
"27","26","20","2018-12-10","28-014","LAC","@","PHO","W (+4)","1","37:26","3","8",".375","0","3",".000","2","2","1.000","1","0","1","2","0","0","2","1","8","3.3","+5",NA
"28","27","21","2018-12-11","28-015","LAC","","TOR","L (-24)","1","21:53","0","6",".000","0","3",".000","0","0","","0","0","0","1","0","0","0","1","0","-3.9","-28",NA
"29","28","22","2018-12-13","28-017","LAC","@","SAS","L (-38)","1","28:24","5","9",".556","3","4",".750","2","2","1.000","0","3","3","3","0","0","1","1","15","12.3","-16",NA
"30","29","23","2018-12-15","28-019","LAC","@","OKC","L (-6)","1","34:22","4","9",".444","2","6",".333","0","0","","2","5","7","4","1","1","6","3","10","5.5","+4",NA
"31","30","24","2018-12-17","28-021","LAC","","POR","L (-4)","1","30:02","0","4",".000","0","3",".000","0","0","","1","0","1","0","0","0","1","5","0","-5.1","-22",NA
"32","31","25","2018-12-20","28-024","LAC","","DAL","W (+4)","1","27:42","1","4",".250","0","2",".000","0","0","","0","1","1","2","0","0","0","5","2","-0.7","-4",NA
"33","32","26","2018-12-22","28-026","LAC","","DEN","W (+21)","1","22:03","4","6",".667","1","1","1.000","0","0","","0","1","1","3","1","1","1","3","9","8.3","+17",NA
