"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA."
"1",1,NA,"2019-03-01","23-070","ATL","","CHI","L (-7)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"2",2,1,"2019-03-03","23-072","ATL","@","CHI","W (+5)","0","18:54","4","4","1.000","3","3","1.000","0","0","","0","2","2","0","1","0","1","0","11","10.4","-2",NA
"3",3,2,"2019-03-04","23-073","ATL","@","MIA","L (-1)","0","13:38","3","7",".429","0","1",".000","0","0","","2","3","5","0","1","0","0","0","6","5.6","-1",NA
"4",4,3,"2019-03-06","23-075","ATL","","SAS","L (-7)","0","0:42","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","0",NA
"5",5,4,"2019-03-09","23-078","ATL","","BRK","L (-2)","0","5:39","0","2",".000","0","2",".000","0","0","","0","1","1","0","0","0","1","3","0","-3.3","-7",NA
"6",6,NA,"2019-03-10","23-079","ATL","","NOP","W (+12)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"7",7,5,"2019-03-13","23-082","ATL","","MEM","W (+21)","0","3:39","0","2",".000","0","0","","2","2","1.000","0","0","0","0","0","0","0","0","2","0.6","-6",NA
"8",8,NA,"2019-03-16","23-085","ATL","@","BOS","L (-9)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"9",9,NA,"2019-03-17","23-086","ATL","@","ORL","L (-10)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"10",10,6,"2019-03-19","23-088","ATL","","HOU","L (-16)","0","0:45","1","1","1.000","0","0","","0","0","","0","0","0","0","0","0","0","0","2","1.7","+2",NA
"11",11,NA,"2019-03-21","23-090","ATL","","UTA","W (+3)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"12",12,NA,"2019-04-02","23-102","SAC","","HOU","L (-25)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"13",13,NA,"2019-04-04","23-104","SAC","","CLE","W (+13)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"14",14,NA,"2019-04-05","23-105","SAC","@","UTA","L (-21)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"15",15,NA,"2019-04-07","23-107","SAC","","NOP","L (-4)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16",16,7,"2019-04-10","23-110","SAC","@","POR","L (-5)","0","6:03","1","2",".500","0","1",".000","0","0","","0","0","0","0","0","0","0","1","2","0.6","-2",NA
