"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA."
"1","1","","2018-10-17","26-050","CHO","","MIL","L (-1)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"2","2","1","2018-10-19","26-052","CHO","@","ORL","W (+32)","0","5:02","1","1","1.000","0","0","","0","0","","0","0","0","0","0","0","0","1","2","1.3","-5",NA
"3","3","","2018-10-20","26-053","CHO","@","MIA","W (+1)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"4","4","2","2018-10-22","26-055","CHO","@","TOR","L (-21)","0","8:36","1","3",".333","0","0","","2","4",".500","2","1","3","1","0","1","0","0","4","4.6","-3",NA
"5","5","","2018-10-24","26-057","CHO","@","CHI","L (-2)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"6","6","3","2018-10-26","26-059","CHO","","CHI","W (+29)","0","12:28","1","2",".500","0","0","","0","0","","0","4","4","0","0","5","2","4","2","2.1","+5",NA
"7","7","4","2018-10-27","26-060","CHO","@","PHI","L (-2)","0","18:33","1","2",".500","0","0","","0","1",".000","2","4","6","0","0","1","0","3","2","2.7","-7",NA
"8","8","","2018-10-30","26-063","CHO","","MIA","W (+12)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"9","9","","2018-11-01","26-065","CHO","","OKC","L (-4)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"10","10","5","2018-11-03","26-067","CHO","","CLE","W (+32)","0","7:14","2","2","1.000","0","0","","0","0","","0","1","1","0","0","1","0","1","4","4.0","+3",NA
"11","11","","2018-11-06","26-070","CHO","","ATL","W (+11)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"12","12","6","2018-11-09","26-073","CHO","@","PHI","L (-1)","0","4:54","0","0","","0","0","","1","2",".500","1","0","1","1","0","0","1","4","1","-0.6","-11",NA
"13","13","","2018-11-11","26-075","CHO","@","DET","W (+10)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","14","7","2018-11-13","26-077","CHO","@","CLE","L (-24)","0","6:31","0","0","","0","0","","0","0","","0","2","2","0","0","1","0","1","0","0.9","-5",NA
"15","15","8","2018-11-17","26-081","CHO","","PHI","L (-3)","0","4:47","1","2",".500","0","0","","0","0","","0","0","0","0","0","0","0","2","2","0.2","-5",NA
"16","16","","2018-11-19","26-083","CHO","","BOS","W (+5)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"17","17","","2018-11-21","26-085","CHO","","IND","W (+18)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
