"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA."
"1",1,NA,"2019-02-23","23-090","HOU","@","GSW","W (+6)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"2",2,NA,"2019-02-25","23-092","HOU","","ATL","W (+8)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"3",3,NA,"2019-02-27","23-094","HOU","@","CHO","W (+5)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"4",4,NA,"2019-02-28","23-095","HOU","","MIA","W (+3)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"5",5,NA,"2019-03-03","23-098","HOU","@","BOS","W (+11)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"6",6,1,"2019-03-24","23-119","HOU","@","NOP","W (+23)","0","4:49","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-2",NA
"7",7,2,"2019-03-26","23-121","HOU","@","MIL","L (-14)","0","1:15","0","1",".000","0","0","","0","0","","0","0","0","0","0","0","0","0","0","-0.7","+1",NA
"8",8,3,"2019-03-28","23-123","HOU","","DEN","W (+27)","0","3:21","0","1",".000","0","0","","0","0","","0","1","1","0","1","0","0","0","0","0.6","0",NA
"9",9,NA,"2019-03-30","23-125","HOU","","SAC","W (+11)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"10",10,4,"2019-04-02","23-128","HOU","@","SAC","W (+25)","0","4:31","1","1","1.000","1","1","1.000","0","0","","1","1","2","2","0","0","0","1","3","4.7","-2",NA
"11",11,5,"2019-04-03","23-129","HOU","@","LAC","W (+32)","0","6:13","0","0","","0","0","","0","0","","0","0","0","0","0","0","1","0","0","-1.0","-1",NA
"12",12,6,"2019-04-05","23-131","HOU","","NYK","W (+24)","0","7:14","1","4",".250","1","3",".333","0","0","","0","0","0","1","0","0","0","1","3","0.9","-9",NA
"13",13,7,"2019-04-07","23-133","HOU","","PHO","W (+36)","0","5:09","0","1",".000","0","1",".000","0","0","","0","1","1","1","0","1","0","0","0","1.0","+1",NA
"14",14,NA,"2019-04-09","23-135","HOU","@","OKC","L (-1)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
