"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA."
"1","1","","2018-10-18","26-103","CHI","@","PHI","L (-19)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"2","2","","2018-10-20","26-105","CHI","","DET","L (-2)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"3","3","","2018-10-22","26-107","CHI","@","DAL","L (-6)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"4","4","1","2018-10-24","26-109","CHI","","CHO","W (+2)","0","15:45","3","4",".750","0","0","","3","4",".750","2","3","5","0","1","0","0","1","9","9.9","+11",NA
"5","5","2","2018-10-26","26-111","CHI","@","CHO","L (-29)","0","30:03","3","6",".500","0","0","","3","4",".750","2","5","7","1","0","0","2","1","9","6.8","-8",NA
"6","6","3","2018-10-27","26-112","CHI","@","ATL","W (+12)","0","25:53","1","2",".500","0","0","","0","0","","0","8","8","2","1","1","2","1","2","4.1","+20",NA
"7","7","4","2018-10-29","26-114","CHI","","GSW","L (-25)","0","21:14","3","5",".600","0","0","","0","0","","3","4","7","0","0","0","0","2","6","6.2","-5",NA
"8","8","5","2018-10-31","26-116","CHI","","DEN","L (-1)","0","15:12","0","2",".000","0","0","","2","2","1.000","2","2","4","0","0","0","1","3","2","0.4","-5",NA
"9","9","6","2018-11-02","26-118","CHI","","IND","L (-2)","0","21:29","4","6",".667","0","0","","1","2",".500","2","7","9","2","0","1","2","2","9","8.8","-3",NA
"10","10","7","2018-11-03","26-119","CHI","","HOU","L (-8)","0","12:10","2","3",".667","0","0","","0","0","","0","1","1","0","0","0","0","2","4","2.2","-10",NA
"11","11","8","2018-11-05","26-121","CHI","@","NYK","W (+1)","0","18:23","2","2","1.000","0","0","","0","1",".000","0","7","7","1","0","0","1","2","4","4.0","-11",NA
"12","12","9","2018-11-07","26-123","CHI","@","NOP","L (-9)","0","7:55","0","0","","0","0","","0","0","","1","1","2","2","0","0","0","1","0","2.0","-9",NA
