"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA."
"1",1,NA,"2019-03-02","29-174","NOP","@","DEN","W (+8)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"2",2,NA,"2019-03-04","29-176","NOP","@","UTA","W (+3)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"3",3,NA,"2019-03-06","29-178","NOP","","UTA","L (-10)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"4",4,NA,"2019-03-08","29-180","NOP","","TOR","L (-23)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"5",5,1,"2019-03-10","29-182","NOP","@","ATL","L (-12)","0","6:26","0","1",".000","0","0","","0","0","","0","0","0","1","0","0","0","1","0","-0.4","-4",NA
"6",6,2,"2019-03-12","29-184","NOP","","MIL","L (-17)","0","7:33","0","2",".000","0","2",".000","0","0","","1","0","1","0","0","0","0","1","0","-1.1","-1",NA
"7",7,NA,"2019-03-15","29-187","NOP","","POR","L (-12)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"8",8,3,"2019-03-16","29-188","NOP","","PHO","L (-2)","0","10:34","1","3",".333","1","2",".500","0","0","","0","0","0","1","0","0","0","0","3","2.0","+3",NA
"9",9,4,"2019-03-18","29-190","NOP","@","DAL","W (+4)","0","7:01","1","1","1.000","1","1","1.000","0","0","","0","1","1","0","0","0","1","0","3","2.0","-6",NA
"10",10,5,"2019-03-20","29-192","NOP","@","ORL","L (-23)","0","14:41","2","6",".333","0","3",".000","0","0","","1","1","2","0","0","0","1","0","4","0.6","+7",NA
"11",11,6,"2019-03-24","29-196","NOP","","HOU","L (-23)","0","12:29","1","4",".250","1","3",".333","0","0","","0","1","1","0","0","0","0","1","3","0.5","-5",NA
"12",12,NA,"2019-03-26","29-198","NOP","","ATL","L (-10)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"13",13,7,"2019-03-28","29-200","NOP","","SAC","W (+3)","0","7:55","0","0","","0","0","","0","0","","0","0","0","2","0","0","0","1","0","1.0","-6",NA
"14",14,8,"2019-03-31","29-203","NOP","","LAL","L (-28)","0","21:57","2","9",".222","2","9",".222","0","0","","0","0","0","0","1","0","0","1","6","1.1","-14",NA
"15",15,9,"2019-04-03","29-206","NOP","","CHO","L (-6)","0","17:20","2","5",".400","2","4",".500","0","0","","0","1","1","2","0","0","0","0","6","5.0","-10",NA
"16",16,10,"2019-04-05","29-208","NOP","@","PHO","L (-7)","0","14:03","1","4",".250","1","3",".333","0","0","","0","1","1","2","0","0","0","0","3","2.3","+2",NA
"17",17,11,"2019-04-07","29-210","NOP","@","SAC","W (+4)","0","21:18","2","8",".250","2","5",".400","0","0","","0","2","2","0","0","0","0","1","6","1.4","-9",NA
"18",18,12,"2019-04-09","29-212","NOP","","GSW","L (-9)","0","25:44","0","4",".000","0","2",".000","0","0","","0","0","0","2","0","0","0","1","0","-1.8","-7",NA
