"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA."
"1","1","1","2018-10-17","28-210","NOP","@","HOU","W (+19)","0","19:56","0","2",".000","0","1",".000","0","0","","0","0","0","1","1","0","2","2","0","-2.5","-5",NA
"2","2","2","2018-10-19","28-212","NOP","","SAC","W (+20)","0","22:45","3","7",".429","3","7",".429","1","1","1.000","0","1","1","2","0","0","1","3","10","5.8","+9",NA
"3","3","3","2018-10-23","28-216","NOP","","LAC","W (+7)","0","13:07","1","2",".500","0","1",".000","0","0","","0","0","0","1","0","0","0","0","2","1.7","-1",NA
"4","4","4","2018-10-26","28-219","NOP","","BRK","W (+2)","0","4:26","1","3",".333","1","2",".500","0","0","","0","1","1","2","0","0","0","1","3","2.6","+1",NA
"5","5","","2018-10-27","28-220","NOP","","UTA","L (-21)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"6","6","","2018-10-29","28-222","NOP","@","DEN","L (-5)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"7","7","","2018-10-31","28-224","NOP","@","GSW","L (-10)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"8","8","","2018-11-01","28-225","NOP","@","POR","L (-13)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"9","9","5","2018-11-03","28-227","NOP","@","SAS","L (-14)","0","14:04","0","1",".000","0","1",".000","0","0","","0","1","1","1","0","0","0","4","0","-1.3","-13",NA
"10","10","6","2018-11-05","28-229","NOP","@","OKC","L (-6)","0","17:01","3","4",".750","3","4",".750","0","0","","1","0","1","1","0","0","2","4","9","5.2","+1",NA
"11","11","7","2018-11-07","28-231","NOP","","CHI","W (+9)","0","19:58","4","6",".667","3","4",".750","0","0","","0","1","1","1","1","0","0","1","11","10.0","-4",NA
