"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA."
"1","1","1","2018-10-17","20-326","DAL","@","PHO","L (-21)","1","27:55","6","19",".316","1","4",".250","0","0","","1","1","2","5","3","0","1","2","13","7.8","-19",NA
"2","2","2","2018-10-20","20-329","DAL","","MIN","W (+4)","1","26:23","7","14",".500","1","6",".167","4","5",".800","0","3","3","6","0","0","1","4","19","14.1","0",NA
"3","3","3","2018-10-22","20-331","DAL","","CHI","W (+6)","1","30:40","2","11",".182","1","5",".200","2","2","1.000","0","1","1","3","0","0","4","3","7","-2.7","-1",NA
"4","4","4","2018-10-24","20-333","DAL","@","ATL","L (-7)","1","29:33","6","12",".500","1","3",".333","3","5",".600","2","5","7","6","2","1","5","3","16","12.8","-5",NA
"5","5","","2018-10-26","20-335","DAL","@","TOR","L (-9)","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress"
"6","6","5","2018-10-28","20-337","DAL","","UTA","L (-9)","1","33:55","12","19",".632","3","4",".750","0","0","","1","0","1","3","0","2","3","2","27","18.9","-2",NA
"7","7","6","2018-10-29","20-338","DAL","@","SAS","L (-5)","1","37:47","9","18",".500","1","6",".167","3","4",".750","0","1","1","4","2","0","4","3","22","12.5","+15",NA
"8","8","7","2018-10-31","20-340","DAL","@","LAL","L (-1)","1","23:02","2","9",".222","1","1","1.000","0","0","","0","1","1","3","1","0","3","2","5","-0.9","-29",NA
"9","9","8","2018-11-02","20-342","DAL","","NYK","L (-12)","1","31:53","8","14",".571","2","4",".500","5","10",".500","1","1","2","0","0","0","6","4","23","7.8","-3",NA
"10","10","9","2018-11-06","20-346","DAL","","WAS","W (+19)","1","31:14","6","14",".429","2","3",".667","5","5","1.000","2","2","4","7","1","0","3","5","19","14.5","+10",NA
"11","11","10","2018-11-07","20-347","DAL","@","UTA","L (-15)","1","24:26","3","6",".500","2","2","1.000","2","3",".667","2","2","4","1","0","0","4","4","10","3.7","-17",NA
"12","12","11","2018-11-10","20-350","DAL","","OKC","W (+15)","1","26:18","4","8",".500","2","3",".667","0","0","","0","3","3","5","2","1","3","1","10","9.7","-2",NA
"13","13","12","2018-11-12","20-352","DAL","@","CHI","W (+5)","1","24:12","5","11",".455","1","5",".200","0","0","","1","4","5","3","0","1","4","4","11","4.4","-16",NA
"14","14","13","2018-11-14","20-354","DAL","","UTA","W (+50)","1","21:48","3","9",".333","1","4",".250","0","0","","0","4","4","3","1","0","4","3","7","1.0","+13",NA
"15","15","14","2018-11-17","20-357","DAL","","GSW","W (+3)","1","27:44","5","12",".417","2","5",".400","2","7",".286","0","2","2","6","2","1","0","1","14","12.7","+11",NA
"16","16","15","2018-11-19","20-359","DAL","@","MEM","L (-10)","1","31:01","6","15",".400","3","6",".500","4","5",".800","0","3","3","5","2","0","3","3","19","12.7","-8",NA
"17","17","16","2018-11-21","20-361","DAL","","BRK","W (+6)","1","18:59","2","3",".667","0","0","","0","0","","0","0","0","2","1","0","2","1","4","2.7","-3",NA
"18","18","","2018-11-24","20-364","DAL","","BOS","W (+9)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"19","19","17","2018-11-28","21-003","DAL","@","HOU","W (+20)","1","31:07","4","8",".500","1","3",".333","1","2",".500","1","4","5","5","4","1","3","2","10","11.9","-5",NA
"20","20","18","2018-11-30","21-005","DAL","@","LAL","L (-11)","1","27:59","5","14",".357","1","6",".167","2","2","1.000","0","3","3","3","0","0","5","3","13","2.0","-4",NA
"21","Rk","G","Date","Age","Tm","","Opp","","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-",NA
"22","21","19","2018-12-02","21-007","DAL","","LAC","W (+4)","1","32:13","3","7",".429","1","4",".250","2","2","1.000","0","3","3","5","2","2","3","1","9","9.7","+6",NA
"23","22","20","2018-12-04","21-009","DAL","","POR","W (+9)","1","30:38","4","9",".444","1","4",".250","3","5",".600","1","1","2","9","1","1","3","1","12","12.1","+2",NA
"24","23","","2018-12-05","21-010","DAL","@","NOP","L (-26)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"25","24","","2018-12-08","21-013","DAL","","HOU","W (+3)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"26","25","","2018-12-10","21-015","DAL","","ORL","W (+25)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"27","26","","2018-12-12","21-017","DAL","","ATL","W (+7)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"28","27","21","2018-12-13","21-018","DAL","@","PHO","L (-10)","1","27:16","2","6",".333","0","1",".000","0","0","","1","7","8","1","3","0","5","2","4","1.3","-2",NA
"29","28","","2018-12-16","21-021","DAL","","SAC","L (-7)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"30","29","","2018-12-18","21-023","DAL","@","DEN","L (-8)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"31","30","","2018-12-20","21-025","DAL","@","LAC","L (-4)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"32","31","","2018-12-22","21-027","DAL","@","GSW","L (-4)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"33","32","","2018-12-23","21-028","DAL","@","POR","L (-3)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"34","33","","2018-12-26","21-031","DAL","","NOP","W (+3)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"35","34","22","2018-12-28","21-033","DAL","@","NOP","L (-2)","1","29:34","5","9",".556","2","4",".500","2","2","1.000","0","1","1","4","2","0","1","1","14","13.4","+6",NA
"36","35","23","2018-12-30","21-035","DAL","","OKC","W (+2)","1","27:16","5","10",".500","2","5",".400","2","2","1.000","1","3","4","1","0","0","5","2","14","5.5","+7",NA
"37","36","24","2018-12-31","21-036","DAL","@","OKC","L (-20)","1","20:55","3","6",".500","2","3",".667","2","4",".500","0","1","1","3","0","0","2","4","10","5.0","-9",NA
"38","37","25","2019-01-02","21-038","DAL","@","CHO","W (+38)","1","22:17","6","10",".600","3","5",".600","3","4",".750","0","0","0","7","3","0","2","1","18","18.5","+5",NA
"39","38","26","2019-01-04","21-040","DAL","@","BOS","L (-21)","1","30:53","4","12",".333","0","5",".000","1","1","1.000","1","1","2","3","3","0","2","3","9","5.1","-10",NA
"40","39","27","2019-01-05","21-041","DAL","@","PHI","L (-6)","1","22:15","1","5",".200","0","1",".000","0","0","","0","1","1","4","0","0","1","4","2","-0.6","-15",NA
"41","40","28","2019-01-07","21-043","DAL","","LAL","L (-10)","1","26:31","4","8",".500","2","2","1.000","1","2",".500","0","0","0","1","3","0","4","3","11","5.1","-1",NA
"42","Rk","G","Date","Age","Tm","","Opp","","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-",NA
"43","41","","2019-01-09","21-045","DAL","","PHO","W (+10)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"44","42","","2019-01-11","21-047","DAL","@","MIN","W (+4)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"45","43","","2019-01-13","21-049","DAL","","GSW","L (-5)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"46","44","","2019-01-16","21-052","DAL","","SAS","L (-4)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"47","45","","2019-01-19","21-055","DAL","@","IND","L (-12)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"48","46","","2019-01-21","21-057","DAL","@","MIL","L (-10)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"49","47","29","2019-01-22","21-058","DAL","","LAC","W (+8)","1","36:44","6","17",".353","1","6",".167","4","4","1.000","1","7","8","4","1","0","4","3","17","8.9","+9",NA
"50","48","30","2019-01-25","21-061","DAL","","DET","W (+5)","1","36:12","8","14",".571","2","6",".333","1","3",".333","0","2","2","5","0","0","3","2","19","11.9","-7",NA
"51","49","31","2019-01-27","21-063","DAL","","TOR","L (-3)","1","31:24","6","16",".375","1","6",".167","0","0","","1","3","4","6","1","1","2","2","13","8.9","-2",NA
"52","50","32","2019-01-30","21-066","DAL","@","NYK","W (+24)","1","28:13","5","12",".417","0","3",".000","3","3","1.000","1","9","10","15","0","0","5","3","13","14.3","+23",NA
"53","51","","2019-01-31","21-067","DAL","@","DET","L (-4)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"54","52","","2019-02-01","21-068","NYK","","BOS","L (-14)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
