"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA."
"1","1","","2018-10-17","23-048","CHO","","MIL","L (-1)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"2","2","1","2018-10-19","23-050","CHO","@","ORL","W (+32)","0","7:57","2","5",".400","1","2",".500","2","2","1.000","0","0","0","1","0","0","0","2","7","4.2","0",NA
"3","3","","2018-10-20","23-051","CHO","@","MIA","W (+1)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"4","4","","2018-10-22","23-053","CHO","@","TOR","L (-21)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"5","5","","2018-10-24","23-055","CHO","@","CHI","L (-2)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"6","6","2","2018-10-26","23-057","CHO","","CHI","W (+29)","0","12:00","2","3",".667","1","2",".500","2","2","1.000","0","2","2","1","1","0","0","0","7","8.0","+2",NA
"7","7","","2018-10-27","23-058","CHO","@","PHI","L (-2)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"8","8","3","2018-10-30","23-061","CHO","","MIA","W (+12)","0","0:42","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","0",NA
"9","9","","2018-11-01","23-063","CHO","","OKC","L (-4)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"10","10","4","2018-11-03","23-065","CHO","","CLE","W (+32)","0","7:14","0","0","","0","0","","2","2","1.000","0","1","1","1","0","0","0","0","2","3.0","+3",NA
"11","11","","2018-11-06","23-068","CHO","","ATL","W (+11)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"12","12","5","2018-11-09","23-071","CHO","@","PHI","L (-1)","0","22:34","5","7",".714","2","3",".667","3","4",".750","1","0","1","1","1","0","0","6","15","11.7","+10",NA
"13","13","6","2018-11-11","23-073","CHO","@","DET","W (+10)","0","0:22","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","0",NA
"14","14","7","2018-11-13","23-075","CHO","@","CLE","L (-24)","0","16:23","2","4",".500","1","2",".500","0","0","","0","3","3","0","0","0","1","1","5","2.5","0",NA
"15","15","8","2018-11-17","23-079","CHO","","PHI","L (-3)","0","28:34","4","10",".400","1","3",".333","0","0","","0","6","6","0","0","0","0","3","9","4.2","+8",NA
"16","16","9","2018-11-19","23-081","CHO","","BOS","W (+5)","0","13:33","2","6",".333","1","2",".500","0","0","","0","3","3","1","0","0","2","2","5","0.4","-9",NA
"17","17","10","2018-11-21","23-083","CHO","","IND","W (+18)","0","25:16","8","13",".615","2","2","1.000","0","0","","0","6","6","3","0","0","1","2","18","14.2","-2",NA
"18","18","11","2018-11-23","23-085","CHO","@","OKC","L (-5)","0","20:48","5","11",".455","0","0","","1","2",".500","1","1","2","2","0","0","0","2","11","6.5","+1",NA
"19","19","12","2018-11-25","23-087","CHO","@","ATL","L (-1)","0","14:48","2","5",".400","0","2",".000","0","0","","0","1","1","0","1","0","3","2","4","-1.2","-6",NA
"20","20","","2018-11-26","23-088","CHO","","MIL","W (+3)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"21","Rk","G","Date","Age","Tm","","Opp","","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-",NA
"22","21","13","2018-11-28","23-090","CHO","","ATL","W (+14)","0","10:09","0","1",".000","0","0","","0","0","","0","1","1","1","0","0","0","2","0","-0.5","+2",NA
"23","22","","2018-11-30","23-092","CHO","","UTA","L (-8)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"24","23","14","2018-12-02","23-094","CHO","","NOP","L (-10)","0","5:30","0","0","","0","0","","0","0","","0","0","0","2","0","0","0","0","0","1.4","+7",NA
"25","24","15","2018-12-05","23-097","CHO","@","MIN","L (-17)","0","2:24","0","1",".000","0","0","","0","0","","0","0","0","0","0","0","0","0","0","-0.7","0",NA
"26","25","","2018-12-07","23-099","CHO","","DEN","W (+6)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"27","26","","2018-12-09","23-101","CHO","@","NYK","W (+12)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
