"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA."
"1","1","1","2018-10-17","20-359","PHO","","DAL","W (+21)","0","7:30","1","2",".500","0","1",".000","0","0","","0","0","0","1","0","0","0","2","2","0.9","+1",NA
"2","2","2","2018-10-20","20-362","PHO","@","DEN","L (-28)","0","3:42","0","0","","0","0","","0","0","","0","0","0","0","0","0","1","0","0","-1.0","-6",NA
"3","3","","2018-10-22","20-364","PHO","@","GSW","L (-20)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"4","4","","2018-10-24","21-001","PHO","","LAL","L (-18)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"5","5","3","2018-10-27","21-004","PHO","@","MEM","L (-21)","0","18:03","4","9",".444","2","5",".400","2","2","1.000","0","0","0","2","0","0","1","5","12","5.7","-6",NA
"6","6","4","2018-10-28","21-005","PHO","@","OKC","L (-7)","0","30:33","5","9",".556","3","6",".500","5","6",".833","2","3","5","7","0","0","3","5","18","15.5","+2",NA
"7","7","5","2018-10-31","21-008","PHO","","SAS","L (-30)","1","28:26","3","9",".333","0","2",".000","2","2","1.000","0","4","4","5","1","0","2","3","8","5.4","-12",NA
"8","8","6","2018-11-02","21-010","PHO","","TOR","L (-9)","0","15:42","2","8",".250","0","3",".000","0","0","","0","1","1","2","0","0","2","2","4","-1.9","-10",NA
"9","9","7","2018-11-04","21-012","PHO","","MEM","W (+2)","0","14:27","2","6",".333","1","2",".500","0","0","","0","2","2","0","0","0","0","2","5","1.4","-4",NA
"10","10","8","2018-11-06","21-014","PHO","","BRK","L (-22)","0","13:11","1","5",".200","1","3",".333","0","0","","0","1","1","2","0","0","1","1","3","0.2","-15",NA
"11","11","9","2018-11-08","21-016","PHO","","BOS","L (-7)","0","10:34","2","5",".400","0","1",".000","0","0","","0","1","1","1","0","0","1","2","4","0.5","0",NA
"12","12","10","2018-11-10","21-018","PHO","@","NOP","L (-20)","0","10:51","2","6",".333","0","2",".000","4","4","1.000","0","2","2","0","2","1","0","0","8","7.9","0",NA
"13","13","11","2018-11-12","21-020","PHO","@","OKC","L (-17)","0","13:22","1","2",".500","0","1",".000","0","0","","0","0","0","5","0","0","0","1","2","4.1","+4",NA
"14","14","","2018-11-14","21-022","PHO","","SAS","W (+20)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"15","15","","2018-11-17","21-025","PHO","","OKC","L (-10)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","16","","2018-11-19","21-027","PHO","@","PHI","L (-5)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"17","17","","2018-11-21","21-029","PHO","@","CHI","L (-8)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"18","18","","2018-11-23","21-031","PHO","@","MIL","W (+2)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"19","19","","2018-11-25","21-033","PHO","@","DET","L (-11)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"20","20","","2018-11-27","21-035","PHO","","IND","L (-5)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"21","Rk","G","Date","Age","Tm","","Opp","","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-",NA
"22","21","12","2018-11-28","21-036","PHO","@","LAC","L (-16)","0","31:52","8","12",".667","3","5",".600","0","0","","0","2","2","4","3","0","3","3","19","16.0","-5",NA
"23","22","13","2018-11-30","21-038","PHO","","ORL","L (-14)","1","28:55","4","11",".364","1","4",".250","0","0","","1","3","4","2","1","0","0","3","9","5.7","+2",NA
"24","23","14","2018-12-02","21-040","PHO","@","LAL","L (-24)","0","29:39","1","9",".111","1","2",".500","0","0","","0","1","1","4","0","0","3","1","3","-3.2","-14",NA
"25","24","15","2018-12-04","21-042","PHO","","SAC","L (-17)","1","26:17","3","8",".375","0","4",".000","0","0","","0","3","3","1","0","1","2","5","6","-0.1","-22",NA
"26","25","16","2018-12-06","21-044","PHO","@","POR","L (-22)","1","27:48","5","13",".385","1","4",".250","0","0","","2","3","5","1","1","1","2","6","11","4.2","-11",NA
"27","26","17","2018-12-07","21-045","PHO","","MIA","L (-17)","0","22:02","2","5",".400","0","2",".000","0","0","","0","5","5","5","2","0","3","5","4","3.3","+5",NA
"28","27","18","2018-12-10","21-048","PHO","","LAC","L (-4)","0","22:55","1","5",".200","0","2",".000","0","0","","0","2","2","4","5","0","2","3","2","4.1","+3",NA
"29","28","","2018-12-11","21-049","PHO","@","SAS","L (-25)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"30","29","","2018-12-13","21-051","PHO","","DAL","W (+10)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"31","30","","2018-12-15","21-053","PHO","","MIN","W (+8)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"32","31","","2018-12-17","21-055","PHO","@","NYK","W (+18)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"33","32","","2018-12-19","21-057","PHO","@","BOS","W (+8)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"34","33","","2018-12-22","21-060","PHO","@","WAS","L (-3)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"35","34","","2018-12-23","21-061","PHO","@","BRK","L (-8)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"36","35","19","2018-12-26","21-064","PHO","@","ORL","W (+2)","0","24:01","4","7",".571","1","2",".500","0","0","","0","1","1","0","0","0","1","1","9","4.6","+11",NA
