"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA."
"1","1","1","2018-10-17","20-081","NYK","","ATL","W (+19)","1","33:38","2","7",".286","1","2",".500","0","0","","0","5","5","1","3","1","1","1","5","5.4","-2",NA
"2","2","2","2018-10-19","20-083","NYK","@","BRK","L (-2)","1","30:42","4","9",".444","1","4",".250","0","0","","0","1","1","4","3","0","0","1","9","10.0","+6",NA
"3","3","3","2018-10-20","20-084","NYK","","BOS","L (-2)","1","18:52","2","7",".286","1","5",".200","0","0","","0","1","1","1","1","0","2","4","5","-0.7","-22",NA
"4","4","4","2018-10-22","20-086","NYK","@","MIL","L (-11)","1","35:00","2","6",".333","1","3",".333","0","0","","0","1","1","5","0","0","1","4","5","2.8","-6",NA
"5","5","5","2018-10-24","20-088","NYK","@","MIA","L (-23)","1","30:56","3","7",".429","2","3",".667","1","2",".500","0","3","3","5","0","0","3","5","9","4.3","-9",NA
"6","6","6","2018-10-26","20-090","NYK","","GSW","L (-28)","1","25:57","6","11",".545","3","7",".429","2","2","1.000","0","1","1","2","1","0","3","2","17","10.6","-12",NA
"7","7","7","2018-10-29","20-093","NYK","","BRK","W (+19)","1","31:35","5","13",".385","3","5",".600","3","3","1.000","1","4","5","4","0","1","0","2","16","13.5","+15",NA
"8","8","8","2018-10-31","20-095","NYK","","IND","L (-6)","1","32:50","2","8",".250","0","2",".000","0","0","","0","1","1","7","1","0","2","2","4","2.6","-8",NA
"9","9","9","2018-11-02","20-097","NYK","@","DAL","W (+12)","1","32:02","2","8",".250","0","4",".000","3","3","1.000","0","0","0","7","3","1","3","2","7","7.0","+7",NA
"10","10","10","2018-11-04","20-099","NYK","@","WAS","L (-13)","1","22:31","3","7",".429","0","4",".000","0","0","","0","1","1","3","0","2","4","4","6","0.5","-13",NA
"11","11","11","2018-11-05","20-100","NYK","","CHI","L (-1)","1","16:12","0","6",".000","0","3",".000","0","0","","0","1","1","2","0","0","0","2","0","-3.3","-17",NA
"12","12","12","2018-11-07","20-102","NYK","@","ATL","W (+5)","1","22:56","5","10",".500","2","4",".500","2","2","1.000","0","3","3","3","1","0","3","6","14","7.6","+3",NA
"13","13","13","2018-11-10","20-105","NYK","@","TOR","L (-16)","1","24:35","2","8",".250","1","4",".250","0","0","","0","1","1","4","4","0","2","4","5","3.7","-3",NA
"14","14","14","2018-11-11","20-106","NYK","","ORL","L (-26)","1","5:45","0","3",".000","0","2",".000","0","0","","0","1","1","0","0","1","2","1","0","-3.5","-12",NA
"15","15","15","2018-11-14","20-109","NYK","@","OKC","L (-25)","0","21:25","2","6",".333","0","2",".000","0","0","","0","2","2","2","0","1","0","1","4","2.9","-11",NA
"16","16","16","2018-11-16","20-111","NYK","@","NOP","L (-5)","0","14:48","2","6",".333","0","3",".000","0","0","","0","2","2","2","0","0","0","5","4","0.6","-16",NA
"17","17","17","2018-11-18","20-113","NYK","@","ORL","L (-14)","0","21:31","0","1",".000","0","0","","0","0","","0","2","2","2","1","0","0","2","0","1.5","+10",NA
"18","18","18","2018-11-20","20-115","NYK","","POR","L (-4)","0","27:32","3","7",".429","1","5",".200","0","0","","0","4","4","1","0","0","1","3","7","3.0","-8",NA
"19","19","19","2018-11-21","20-116","NYK","@","BOS","W (+8)","0","27:08","3","6",".500","0","2",".000","0","0","","0","1","1","1","0","0","2","4","6","0.4","+10",NA
"20","20","20","2018-11-23","20-118","NYK","","NOP","W (+5)","0","14:19","1","3",".333","1","1","1.000","2","2","1.000","0","2","2","2","0","2","1","1","5","5.3","+6",NA
"21","Rk","G","Date","Age","Tm","","Opp","","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-",NA
"22","21","21","2018-11-25","20-120","NYK","@","MEM","W (+5)","0","13:05","2","6",".333","1","2",".500","2","2","1.000","2","4","6","1","0","0","0","2","7","6.1","-6",NA
"23","22","22","2018-11-27","20-122","NYK","@","DET","L (-7)","0","14:47","0","3",".000","0","1",".000","0","0","","0","0","0","0","0","0","1","3","0","-4.3","-5",NA
"24","23","23","2018-11-28","20-123","NYK","@","PHI","L (-26)","0","14:23","0","5",".000","0","2",".000","0","0","","0","0","0","2","0","0","0","0","0","-2.1","-11",NA
"25","24","","2018-12-01","20-126","NYK","","MIL","W (+2)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
