"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA."
"1","1","1","2018-10-16","20-077","OKC","@","GSW","L (-8)","0","8:37","2","4",".500","0","0","","0","1",".000","0","1","1","1","1","0","0","2","4","2.8","+5",NA
"2","2","2","2018-10-19","20-080","OKC","@","LAC","L (-16)","0","8:32","0","1",".000","0","0","","3","4",".750","2","1","3","0","0","0","0","3","3","2.4","+1",NA
"3","3","3","2018-10-21","20-082","OKC","","SAC","L (-11)","0","21:05","5","7",".714","1","2",".500","0","0","","1","0","1","2","2","0","1","3","11","10.0","0",NA
"4","4","4","2018-10-25","20-086","OKC","","BOS","L (-6)","0","19:34","3","7",".429","0","0","","0","0","","2","3","5","0","1","3","1","1","6","6.3","+3",NA
"5","5","","2018-10-28","20-089","OKC","","PHO","W (+7)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"6","6","5","2018-10-30","20-091","OKC","","LAC","W (+18)","0","10:49","1","5",".200","0","1",".000","2","2","1.000","1","2","3","0","1","0","1","3","4","1.0","-4",NA
"7","7","6","2018-11-01","20-093","OKC","@","CHO","W (+4)","0","10:46","3","4",".750","0","1",".000","0","0","","2","0","2","0","0","0","0","1","6","5.4","0",NA
"8","8","7","2018-11-02","20-094","OKC","@","WAS","W (+23)","0","18:43","2","5",".400","0","1",".000","3","4",".750","1","3","4","0","1","0","0","0","7","6.5","+8",NA
"9","9","8","2018-11-05","20-097","OKC","","NOP","W (+6)","0","10:48","2","4",".500","0","1",".000","0","1",".000","0","0","0","0","2","0","0","2","4","2.8","+2",NA
"10","10","9","2018-11-07","20-099","OKC","@","CLE","W (+9)","0","13:09","3","7",".429","0","2",".000","2","2","1.000","0","3","3","0","1","0","1","4","8","3.6","-8",NA
"11","11","10","2018-11-08","20-100","OKC","","HOU","W (+18)","0","11:42","2","4",".500","0","1",".000","1","2",".500","2","2","4","0","0","0","1","1","5","3.2","-15",NA
"12","12","11","2018-11-10","20-102","OKC","@","DAL","L (-15)","0","7:19","0","3",".000","0","0","","0","0","","2","0","2","1","0","0","0","1","0","-0.4","-13",NA
"13","13","12","2018-11-12","20-104","OKC","","PHO","W (+17)","0","13:59","3","7",".429","0","1",".000","3","3","1.000","0","1","1","0","1","0","2","2","9","3.8","-6",NA
"14","14","13","2018-11-14","20-106","OKC","","NYK","W (+25)","0","19:26","5","11",".455","1","1","1.000","0","0","","2","2","4","0","2","0","0","2","11","8.5","+4",NA
