"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA."
"1","1","1","2018-10-17","20-178","SAC","","UTA","L (-6)","0","9:38","1","2",".500","0","0","","0","0","","0","1","1","1","0","0","1","4","2","-0.6","-22",NA
"2","2","2","2018-10-19","20-180","SAC","@","NOP","L (-20)","0","18:40","3","11",".273","0","0","","1","4",".250","1","3","4","1","0","0","2","6","7","-2.8","-16",NA
"3","3","3","2018-10-21","20-182","SAC","@","OKC","W (+11)","0","16:46","4","10",".400","0","0","","0","0","","1","5","6","2","1","2","1","4","8","6.0","+2",NA
"4","4","4","2018-10-23","20-184","SAC","@","DEN","L (-14)","0","14:13","0","6",".000","0","1",".000","0","2",".000","1","1","2","1","1","0","1","4","0","-4.9","-20",NA
"5","5","5","2018-10-24","20-185","SAC","","MEM","W (+5)","0","6:41","1","1","1.000","0","0","","0","0","","0","2","2","0","0","0","4","1","2","-2.1","-10",NA
"6","6","6","2018-10-26","20-187","SAC","","WAS","W (+4)","0","3:48","1","1","1.000","0","0","","1","1","1.000","1","1","2","0","0","0","1","1","3","2.3","-6",NA
"7","7","","2018-10-29","20-190","SAC","@","MIA","W (+10)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"8","8","","2018-10-30","20-191","SAC","@","ORL","W (+8)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"9","9","7","2018-11-01","20-193","SAC","@","ATL","W (+31)","0","5:29","2","3",".667","0","0","","0","0","","1","2","3","0","1","0","0","0","4","5.0","-3",NA
"10","10","8","2018-11-04","20-196","SAC","@","MIL","L (-35)","0","9:47","2","6",".333","0","0","","0","0","","1","1","2","0","1","0","1","0","4","1.6","-10",NA
"11","11","","2018-11-07","20-199","SAC","","TOR","L (-9)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"12","12","","2018-11-09","20-201","SAC","","MIN","W (+11)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"13","13","9","2018-11-10","20-202","SAC","","LAL","L (-15)","0","2:21","1","1","1.000","0","0","","0","0","","1","1","2","0","0","0","0","0","2","2.7","-1",NA
"14","14","10","2018-11-12","20-204","SAC","","SAS","W (+5)","0","15:49","6","10",".600","0","0","","0","0","","2","4","6","1","1","0","3","5","12","6.7","-2",NA
"15","15","11","2018-11-16","20-208","SAC","@","MEM","L (-8)","0","7:08","2","2","1.000","0","0","","0","0","","1","2","3","0","0","0","1","4","4","2.1","-2",NA
"16","16","12","2018-11-17","20-209","SAC","@","HOU","L (-20)","0","6:53","3","5",".600","0","0","","1","2",".500","1","0","1","1","2","0","0","0","7","7.7","-1",NA
"17","17","13","2018-11-19","20-211","SAC","","OKC","W (+4)","0","13:33","2","7",".286","0","0","","0","0","","1","4","5","1","1","0","0","4","4","1.9","0",NA
"18","18","14","2018-11-21","20-213","SAC","@","UTA","W (+9)","0","7:33","1","1","1.000","0","0","","0","0","","1","2","3","0","0","0","2","1","2","0.6","-3",NA
"19","19","15","2018-11-24","20-216","SAC","@","GSW","L (-1)","0","10:58","4","5",".800","0","0","","2","3",".667","0","2","2","4","0","0","0","2","10","10.3","+5",NA
"20","20","16","2018-11-25","20-217","SAC","","UTA","L (-21)","0","19:53","5","14",".357","0","1",".000","0","0","","4","4","8","6","4","2","2","4","10","12.2","-15",NA
"21","Rk","G","Date","Age","Tm","","Opp","","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-",NA
"22","21","17","2018-11-29","20-221","SAC","","LAC","L (-12)","0","6:53","2","4",".500","0","0","","0","0","","1","1","2","3","0","0","0","0","4","5.1","+4",NA
"23","22","","2018-12-01","20-223","SAC","","IND","W (+1)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"24","23","18","2018-12-04","20-226","SAC","@","PHO","W (+17)","0","10:15","4","5",".800","0","0","","5","9",".556","1","1","2","1","0","0","1","3","13","9.0","-12",NA
"25","24","","2018-12-07","20-229","SAC","@","CLE","W (+19)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"26","25","19","2018-12-08","20-230","SAC","@","IND","L (-10)","0","1:09","0","0","","0","0","","0","0","","0","0","0","1","0","0","0","0","0","0.7","+3",NA
"27","26","20","2018-12-10","20-232","SAC","@","CHI","W (+19)","0","2:08","0","0","","0","0","","0","0","","0","0","0","1","0","0","0","0","0","0.7","-1",NA
