"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA."
"1","1","1","2018-10-17","19-032","MEM","@","IND","L (-28)","0","25:18","2","6",".333","0","1",".000","6","6","1.000","2","3","5","1","3","1","0","2","10","12.5","-21",NA
"2","2","2","2018-10-19","19-034","MEM","","ATL","W (+14)","0","27:36","8","12",".667","2","4",".500","6","9",".667","1","6","7","2","1","2","2","5","24","19.9","-8",NA
"3","3","3","2018-10-22","19-037","MEM","@","UTA","W (+8)","1","27:12","5","12",".417","0","4",".000","1","2",".500","1","6","7","1","1","0","0","4","11","6.8","+2",NA
"4","4","4","2018-10-24","19-039","MEM","@","SAC","L (-5)","1","30:27","6","16",".375","0","3",".000","2","2","1.000","4","3","7","2","1","2","2","6","14","8.3","-5",NA
"5","5","5","2018-10-27","19-042","MEM","","PHO","W (+21)","1","14:55","2","5",".400","0","1",".000","2","2","1.000","0","2","2","1","1","1","1","5","6","3.3","-1",NA
"6","6","6","2018-10-30","19-045","MEM","","WAS","W (+12)","1","10:03","2","3",".667","0","0","","0","0","","0","3","3","1","0","0","2","4","4","0.7","+3",NA
"7","7","7","2018-11-02","19-048","MEM","@","UTA","W (+10)","1","20:25","6","9",".667","1","2",".500","0","0","","1","0","1","1","1","1","3","5","13","7.2","+2",NA
"8","8","8","2018-11-04","19-050","MEM","@","PHO","L (-2)","1","22:31","1","2",".500","0","1",".000","2","2","1.000","2","1","3","1","0","1","0","3","4","4.9","+6",NA
"9","9","9","2018-11-05","19-051","MEM","@","GSW","L (-16)","1","32:20","6","16",".375","0","3",".000","3","6",".500","2","4","6","2","0","5","2","3","15","9.3","-9",NA
"10","10","10","2018-11-07","19-053","MEM","","DEN","W (+2)","1","32:48","7","15",".467","2","5",".400","4","6",".667","3","4","7","0","3","3","3","2","20","16.1","0",NA
"11","11","11","2018-11-10","19-056","MEM","","PHI","W (+6)","1","30:35","2","8",".250","0","2",".000","3","4",".750","0","1","1","1","0","1","0","2","7","2.7","+7",NA
"12","12","12","2018-11-12","19-058","MEM","","UTA","L (-8)","1","27:29","4","9",".444","0","1",".000","2","2","1.000","5","6","11","3","1","5","4","3","10","12.0","-6",NA
"13","13","13","2018-11-14","19-060","MEM","@","MIL","W (+3)","1","15:34","5","8",".625","1","1","1.000","2","3",".667","0","2","2","1","2","0","0","5","13","10.3","0",NA
"14","14","14","2018-11-16","19-062","MEM","","SAC","W (+8)","1","31:29","11","16",".688","1","1","1.000","4","6",".667","2","4","6","0","4","2","1","5","27","24.4","+5",NA
"15","15","15","2018-11-18","19-064","MEM","@","MIN","W (+13)","1","18:44","6","10",".600","1","2",".500","0","0","","1","1","2","1","0","3","3","3","13","8.0","+7",NA
"16","16","16","2018-11-19","19-065","MEM","","DAL","W (+10)","1","36:18","6","13",".462","0","3",".000","1","1","1.000","0","3","3","2","2","4","2","3","13","10.2","-1",NA
"17","17","17","2018-11-21","19-067","MEM","@","SAS","W (+1)","1","12:25","3","4",".750","2","2","1.000","1","2",".500","0","1","1","1","0","0","1","5","9","5.0","+1",NA
"18","18","18","2018-11-23","19-069","MEM","@","LAC","L (-5)","1","34:58","8","15",".533","1","3",".333","3","5",".600","1","6","7","3","0","3","3","4","20","14.0","-2",NA
"19","19","19","2018-11-25","19-071","MEM","","NYK","L (-5)","1","29:44","6","6","1.000","4","4","1.000","0","0","","0","6","6","3","0","7","1","5","16","20.0","-1",NA
"20","20","20","2018-11-27","19-073","MEM","","TOR","L (-8)","1","18:45","1","4",".250","0","0","","2","2","1.000","0","2","2","0","0","1","3","5","4","-2.1","-5",NA
"21","Rk","G","Date","Age","Tm","","Opp","","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-",NA
"22","21","21","2018-11-30","19-076","MEM","@","BRK","W (+6)","1","43:13","13","22",".591","3","7",".429","7","7","1.000","3","5","8","2","0","0","1","4","36","28.2","+13",NA
"23","22","22","2018-12-02","19-078","MEM","@","PHI","L (-8)","1","23:25","5","10",".500","1","4",".250","6","6","1.000","1","2","3","0","1","3","2","5","17","12.4","-6",NA
"24","23","23","2018-12-05","19-081","MEM","","LAC","W (+10)","1","21:14","5","10",".500","1","4",".250","2","2","1.000","1","5","6","0","1","1","0","6","13","9.5","+2",NA
"25","24","24","2018-12-07","19-083","MEM","@","NOP","W (+4)","1","14:44","1","4",".250","0","1",".000","1","2",".500","0","0","0","0","0","1","2","4","3","-2.7","0",NA
"26","25","25","2018-12-08","19-084","MEM","","LAL","L (-23)","1","26:42","4","9",".444","1","4",".250","2","2","1.000","0","8","8","0","2","0","2","1","11","8.3","-3",NA
"27","26","26","2018-12-10","19-086","MEM","@","DEN","L (-6)","1","20:04","3","7",".429","0","2",".000","0","0","","0","3","3","1","2","0","1","1","6","4.5","+1",NA
"28","27","27","2018-12-12","19-088","MEM","","POR","W (+9)","1","30:38","4","8",".500","2","3",".667","4","4","1.000","2","4","6","2","1","2","2","3","14","13.2","+12",NA
"29","28","28","2018-12-14","19-090","MEM","","MIA","L (-3)","1","22:12","6","9",".667","0","2",".000","3","5",".600","1","3","4","0","2","1","2","2","15","11.8","+6",NA
"30","29","29","2018-12-15","19-091","MEM","","HOU","L (-8)","1","30:54","4","7",".571","1","2",".500","0","2",".000","1","6","7","3","1","3","1","4","9","10.0","-6",NA
"31","30","30","2018-12-17","19-093","MEM","@","GSW","L (-17)","1","22:27","1","6",".167","0","1",".000","1","2",".500","0","4","4","2","0","0","0","2","3","0.6","-11",NA
"32","31","31","2018-12-19","19-095","MEM","@","POR","L (-7)","1","29:04","6","12",".500","2","4",".500","2","2","1.000","2","3","5","2","0","3","1","4","16","13.2","+13",NA
"33","32","32","2018-12-21","19-097","MEM","@","SAC","L (-3)","1","24:16","5","8",".625","1","2",".500","1","1","1.000","1","5","6","2","1","3","2","6","12","10.7","-4",NA
"34","33","33","2018-12-23","19-099","MEM","@","LAL","W (+8)","1","30:37","11","21",".524","1","2",".500","4","5",".800","4","5","9","1","0","0","3","4","27","16.7","+4",NA
"35","34","34","2018-12-26","19-102","MEM","","CLE","W (+8)","1","28:28","5","10",".500","0","1",".000","1","2",".500","0","2","2","1","1","1","3","2","11","4.8","+7",NA
"36","35","35","2018-12-29","19-105","MEM","","BOS","L (-9)","1","21:32","5","7",".714","1","3",".333","4","6",".667","0","4","4","0","1","0","1","4","15","10.9","+4",NA
"37","36","36","2018-12-31","19-107","MEM","@","HOU","L (-12)","1","13:26","2","8",".250","0","2",".000","0","0","","0","2","2","0","1","0","0","5","4","-1.2","-3",NA
"38","37","37","2019-01-02","19-109","MEM","","DET","L (-7)","1","35:09","8","11",".727","2","2","1.000","8","8","1.000","3","7","10","2","0","0","2","6","26","22.7","0",NA
"39","38","38","2019-01-04","19-111","MEM","","BRK","L (-9)","1","30:46","9","15",".600","0","3",".000","1","1","1.000","2","2","4","2","0","2","3","5","19","11.9","-7",NA
"40","39","39","2019-01-05","19-112","MEM","@","SAS","L (-20)","1","33:41","5","8",".625","1","3",".333","4","5",".800","2","5","7","1","4","0","2","3","15","15.4","+1",NA
"41","40","40","2019-01-07","19-114","MEM","@","NOP","L (-19)","1","21:36","6","11",".545","0","1",".000","0","0","","0","1","1","0","0","0","1","5","12","4.0","-12",NA
"42","Rk","G","Date","Age","Tm","","Opp","","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-",NA
"43","41","41","2019-01-09","19-116","MEM","","SAS","W (+10)","1","18:08","5","9",".556","2","5",".400","0","0","","0","2","2","0","0","1","3","4","12","4.4","+4",NA
"44","42","42","2019-01-12","19-119","MEM","@","MIA","L (-4)","1","27:49","5","8",".625","1","2",".500","2","2","1.000","0","5","5","2","3","2","1","2","13","14.9","-9",NA
